"timeMillisSpent","score"
27,"0hard/-17800soft"
32,"0hard/-17800soft"
37,"0hard/-17728soft"
38,"0hard/-17724soft"
38,"0hard/-17640soft"
38,"0hard/-17569soft"
39,"0hard/-17541soft"
39,"0hard/-17471soft"
39,"0hard/-17412soft"
40,"0hard/-17397soft"
40,"0hard/-17362soft"
41,"0hard/-17275soft"
41,"0hard/-17198soft"
41,"0hard/-17190soft"
42,"0hard/-17160soft"
42,"0hard/-17131soft"
43,"0hard/-17086soft"
43,"0hard/-17061soft"
43,"0hard/-17058soft"
44,"0hard/-16996soft"
44,"0hard/-16937soft"
44,"0hard/-16870soft"
45,"0hard/-16807soft"
45,"0hard/-16746soft"
45,"0hard/-16736soft"
46,"0hard/-16732soft"
46,"0hard/-16642soft"
47,"0hard/-16605soft"
47,"0hard/-16600soft"
47,"0hard/-16587soft"
47,"0hard/-16570soft"
48,"0hard/-16483soft"
48,"0hard/-16417soft"
48,"0hard/-16331soft"
48,"0hard/-16323soft"
49,"0hard/-16268soft"
49,"0hard/-16235soft"
49,"0hard/-16196soft"
50,"0hard/-16156soft"
50,"0hard/-16101soft"
50,"0hard/-16099soft"
50,"0hard/-16044soft"
51,"0hard/-15947soft"
51,"0hard/-15923soft"
51,"0hard/-15910soft"
51,"0hard/-15909soft"
52,"0hard/-15848soft"
52,"0hard/-15829soft"
52,"0hard/-15735soft"
53,"0hard/-15667soft"
53,"0hard/-15665soft"
53,"0hard/-15636soft"
54,"0hard/-15619soft"
54,"0hard/-15577soft"
54,"0hard/-15531soft"
54,"0hard/-15437soft"
55,"0hard/-15350soft"
55,"0hard/-15322soft"
56,"0hard/-15253soft"
56,"0hard/-15244soft"
57,"0hard/-15242soft"
58,"0hard/-15146soft"
59,"0hard/-15050soft"
59,"0hard/-15026soft"
59,"0hard/-14976soft"
60,"0hard/-14882soft"
60,"0hard/-14853soft"
61,"0hard/-14804soft"
61,"0hard/-14723soft"
61,"0hard/-14656soft"
62,"0hard/-14596soft"
62,"0hard/-14510soft"
64,"0hard/-14501soft"
64,"0hard/-14423soft"
65,"0hard/-14394soft"
65,"0hard/-14384soft"
66,"0hard/-14313soft"
67,"0hard/-14292soft"
67,"0hard/-14206soft"
67,"0hard/-14149soft"
68,"0hard/-14077soft"
68,"0hard/-14061soft"
69,"0hard/-14013soft"
71,"0hard/-13967soft"
72,"0hard/-13914soft"
73,"0hard/-13897soft"
74,"0hard/-13863soft"
74,"0hard/-13859soft"
75,"0hard/-13816soft"
75,"0hard/-13741soft"
76,"0hard/-13668soft"
76,"0hard/-13660soft"
77,"0hard/-13571soft"
77,"0hard/-13555soft"
78,"0hard/-13523soft"
78,"0hard/-13488soft"
78,"0hard/-13407soft"
79,"0hard/-13342soft"
79,"0hard/-13296soft"
80,"0hard/-13259soft"
80,"0hard/-13248soft"
80,"0hard/-13218soft"
81,"0hard/-13122soft"
81,"0hard/-13081soft"
82,"0hard/-13021soft"
82,"0hard/-12967soft"
82,"0hard/-12937soft"
83,"0hard/-12861soft"
83,"0hard/-12859soft"
83,"0hard/-12776soft"
84,"0hard/-12723soft"
84,"0hard/-12703soft"
85,"0hard/-12628soft"
85,"0hard/-12539soft"
85,"0hard/-12485soft"
86,"0hard/-12448soft"
86,"0hard/-12405soft"
87,"0hard/-12361soft"
87,"0hard/-12294soft"
88,"0hard/-12221soft"
88,"0hard/-12182soft"
89,"0hard/-12129soft"
89,"0hard/-12097soft"
89,"0hard/-12078soft"
90,"0hard/-12073soft"
90,"0hard/-12050soft"
90,"0hard/-12020soft"
91,"0hard/-11980soft"
91,"0hard/-11975soft"
92,"0hard/-11935soft"
92,"0hard/-11910soft"
92,"0hard/-11886soft"
93,"0hard/-11812soft"
93,"0hard/-11790soft"
96,"0hard/-11695soft"
97,"0hard/-11638soft"
98,"0hard/-11614soft"
98,"0hard/-11554soft"
99,"0hard/-11529soft"
100,"0hard/-11441soft"
100,"0hard/-11398soft"
100,"0hard/-11353soft"
101,"0hard/-11346soft"
102,"0hard/-11332soft"
103,"0hard/-11264soft"
104,"0hard/-11207soft"
106,"0hard/-11193soft"
107,"0hard/-11174soft"
107,"0hard/-11156soft"
108,"0hard/-11121soft"
108,"0hard/-11075soft"
109,"0hard/-11044soft"
110,"0hard/-10999soft"
110,"0hard/-10995soft"
110,"0hard/-10934soft"
111,"0hard/-10847soft"
111,"0hard/-10784soft"
112,"0hard/-10741soft"
113,"0hard/-10733soft"
113,"0hard/-10708soft"
113,"0hard/-10698soft"
114,"0hard/-10643soft"
114,"0hard/-10618soft"
115,"0hard/-10606soft"
115,"0hard/-10596soft"
116,"0hard/-10588soft"
116,"0hard/-10580soft"
117,"0hard/-10561soft"
117,"0hard/-10496soft"
117,"0hard/-10486soft"
118,"0hard/-10424soft"
118,"0hard/-10412soft"
119,"0hard/-10401soft"
119,"0hard/-10365soft"
182,"0hard/-10306soft"
183,"0hard/-10275soft"
183,"0hard/-10214soft"
185,"0hard/-10142soft"
186,"0hard/-10129soft"
188,"0hard/-10073soft"
188,"0hard/-10033soft"
189,"0hard/-10028soft"
189,"0hard/-9972soft"
190,"0hard/-9958soft"
190,"0hard/-9950soft"
191,"0hard/-9930soft"
191,"0hard/-9923soft"
192,"0hard/-9898soft"
192,"0hard/-9840soft"
193,"0hard/-9815soft"
193,"0hard/-9789soft"
194,"0hard/-9746soft"
194,"0hard/-9736soft"
195,"0hard/-9718soft"
195,"0hard/-9697soft"
195,"0hard/-9677soft"
196,"0hard/-9611soft"
198,"0hard/-9593soft"
198,"0hard/-9576soft"
199,"0hard/-9548soft"
199,"0hard/-9451soft"
199,"0hard/-9445soft"
200,"0hard/-9428soft"
201,"0hard/-9424soft"
201,"0hard/-9373soft"
202,"0hard/-9356soft"
203,"0hard/-9302soft"
204,"0hard/-9282soft"
205,"0hard/-9260soft"
205,"0hard/-9243soft"
207,"0hard/-9197soft"
207,"0hard/-9130soft"
208,"0hard/-9105soft"
208,"0hard/-9103soft"
208,"0hard/-9096soft"
209,"0hard/-9067soft"
210,"0hard/-9056soft"
211,"0hard/-8996soft"
212,"0hard/-8979soft"
212,"0hard/-8955soft"
214,"0hard/-8943soft"
215,"0hard/-8895soft"
215,"0hard/-8884soft"
216,"0hard/-8879soft"
216,"0hard/-8862soft"
216,"0hard/-8776soft"
217,"0hard/-8724soft"
219,"0hard/-8696soft"
219,"0hard/-8596soft"
219,"0hard/-8555soft"
220,"0hard/-8525soft"
220,"0hard/-8438soft"
220,"0hard/-8415soft"
221,"0hard/-8325soft"
221,"0hard/-8283soft"
221,"0hard/-8249soft"
222,"0hard/-8237soft"
222,"0hard/-8187soft"
223,"0hard/-8150soft"
225,"0hard/-8127soft"
226,"0hard/-8115soft"
226,"0hard/-8093soft"
226,"0hard/-8085soft"
227,"0hard/-8040soft"
227,"0hard/-8024soft"
227,"0hard/-8002soft"
228,"0hard/-7918soft"
228,"0hard/-7872soft"
230,"0hard/-7859soft"
231,"0hard/-7857soft"
232,"0hard/-7803soft"
232,"0hard/-7786soft"
233,"0hard/-7776soft"
233,"0hard/-7707soft"
233,"0hard/-7689soft"
234,"0hard/-7681soft"
234,"0hard/-7623soft"
234,"0hard/-7605soft"
235,"0hard/-7600soft"
235,"0hard/-7518soft"
236,"0hard/-7451soft"
236,"0hard/-7435soft"
237,"0hard/-7389soft"
237,"0hard/-7347soft"
238,"0hard/-7344soft"
238,"0hard/-7298soft"
238,"0hard/-7230soft"
239,"0hard/-7227soft"
240,"0hard/-7209soft"
240,"0hard/-7182soft"
241,"0hard/-7170soft"
241,"0hard/-7152soft"
241,"0hard/-7108soft"
242,"0hard/-7106soft"
243,"0hard/-7081soft"
243,"0hard/-7047soft"
244,"0hard/-6997soft"
244,"0hard/-6960soft"
245,"0hard/-6877soft"
245,"0hard/-6866soft"
246,"0hard/-6858soft"
247,"0hard/-6855soft"
247,"0hard/-6851soft"
