"timeMillisSpent","score"
40,"0hard/-17800soft"
46,"0hard/-17800soft"
51,"0hard/-17777soft"
52,"0hard/-17741soft"
52,"0hard/-17698soft"
52,"0hard/-17634soft"
53,"0hard/-17589soft"
53,"0hard/-17555soft"
53,"0hard/-17477soft"
54,"0hard/-17472soft"
54,"0hard/-17431soft"
55,"0hard/-17380soft"
55,"0hard/-17374soft"
55,"0hard/-17291soft"
55,"0hard/-17271soft"
56,"0hard/-17221soft"
56,"0hard/-17155soft"
57,"0hard/-17056soft"
57,"0hard/-17004soft"
57,"0hard/-16974soft"
58,"0hard/-16909soft"
58,"0hard/-16846soft"
58,"0hard/-16775soft"
59,"0hard/-16712soft"
59,"0hard/-16664soft"
59,"0hard/-16623soft"
60,"0hard/-16610soft"
60,"0hard/-16594soft"
61,"0hard/-16576soft"
61,"0hard/-16510soft"
61,"0hard/-16417soft"
62,"0hard/-16347soft"
62,"0hard/-16278soft"
62,"0hard/-16191soft"
63,"0hard/-16092soft"
63,"0hard/-16059soft"
64,"0hard/-16035soft"
64,"0hard/-15944soft"
64,"0hard/-15847soft"
65,"0hard/-15813soft"
65,"0hard/-15748soft"
65,"0hard/-15710soft"
66,"0hard/-15696soft"
66,"0hard/-15617soft"
66,"0hard/-15595soft"
67,"0hard/-15575soft"
67,"0hard/-15520soft"
68,"0hard/-15448soft"
68,"0hard/-15377soft"
69,"0hard/-15317soft"
69,"0hard/-15235soft"
69,"0hard/-15151soft"
70,"0hard/-15144soft"
70,"0hard/-15137soft"
70,"0hard/-15077soft"
71,"0hard/-15031soft"
71,"0hard/-14955soft"
71,"0hard/-14936soft"
72,"0hard/-14845soft"
72,"0hard/-14833soft"
72,"0hard/-14825soft"
73,"0hard/-14796soft"
73,"0hard/-14706soft"
74,"0hard/-14612soft"
74,"0hard/-14542soft"
75,"0hard/-14480soft"
75,"0hard/-14408soft"
75,"0hard/-14403soft"
75,"0hard/-14359soft"
76,"0hard/-14357soft"
76,"0hard/-14340soft"
76,"0hard/-14288soft"
76,"0hard/-14284soft"
77,"0hard/-14257soft"
84,"0hard/-14228soft"
87,"0hard/-14164soft"
87,"0hard/-14138soft"
88,"0hard/-14101soft"
89,"0hard/-14051soft"
89,"0hard/-14007soft"
89,"0hard/-14003soft"
90,"0hard/-13952soft"
91,"0hard/-13887soft"
92,"0hard/-13825soft"
92,"0hard/-13757soft"
93,"0hard/-13703soft"
93,"0hard/-13692soft"
93,"0hard/-13679soft"
94,"0hard/-13585soft"
94,"0hard/-13537soft"
95,"0hard/-13511soft"
95,"0hard/-13493soft"
96,"0hard/-13488soft"
96,"0hard/-13485soft"
97,"0hard/-13403soft"
97,"0hard/-13347soft"
98,"0hard/-13341soft"
98,"0hard/-13258soft"
98,"0hard/-13168soft"
99,"0hard/-13133soft"
100,"0hard/-13069soft"
100,"0hard/-13002soft"
100,"0hard/-12904soft"
101,"0hard/-12879soft"
101,"0hard/-12838soft"
