"timeMillisSpent","score"
391,"0hard/-17800soft"
395,"0hard/-17800soft"
400,"0hard/-17728soft"
401,"0hard/-17724soft"
402,"0hard/-17640soft"
403,"0hard/-17569soft"
404,"0hard/-17541soft"
405,"0hard/-17471soft"
407,"0hard/-17412soft"
409,"0hard/-17397soft"
410,"0hard/-17362soft"
412,"0hard/-17275soft"
414,"0hard/-17198soft"
415,"0hard/-17190soft"
416,"0hard/-17160soft"
419,"0hard/-17131soft"
421,"0hard/-17086soft"
422,"0hard/-17061soft"
423,"0hard/-17058soft"
423,"0hard/-16996soft"
424,"0hard/-16937soft"
426,"0hard/-16870soft"
426,"0hard/-16807soft"
427,"0hard/-16746soft"
428,"0hard/-16736soft"
430,"0hard/-16732soft"
431,"0hard/-16642soft"
432,"0hard/-16605soft"
433,"0hard/-16600soft"
434,"0hard/-16587soft"
435,"0hard/-16570soft"
436,"0hard/-16483soft"
437,"0hard/-16417soft"
447,"0hard/-16331soft"
448,"0hard/-16323soft"
448,"0hard/-16268soft"
449,"0hard/-16235soft"
450,"0hard/-16196soft"
451,"0hard/-16156soft"
452,"0hard/-16101soft"
452,"0hard/-16099soft"
453,"0hard/-16044soft"
454,"0hard/-15947soft"
455,"0hard/-15923soft"
456,"0hard/-15910soft"
459,"0hard/-15909soft"
460,"0hard/-15848soft"
461,"0hard/-15829soft"
462,"0hard/-15735soft"
463,"0hard/-15667soft"
464,"0hard/-15665soft"
465,"0hard/-15636soft"
466,"0hard/-15619soft"
467,"0hard/-15577soft"
468,"0hard/-15531soft"
469,"0hard/-15437soft"
472,"0hard/-15396soft"
474,"0hard/-15388soft"
475,"0hard/-15386soft"
476,"0hard/-15290soft"
479,"0hard/-15256soft"
480,"0hard/-15162soft"
481,"0hard/-15133soft"
483,"0hard/-15084soft"
484,"0hard/-15003soft"
484,"0hard/-14936soft"
485,"0hard/-14876soft"
488,"0hard/-14806soft"
489,"0hard/-14777soft"
490,"0hard/-14767soft"
491,"0hard/-14696soft"
494,"0hard/-14675soft"
495,"0hard/-14589soft"
496,"0hard/-14532soft"
498,"0hard/-14493soft"
499,"0hard/-14477soft"
501,"0hard/-14473soft"
521,"0hard/-14427soft"
535,"0hard/-14374soft"
549,"0hard/-14357soft"
560,"0hard/-14323soft"
569,"0hard/-14319soft"
581,"0hard/-14276soft"
594,"0hard/-14201soft"
603,"0hard/-14128soft"
611,"0hard/-14080soft"
613,"0hard/-14064soft"
613,"0hard/-14032soft"
614,"0hard/-13997soft"
615,"0hard/-13916soft"
616,"0hard/-13851soft"
628,"0hard/-13805soft"
630,"0hard/-13768soft"
640,"0hard/-13757soft"
647,"0hard/-13727soft"
649,"0hard/-13723soft"
651,"0hard/-13668soft"
652,"0hard/-13644soft"
655,"0hard/-13565soft"
656,"0hard/-13518soft"
660,"0hard/-13490soft"
661,"0hard/-13470soft"
664,"0hard/-13395soft"
665,"0hard/-13306soft"
666,"0hard/-13252soft"
667,"0hard/-13219soft"
668,"0hard/-13145soft"
669,"0hard/-13136soft"
670,"0hard/-13119soft"
671,"0hard/-13113soft"
672,"0hard/-13064soft"
673,"0hard/-13053soft"
674,"0hard/-12986soft"
675,"0hard/-12961soft"
678,"0hard/-12944soft"
679,"0hard/-12905soft"
681,"0hard/-12852soft"
682,"0hard/-12820soft"
683,"0hard/-12801soft"
684,"0hard/-12796soft"
685,"0hard/-12773soft"
685,"0hard/-12743soft"
686,"0hard/-12703soft"
687,"0hard/-12698soft"
689,"0hard/-12658soft"
690,"0hard/-12633soft"
692,"0hard/-12600soft"
693,"0hard/-12526soft"
695,"0hard/-12504soft"
697,"0hard/-12409soft"
698,"0hard/-12335soft"
701,"0hard/-12275soft"
702,"0hard/-12261soft"
703,"0hard/-12174soft"
704,"0hard/-12112soft"
705,"0hard/-12067soft"
705,"0hard/-12060soft"
710,"0hard/-12045soft"
711,"0hard/-11956soft"
712,"0hard/-11918soft"
713,"0hard/-11911soft"
714,"0hard/-11825soft"
715,"0hard/-11807soft"
717,"0hard/-11772soft"
720,"0hard/-11758soft"
721,"0hard/-11754soft"
722,"0hard/-11715soft"
723,"0hard/-11654soft"
727,"0hard/-11647soft"
729,"0hard/-11559soft"
730,"0hard/-11537soft"
732,"0hard/-11497soft"
734,"0hard/-11476soft"
737,"0hard/-11470soft"
747,"0hard/-11461soft"
748,"0hard/-11412soft"
749,"0hard/-11402soft"
750,"0hard/-11384soft"
754,"0hard/-11352soft"
761,"0hard/-11324soft"
762,"0hard/-11268soft"
763,"0hard/-11180soft"
775,"0hard/-11119soft"
778,"0hard/-11092soft"
780,"0hard/-11073soft"
783,"0hard/-11022soft"
789,"0hard/-10966soft"
797,"0hard/-10890soft"
798,"0hard/-10879soft"
800,"0hard/-10858soft"
805,"0hard/-10823soft"
806,"0hard/-10807soft"
815,"0hard/-10802soft"
824,"0hard/-10738soft"
827,"0hard/-10728soft"
828,"0hard/-10725soft"
832,"0hard/-10711soft"
832,"0hard/-10655soft"
834,"0hard/-10630soft"
835,"0hard/-10625soft"
836,"0hard/-10610soft"
839,"0hard/-10575soft"
840,"0hard/-10538soft"
843,"0hard/-10537soft"
845,"0hard/-10485soft"
863,"0hard/-10467soft"
944,"0hard/-10456soft"
950,"0hard/-10450soft"
956,"0hard/-10425soft"
957,"0hard/-10401soft"
962,"0hard/-10392soft"
963,"0hard/-10346soft"
987,"0hard/-10332soft"
989,"0hard/-10320soft"
992,"0hard/-10291soft"
995,"0hard/-10215soft"
996,"0hard/-10177soft"
998,"0hard/-10137soft"
1000,"0hard/-10040soft"
1001,"0hard/-10012soft"
1004,"0hard/-9963soft"
1004,"0hard/-9951soft"
1005,"0hard/-9867soft"
1006,"0hard/-9834soft"
1009,"0hard/-9797soft"
1019,"0hard/-9733soft"
1021,"0hard/-9682soft"
1021,"0hard/-9660soft"
1023,"0hard/-9625soft"
1024,"0hard/-9571soft"
1035,"0hard/-9541soft"
1062,"0hard/-9499soft"
1063,"0hard/-9461soft"
1066,"0hard/-9417soft"
1067,"0hard/-9370soft"
1077,"0hard/-9353soft"
1079,"0hard/-9342soft"
1084,"0hard/-9315soft"
1087,"0hard/-9267soft"
1090,"0hard/-9256soft"
1103,"0hard/-9212soft"
1107,"0hard/-9169soft"
1108,"0hard/-9151soft"
1110,"0hard/-9097soft"
1136,"0hard/-9090soft"
1139,"0hard/-9053soft"
1149,"0hard/-9051soft"
1150,"0hard/-9039soft"
1153,"0hard/-8959soft"
1162,"0hard/-8944soft"
1175,"0hard/-8929soft"
1176,"0hard/-8920soft"
1183,"0hard/-8878soft"
1194,"0hard/-8870soft"
1195,"0hard/-8857soft"
1200,"0hard/-8855soft"
1310,"0hard/-8845soft"
1343,"0hard/-8813soft"
1393,"0hard/-8804soft"
1398,"0hard/-8788soft"
1404,"0hard/-8786soft"
1406,"0hard/-8766soft"
1410,"0hard/-8763soft"
1411,"0hard/-8744soft"
1412,"0hard/-8707soft"
1415,"0hard/-8628soft"
1423,"0hard/-8625soft"
1424,"0hard/-8567soft"
1431,"0hard/-8502soft"
1435,"0hard/-8493soft"
1437,"0hard/-8449soft"
1438,"0hard/-8440soft"
1441,"0hard/-8436soft"
1447,"0hard/-8430soft"
1454,"0hard/-8419soft"
1455,"0hard/-8364soft"
1456,"0hard/-8319soft"
1475,"0hard/-8267soft"
1477,"0hard/-8201soft"
1478,"0hard/-8197soft"
1481,"0hard/-8191soft"
1523,"0hard/-8177soft"
1533,"0hard/-8166soft"
1540,"0hard/-8145soft"
1544,"0hard/-8068soft"
1546,"0hard/-7992soft"
1547,"0hard/-7951soft"
1549,"0hard/-7939soft"
1553,"0hard/-7869soft"
1556,"0hard/-7860soft"
1560,"0hard/-7837soft"
1564,"0hard/-7785soft"
1568,"0hard/-7772soft"
1569,"0hard/-7748soft"
1570,"0hard/-7736soft"
1572,"0hard/-7702soft"
1573,"0hard/-7671soft"
1575,"0hard/-7645soft"
1577,"0hard/-7581soft"
1580,"0hard/-7538soft"
1884,"0hard/-7513soft"
1906,"0hard/-7506soft"
1947,"0hard/-7505soft"
1949,"0hard/-7499soft"
1953,"0hard/-7472soft"
1953,"0hard/-7463soft"
1957,"0hard/-7462soft"
1961,"0hard/-7423soft"
1963,"0hard/-7417soft"
1966,"0hard/-7411soft"
1967,"0hard/-7381soft"
1971,"0hard/-7377soft"
2007,"0hard/-7335soft"
2166,"0hard/-7322soft"
2169,"0hard/-7311soft"
2170,"0hard/-7286soft"
2171,"0hard/-7234soft"
2173,"0hard/-7228soft"
2174,"0hard/-7181soft"
2177,"0hard/-7154soft"
2181,"0hard/-7134soft"
2183,"0hard/-7079soft"
2185,"0hard/-7060soft"
2186,"0hard/-7031soft"
2189,"0hard/-7010soft"
2191,"0hard/-6986soft"
2265,"0hard/-6958soft"
2630,"0hard/-6953soft"
2631,"0hard/-6908soft"
2668,"0hard/-6871soft"
2839,"0hard/-6870soft"
2842,"0hard/-6819soft"
2845,"0hard/-6808soft"
2848,"0hard/-6758soft"
2850,"0hard/-6680soft"
2870,"0hard/-6673soft"
2893,"0hard/-6672soft"
2896,"0hard/-6640soft"
2901,"0hard/-6624soft"
2902,"0hard/-6612soft"
2917,"0hard/-6592soft"
2918,"0hard/-6581soft"
2920,"0hard/-6523soft"
2921,"0hard/-6479soft"
2924,"0hard/-6445soft"
2925,"0hard/-6411soft"
2929,"0hard/-6390soft"
2930,"0hard/-6355soft"
2933,"0hard/-6341soft"
2939,"0hard/-6322soft"
2946,"0hard/-6278soft"
2947,"0hard/-6224soft"
3107,"0hard/-6223soft"
3108,"0hard/-6216soft"
3111,"0hard/-6199soft"
3112,"0hard/-6170soft"
3119,"0hard/-6133soft"
3121,"0hard/-6123soft"
3155,"0hard/-6105soft"
3161,"0hard/-6089soft"
3162,"0hard/-6070soft"
3165,"0hard/-6001soft"
3166,"0hard/-5978soft"
3175,"0hard/-5970soft"
3187,"0hard/-5946soft"
3189,"0hard/-5923soft"
3192,"0hard/-5916soft"
3194,"0hard/-5891soft"
3200,"0hard/-5846soft"
3210,"0hard/-5836soft"
3211,"0hard/-5808soft"
3213,"0hard/-5807soft"
3214,"0hard/-5754soft"
3217,"0hard/-5748soft"
3219,"0hard/-5738soft"
3229,"0hard/-5715soft"
3576,"0hard/-5701soft"
3582,"0hard/-5694soft"
3786,"0hard/-5653soft"
3787,"0hard/-5647soft"
3790,"0hard/-5645soft"
3796,"0hard/-5639soft"
3799,"0hard/-5634soft"
3897,"0hard/-5629soft"
3898,"0hard/-5627soft"
3904,"0hard/-5604soft"
4207,"0hard/-5602soft"
4214,"0hard/-5551soft"
4215,"0hard/-5532soft"
4384,"0hard/-5492soft"
4387,"0hard/-5481soft"
4389,"0hard/-5472soft"
4390,"0hard/-5433soft"
4425,"0hard/-5426soft"
5093,"0hard/-5421soft"
5099,"0hard/-5420soft"
5104,"0hard/-5414soft"
5113,"0hard/-5397soft"
5114,"0hard/-5374soft"
5120,"0hard/-5329soft"
5123,"0hard/-5286soft"
5132,"0hard/-5226soft"
5134,"0hard/-5192soft"
5166,"0hard/-5172soft"
5169,"0hard/-5144soft"
5837,"0hard/-5107soft"
6058,"0hard/-5092soft"
6060,"0hard/-5090soft"
6071,"0hard/-5088soft"
6470,"0hard/-5081soft"
6485,"0hard/-5063soft"
6486,"0hard/-5052soft"
6520,"0hard/-5038soft"
6522,"0hard/-5015soft"
6547,"0hard/-5005soft"
6548,"0hard/-5004soft"
6549,"0hard/-4972soft"
6552,"0hard/-4969soft"
6553,"0hard/-4967soft"
