"timeMillisSpent","score"
417,"0hard/-17800soft"
422,"0hard/-17800soft"
460,"0hard/-17700soft"
473,"0hard/-17600soft"
489,"0hard/-17500soft"
502,"0hard/-17400soft"
511,"0hard/-17300soft"
522,"0hard/-17200soft"
530,"0hard/-17100soft"
545,"0hard/-17000soft"
558,"0hard/-16900soft"
572,"0hard/-16800soft"
584,"0hard/-16700soft"
597,"0hard/-16600soft"
610,"0hard/-16500soft"
623,"0hard/-16400soft"
636,"0hard/-16300soft"
648,"0hard/-16200soft"
663,"0hard/-16100soft"
676,"0hard/-16000soft"
689,"0hard/-15900soft"
699,"0hard/-15800soft"
714,"0hard/-15700soft"
727,"0hard/-15600soft"
740,"0hard/-15500soft"
749,"0hard/-15400soft"
760,"0hard/-15300soft"
771,"0hard/-15200soft"
781,"0hard/-15100soft"
794,"0hard/-15000soft"
807,"0hard/-14900soft"
818,"0hard/-14800soft"
830,"0hard/-14700soft"
843,"0hard/-14600soft"
857,"0hard/-14500soft"
874,"0hard/-14400soft"
888,"0hard/-14300soft"
900,"0hard/-14200soft"
913,"0hard/-14100soft"
927,"0hard/-14000soft"
942,"0hard/-13900soft"
956,"0hard/-13800soft"
969,"0hard/-13700soft"
981,"0hard/-13600soft"
996,"0hard/-13500soft"
1011,"0hard/-13400soft"
1027,"0hard/-13300soft"
1043,"0hard/-13200soft"
1059,"0hard/-13100soft"
1072,"0hard/-13000soft"
1085,"0hard/-12900soft"
1096,"0hard/-12800soft"
1111,"0hard/-12700soft"
1124,"0hard/-12600soft"
1138,"0hard/-12500soft"
1150,"0hard/-12400soft"
1162,"0hard/-12300soft"
1176,"0hard/-12200soft"
1191,"0hard/-12100soft"
1203,"0hard/-12000soft"
1214,"0hard/-11900soft"
1233,"0hard/-11800soft"
1250,"0hard/-11700soft"
1264,"0hard/-11600soft"
1279,"0hard/-11500soft"
1295,"0hard/-11400soft"
1309,"0hard/-11300soft"
1322,"0hard/-11200soft"
1334,"0hard/-11100soft"
1346,"0hard/-11000soft"
1359,"0hard/-10900soft"
1372,"0hard/-10800soft"
1384,"0hard/-10700soft"
1396,"0hard/-10600soft"
1410,"0hard/-10500soft"
1425,"0hard/-10400soft"
1439,"0hard/-10300soft"
1450,"0hard/-10200soft"
1467,"0hard/-10100soft"
1478,"0hard/-10000soft"
1491,"0hard/-9900soft"
1505,"0hard/-9800soft"
1519,"0hard/-9700soft"
1532,"0hard/-9600soft"
1546,"0hard/-9500soft"
1560,"0hard/-9400soft"
1575,"0hard/-9300soft"
1588,"0hard/-9200soft"
1601,"0hard/-9100soft"
1612,"0hard/-9001soft"
1625,"0hard/-8901soft"
1640,"0hard/-8801soft"
1651,"0hard/-8701soft"
1664,"0hard/-8601soft"
1677,"0hard/-8501soft"
1691,"0hard/-8401soft"
1705,"0hard/-8301soft"
1723,"0hard/-8201soft"
1735,"0hard/-8101soft"
1746,"0hard/-8001soft"
1760,"0hard/-7901soft"
1775,"0hard/-7801soft"
1788,"0hard/-7701soft"
1800,"0hard/-7601soft"
1812,"0hard/-7501soft"
1826,"0hard/-7401soft"
1839,"0hard/-7301soft"
1852,"0hard/-7201soft"
1864,"0hard/-7101soft"
1878,"0hard/-7001soft"
1892,"0hard/-6901soft"
1905,"0hard/-6801soft"
1917,"0hard/-6701soft"
1929,"0hard/-6601soft"
1943,"0hard/-6502soft"
1956,"0hard/-6402soft"
1973,"0hard/-6302soft"
1985,"0hard/-6202soft"
1996,"0hard/-6102soft"
2010,"0hard/-6002soft"
2024,"0hard/-5902soft"
2037,"0hard/-5802soft"
2048,"0hard/-5702soft"
2060,"0hard/-5602soft"
2075,"0hard/-5502soft"
2086,"0hard/-5403soft"
2097,"0hard/-5303soft"
2111,"0hard/-5204soft"
2124,"0hard/-5104soft"
2139,"0hard/-5004soft"
2149,"0hard/-4905soft"
2161,"0hard/-4805soft"
2175,"0hard/-4706soft"
2189,"0hard/-4606soft"
2202,"0hard/-4506soft"
2214,"0hard/-4406soft"
2231,"0hard/-4306soft"
2245,"0hard/-4206soft"
2258,"0hard/-4106soft"
2270,"0hard/-4007soft"
2348,"0hard/-3907soft"
2389,"0hard/-3807soft"
2416,"0hard/-3708soft"
2428,"0hard/-3608soft"
2443,"0hard/-3508soft"
2456,"0hard/-3411soft"
2468,"0hard/-3311soft"
2481,"0hard/-3211soft"
2496,"0hard/-3111soft"
2509,"0hard/-3011soft"
2521,"0hard/-2914soft"
2534,"0hard/-2814soft"
2546,"0hard/-2714soft"
2561,"0hard/-2617soft"
2574,"0hard/-2519soft"
2587,"0hard/-2421soft"
2604,"0hard/-2323soft"
2615,"0hard/-2223soft"
2628,"0hard/-2128soft"
2641,"0hard/-2029soft"
2653,"0hard/-1929soft"
2664,"0hard/-1831soft"
2678,"0hard/-1732soft"
2690,"0hard/-1632soft"
2702,"0hard/-1535soft"
2715,"0hard/-1435soft"
2729,"0hard/-1337soft"
2743,"0hard/-1244soft"
2757,"0hard/-1153soft"
2769,"0hard/-1054soft"
2781,"0hard/-956soft"
2795,"0hard/-858soft"
2810,"0hard/-772soft"
2822,"0hard/-680soft"
2835,"0hard/-601soft"
2849,"0hard/-516soft"
2865,"0hard/-490soft"
2879,"0hard/-390soft"
2892,"0hard/-348soft"
2906,"0hard/-341soft"
2917,"0hard/-330soft"
2930,"0hard/-323soft"
2943,"0hard/-316soft"
2956,"0hard/-313soft"
2969,"0hard/-309soft"
2981,"0hard/-302soft"
2994,"0hard/-298soft"
3007,"0hard/-295soft"
3020,"0hard/-288soft"
3031,"0hard/-284soft"
3046,"0hard/-283soft"
3062,"0hard/-282soft"
3075,"0hard/-279soft"
3098,"0hard/-277soft"
3115,"0hard/-275soft"
3128,"0hard/-274soft"
3140,"0hard/-273soft"
3151,"0hard/-266soft"
3164,"0hard/-265soft"
3177,"0hard/-264soft"
3190,"0hard/-261soft"
3202,"0hard/-259soft"
3213,"0hard/-258soft"
3275,"0hard/-254soft"
3289,"0hard/-252soft"
3300,"0hard/-251soft"
3313,"0hard/-248soft"
3326,"0hard/-247soft"
3338,"0hard/-246soft"
3350,"0hard/-245soft"
3392,"0hard/-243soft"
3428,"0hard/-242soft"
3440,"0hard/-240soft"
3463,"0hard/-239soft"
3503,"0hard/-238soft"
3529,"0hard/-236soft"
3543,"0hard/-234soft"
3626,"0hard/-232soft"
3679,"0hard/-231soft"
4469,"0hard/-230soft"
4497,"0hard/-229soft"
4541,"0hard/-228soft"
4554,"0hard/-227soft"
5358,"0hard/-226soft"
5374,"0hard/-225soft"
5637,"0hard/-224soft"
5663,"0hard/-223soft"
5686,"0hard/-220soft"
6860,"0hard/-219soft"
6891,"0hard/-218soft"
8365,"0hard/-217soft"
21274,"0hard/-216soft"
