"timeMillisSpent","score"
382,"0hard/-17800soft"
387,"0hard/-17800soft"
392,"0hard/-17799soft"
394,"0hard/-17798soft"
395,"0hard/-17797soft"
398,"0hard/-17796soft"
400,"0hard/-17795soft"
401,"0hard/-17794soft"
402,"0hard/-17793soft"
403,"0hard/-17792soft"
404,"0hard/-17791soft"
405,"0hard/-17790soft"
406,"0hard/-17789soft"
407,"0hard/-17788soft"
408,"0hard/-17787soft"
409,"0hard/-17786soft"
409,"0hard/-17785soft"
410,"0hard/-17784soft"
411,"0hard/-17783soft"
414,"0hard/-17782soft"
415,"0hard/-17781soft"
416,"0hard/-17780soft"
417,"0hard/-17779soft"
419,"0hard/-17778soft"
420,"0hard/-17777soft"
421,"0hard/-17776soft"
422,"0hard/-17775soft"
423,"0hard/-17774soft"
424,"0hard/-17773soft"
425,"0hard/-17772soft"
426,"0hard/-17771soft"
428,"0hard/-17770soft"
431,"0hard/-17769soft"
433,"0hard/-17768soft"
435,"0hard/-17767soft"
437,"0hard/-17766soft"
438,"0hard/-17765soft"
439,"0hard/-17764soft"
440,"0hard/-17763soft"
441,"0hard/-17762soft"
442,"0hard/-17761soft"
443,"0hard/-17760soft"
444,"0hard/-17759soft"
445,"0hard/-17758soft"
448,"0hard/-17757soft"
449,"0hard/-17756soft"
450,"0hard/-17755soft"
451,"0hard/-17754soft"
453,"0hard/-17753soft"
454,"0hard/-17752soft"
456,"0hard/-17751soft"
457,"0hard/-17750soft"
458,"0hard/-17749soft"
460,"0hard/-17748soft"
461,"0hard/-17747soft"
463,"0hard/-17746soft"
466,"0hard/-17745soft"
467,"0hard/-17744soft"
469,"0hard/-17743soft"
470,"0hard/-17742soft"
471,"0hard/-17741soft"
472,"0hard/-17740soft"
474,"0hard/-17739soft"
475,"0hard/-17738soft"
477,"0hard/-17737soft"
478,"0hard/-17736soft"
481,"0hard/-17735soft"
483,"0hard/-17734soft"
484,"0hard/-17733soft"
485,"0hard/-17732soft"
487,"0hard/-17731soft"
488,"0hard/-17730soft"
490,"0hard/-17729soft"
491,"0hard/-17728soft"
493,"0hard/-17727soft"
495,"0hard/-17726soft"
498,"0hard/-17725soft"
500,"0hard/-17724soft"
502,"0hard/-17723soft"
504,"0hard/-17722soft"
505,"0hard/-17721soft"
507,"0hard/-17720soft"
509,"0hard/-17719soft"
510,"0hard/-17718soft"
511,"0hard/-17717soft"
514,"0hard/-17716soft"
516,"0hard/-17715soft"
517,"0hard/-17714soft"
519,"0hard/-17713soft"
520,"0hard/-17712soft"
522,"0hard/-17711soft"
523,"0hard/-17710soft"
525,"0hard/-17709soft"
526,"0hard/-17708soft"
528,"0hard/-17707soft"
531,"0hard/-17706soft"
533,"0hard/-17705soft"
535,"0hard/-17704soft"
537,"0hard/-17703soft"
539,"0hard/-17702soft"
540,"0hard/-17701soft"
541,"0hard/-17700soft"
543,"0hard/-17699soft"
544,"0hard/-17698soft"
546,"0hard/-17697soft"
548,"0hard/-17696soft"
550,"0hard/-17695soft"
552,"0hard/-17694soft"
553,"0hard/-17693soft"
555,"0hard/-17692soft"
557,"0hard/-17691soft"
568,"0hard/-17690soft"
570,"0hard/-17689soft"
572,"0hard/-17688soft"
574,"0hard/-17687soft"
575,"0hard/-17686soft"
577,"0hard/-17685soft"
578,"0hard/-17684soft"
581,"0hard/-17683soft"
583,"0hard/-17682soft"
585,"0hard/-17681soft"
587,"0hard/-17680soft"
589,"0hard/-17679soft"
590,"0hard/-17678soft"
592,"0hard/-17677soft"
593,"0hard/-17676soft"
595,"0hard/-17675soft"
598,"0hard/-17674soft"
600,"0hard/-17673soft"
603,"0hard/-17672soft"
604,"0hard/-17671soft"
606,"0hard/-17670soft"
608,"0hard/-17669soft"
609,"0hard/-17668soft"
611,"0hard/-17667soft"
613,"0hard/-17666soft"
616,"0hard/-17665soft"
618,"0hard/-17664soft"
620,"0hard/-17663soft"
622,"0hard/-17662soft"
623,"0hard/-17661soft"
625,"0hard/-17660soft"
627,"0hard/-17659soft"
628,"0hard/-17658soft"
631,"0hard/-17657soft"
634,"0hard/-17656soft"
635,"0hard/-17655soft"
638,"0hard/-17654soft"
640,"0hard/-17653soft"
642,"0hard/-17652soft"
643,"0hard/-17651soft"
645,"0hard/-17650soft"
648,"0hard/-17649soft"
650,"0hard/-17648soft"
652,"0hard/-17647soft"
654,"0hard/-17646soft"
656,"0hard/-17645soft"
658,"0hard/-17644soft"
660,"0hard/-17643soft"
661,"0hard/-17642soft"
665,"0hard/-17641soft"
667,"0hard/-17640soft"
669,"0hard/-17639soft"
672,"0hard/-17638soft"
675,"0hard/-17637soft"
676,"0hard/-17636soft"
678,"0hard/-17635soft"
682,"0hard/-17634soft"
684,"0hard/-17633soft"
686,"0hard/-17632soft"
688,"0hard/-17631soft"
690,"0hard/-17630soft"
691,"0hard/-17629soft"
693,"0hard/-17628soft"
695,"0hard/-17627soft"
698,"0hard/-17626soft"
700,"0hard/-17625soft"
702,"0hard/-17624soft"
704,"0hard/-17623soft"
706,"0hard/-17622soft"
708,"0hard/-17621soft"
710,"0hard/-17620soft"
712,"0hard/-17619soft"
715,"0hard/-17618soft"
717,"0hard/-17617soft"
719,"0hard/-17616soft"
721,"0hard/-17615soft"
723,"0hard/-17614soft"
725,"0hard/-17613soft"
727,"0hard/-17612soft"
730,"0hard/-17611soft"
734,"0hard/-17610soft"
737,"0hard/-17609soft"
740,"0hard/-17608soft"
742,"0hard/-17607soft"
744,"0hard/-17606soft"
747,"0hard/-17605soft"
749,"0hard/-17604soft"
751,"0hard/-17603soft"
754,"0hard/-17602soft"
785,"0hard/-17601soft"
792,"0hard/-17600soft"
802,"0hard/-17599soft"
827,"0hard/-17598soft"
831,"0hard/-17597soft"
861,"0hard/-17596soft"
865,"0hard/-17595soft"
872,"0hard/-17594soft"
899,"0hard/-17593soft"
902,"0hard/-17592soft"
905,"0hard/-17591soft"
907,"0hard/-17590soft"
910,"0hard/-17589soft"
913,"0hard/-17588soft"
917,"0hard/-17587soft"
920,"0hard/-17586soft"
923,"0hard/-17585soft"
926,"0hard/-17584soft"
928,"0hard/-17583soft"
933,"0hard/-17582soft"
935,"0hard/-17581soft"
938,"0hard/-17580soft"
941,"0hard/-17579soft"
943,"0hard/-17578soft"
947,"0hard/-17577soft"
951,"0hard/-17576soft"
954,"0hard/-17575soft"
957,"0hard/-17574soft"
960,"0hard/-17573soft"
963,"0hard/-17572soft"
968,"0hard/-17571soft"
971,"0hard/-17570soft"
973,"0hard/-17569soft"
976,"0hard/-17568soft"
979,"0hard/-17567soft"
983,"0hard/-17566soft"
986,"0hard/-17565soft"
989,"0hard/-17564soft"
992,"0hard/-17563soft"
994,"0hard/-17562soft"
1000,"0hard/-17561soft"
1003,"0hard/-17560soft"
1006,"0hard/-17559soft"
1009,"0hard/-17558soft"
1012,"0hard/-17557soft"
1016,"0hard/-17556soft"
1019,"0hard/-17555soft"
1022,"0hard/-17554soft"
1025,"0hard/-17553soft"
1028,"0hard/-17552soft"
1032,"0hard/-17551soft"
1035,"0hard/-17550soft"
1038,"0hard/-17549soft"
1041,"0hard/-17548soft"
1045,"0hard/-17547soft"
1050,"0hard/-17546soft"
1053,"0hard/-17545soft"
1056,"0hard/-17544soft"
1059,"0hard/-17543soft"
1062,"0hard/-17542soft"
1067,"0hard/-17541soft"
1072,"0hard/-17540soft"
1075,"0hard/-17539soft"
1078,"0hard/-17538soft"
1082,"0hard/-17537soft"
1085,"0hard/-17536soft"
1088,"0hard/-17535soft"
1091,"0hard/-17534soft"
1094,"0hard/-17533soft"
1099,"0hard/-17532soft"
1102,"0hard/-17531soft"
1106,"0hard/-17530soft"
1109,"0hard/-17529soft"
1111,"0hard/-17528soft"
1116,"0hard/-17527soft"
1119,"0hard/-17526soft"
1122,"0hard/-17525soft"
1125,"0hard/-17524soft"
1128,"0hard/-17523soft"
1132,"0hard/-17522soft"
1137,"0hard/-17521soft"
1140,"0hard/-17520soft"
1143,"0hard/-17519soft"
1146,"0hard/-17518soft"
1150,"0hard/-17517soft"
1153,"0hard/-17516soft"
1157,"0hard/-17515soft"
1160,"0hard/-17514soft"
1164,"0hard/-17513soft"
1168,"0hard/-17512soft"
1171,"0hard/-17511soft"
1174,"0hard/-17510soft"
1177,"0hard/-17509soft"
1180,"0hard/-17508soft"
1184,"0hard/-17507soft"
1187,"0hard/-17506soft"
1190,"0hard/-17505soft"
1192,"0hard/-17504soft"
1195,"0hard/-17503soft"
1199,"0hard/-17502soft"
1202,"0hard/-17501soft"
1205,"0hard/-17500soft"
1208,"0hard/-17499soft"
1210,"0hard/-17498soft"
1215,"0hard/-17497soft"
1219,"0hard/-17496soft"
1223,"0hard/-17495soft"
1226,"0hard/-17494soft"
1229,"0hard/-17493soft"
1234,"0hard/-17492soft"
1237,"0hard/-17491soft"
1240,"0hard/-17490soft"
1243,"0hard/-17489soft"
1248,"0hard/-17488soft"
1252,"0hard/-17487soft"
1255,"0hard/-17486soft"
1258,"0hard/-17485soft"
1262,"0hard/-17484soft"
1267,"0hard/-17483soft"
1271,"0hard/-17482soft"
1274,"0hard/-17481soft"
1278,"0hard/-17480soft"
1283,"0hard/-17479soft"
1287,"0hard/-17478soft"
1290,"0hard/-17477soft"
1293,"0hard/-17476soft"
1297,"0hard/-17475soft"
1302,"0hard/-17474soft"
1305,"0hard/-17473soft"
1308,"0hard/-17472soft"
1312,"0hard/-17471soft"
1316,"0hard/-17470soft"
1320,"0hard/-17469soft"
1323,"0hard/-17468soft"
1326,"0hard/-17467soft"
1330,"0hard/-17466soft"
1334,"0hard/-17465soft"
1338,"0hard/-17464soft"
1341,"0hard/-17463soft"
1344,"0hard/-17462soft"
1349,"0hard/-17461soft"
1353,"0hard/-17460soft"
1356,"0hard/-17459soft"
1360,"0hard/-17458soft"
1364,"0hard/-17457soft"
1368,"0hard/-17456soft"
1371,"0hard/-17455soft"
1375,"0hard/-17454soft"
1378,"0hard/-17453soft"
1383,"0hard/-17452soft"
1387,"0hard/-17451soft"
1390,"0hard/-17450soft"
1394,"0hard/-17449soft"
1398,"0hard/-17448soft"
1403,"0hard/-17447soft"
1407,"0hard/-17446soft"
1411,"0hard/-17445soft"
1416,"0hard/-17444soft"
1420,"0hard/-17443soft"
1423,"0hard/-17442soft"
1427,"0hard/-17441soft"
1434,"0hard/-17440soft"
1438,"0hard/-17439soft"
1441,"0hard/-17438soft"
1445,"0hard/-17437soft"
1450,"0hard/-17436soft"
1453,"0hard/-17435soft"
1457,"0hard/-17434soft"
1461,"0hard/-17433soft"
1465,"0hard/-17432soft"
1469,"0hard/-17431soft"
1473,"0hard/-17430soft"
1476,"0hard/-17429soft"
1481,"0hard/-17428soft"
1486,"0hard/-17427soft"
1490,"0hard/-17426soft"
1493,"0hard/-17425soft"
1496,"0hard/-17424soft"
1502,"0hard/-17423soft"
1506,"0hard/-17422soft"
1509,"0hard/-17421soft"
1513,"0hard/-17420soft"
1519,"0hard/-17419soft"
1529,"0hard/-17418soft"
1544,"0hard/-17417soft"
1575,"0hard/-17416soft"
1583,"0hard/-17415soft"
1594,"0hard/-17414soft"
1620,"0hard/-17413soft"
1633,"0hard/-17412soft"
1637,"0hard/-17411soft"
1641,"0hard/-17410soft"
1651,"0hard/-17409soft"
1660,"0hard/-17408soft"
1669,"0hard/-17407soft"
1678,"0hard/-17406soft"
1683,"0hard/-17405soft"
1687,"0hard/-17404soft"
1690,"0hard/-17403soft"
1694,"0hard/-17402soft"
1698,"0hard/-17401soft"
1703,"0hard/-17400soft"
1707,"0hard/-17399soft"
1711,"0hard/-17398soft"
1715,"0hard/-17397soft"
1720,"0hard/-17396soft"
1723,"0hard/-17395soft"
1727,"0hard/-17394soft"
1731,"0hard/-17393soft"
1735,"0hard/-17392soft"
1740,"0hard/-17391soft"
1744,"0hard/-17390soft"
1749,"0hard/-17389soft"
1753,"0hard/-17388soft"
1757,"0hard/-17387soft"
1761,"0hard/-17386soft"
1766,"0hard/-17385soft"
1770,"0hard/-17384soft"
1773,"0hard/-17383soft"
1777,"0hard/-17382soft"
1782,"0hard/-17381soft"
