"timeMillisSpent","score"
367,"0hard/-17800soft"
371,"0hard/-17728soft"
372,"0hard/-17724soft"
373,"0hard/-17640soft"
375,"0hard/-17569soft"
377,"0hard/-17541soft"
378,"0hard/-17471soft"
379,"0hard/-17412soft"
379,"0hard/-17397soft"
380,"0hard/-17362soft"
382,"0hard/-17275soft"
383,"0hard/-17198soft"
384,"0hard/-17190soft"
385,"0hard/-17160soft"
386,"0hard/-17131soft"
387,"0hard/-17086soft"
388,"0hard/-17061soft"
389,"0hard/-17058soft"
390,"0hard/-16996soft"
391,"0hard/-16937soft"
393,"0hard/-16870soft"
394,"0hard/-16807soft"
395,"0hard/-16746soft"
396,"0hard/-16736soft"
397,"0hard/-16732soft"
398,"0hard/-16642soft"
407,"0hard/-16605soft"
408,"0hard/-16600soft"
409,"0hard/-16587soft"
410,"0hard/-16570soft"
411,"0hard/-16483soft"
412,"0hard/-16417soft"
414,"0hard/-16331soft"
415,"0hard/-16323soft"
416,"0hard/-16268soft"
417,"0hard/-16235soft"
418,"0hard/-16196soft"
419,"0hard/-16156soft"
419,"0hard/-16101soft"
421,"0hard/-16099soft"
421,"0hard/-16044soft"
422,"0hard/-15947soft"
423,"0hard/-15923soft"
424,"0hard/-15910soft"
427,"0hard/-15909soft"
428,"0hard/-15848soft"
429,"0hard/-15829soft"
430,"0hard/-15735soft"
431,"0hard/-15667soft"
432,"0hard/-15665soft"
433,"0hard/-15636soft"
434,"0hard/-15619soft"
435,"0hard/-15577soft"
435,"0hard/-15531soft"
436,"0hard/-15437soft"
439,"0hard/-15396soft"
440,"0hard/-15388soft"
441,"0hard/-15386soft"
443,"0hard/-15290soft"
446,"0hard/-15256soft"
447,"0hard/-15162soft"
448,"0hard/-15133soft"
449,"0hard/-15084soft"
450,"0hard/-15003soft"
451,"0hard/-14936soft"
452,"0hard/-14876soft"
454,"0hard/-14806soft"
456,"0hard/-14777soft"
456,"0hard/-14767soft"
457,"0hard/-14696soft"
461,"0hard/-14675soft"
462,"0hard/-14589soft"
464,"0hard/-14532soft"
465,"0hard/-14493soft"
466,"0hard/-14477soft"
468,"0hard/-14473soft"
468,"0hard/-14427soft"
469,"0hard/-14374soft"
470,"0hard/-14357soft"
471,"0hard/-14323soft"
472,"0hard/-14319soft"
473,"0hard/-14276soft"
473,"0hard/-14201soft"
474,"0hard/-14128soft"
479,"0hard/-14080soft"
480,"0hard/-14064soft"
481,"0hard/-14032soft"
482,"0hard/-13997soft"
483,"0hard/-13916soft"
484,"0hard/-13851soft"
485,"0hard/-13805soft"
486,"0hard/-13768soft"
487,"0hard/-13757soft"
488,"0hard/-13727soft"
489,"0hard/-13723soft"
491,"0hard/-13668soft"
493,"0hard/-13644soft"
496,"0hard/-13565soft"
497,"0hard/-13518soft"
500,"0hard/-13490soft"
501,"0hard/-13470soft"
504,"0hard/-13395soft"
505,"0hard/-13306soft"
507,"0hard/-13252soft"
507,"0hard/-13219soft"
509,"0hard/-13145soft"
511,"0hard/-13136soft"
511,"0hard/-13119soft"
512,"0hard/-13113soft"
513,"0hard/-13064soft"
514,"0hard/-13053soft"
515,"0hard/-12986soft"
516,"0hard/-12961soft"
518,"0hard/-12944soft"
519,"0hard/-12905soft"
553,"0hard/-12852soft"
554,"0hard/-12820soft"
564,"0hard/-12801soft"
579,"0hard/-12796soft"
589,"0hard/-12773soft"
593,"0hard/-12743soft"
616,"0hard/-12703soft"
621,"0hard/-12698soft"
630,"0hard/-12658soft"
631,"0hard/-12633soft"
638,"0hard/-12600soft"
639,"0hard/-12526soft"
641,"0hard/-12504soft"
644,"0hard/-12409soft"
645,"0hard/-12335soft"
648,"0hard/-12275soft"
649,"0hard/-12261soft"
657,"0hard/-12174soft"
677,"0hard/-12112soft"
680,"0hard/-12067soft"
682,"0hard/-12060soft"
685,"0hard/-12045soft"
686,"0hard/-11956soft"
687,"0hard/-11918soft"
688,"0hard/-11911soft"
689,"0hard/-11825soft"
690,"0hard/-11807soft"
694,"0hard/-11772soft"
697,"0hard/-11758soft"
698,"0hard/-11754soft"
699,"0hard/-11715soft"
701,"0hard/-11654soft"
703,"0hard/-11647soft"
704,"0hard/-11559soft"
706,"0hard/-11537soft"
707,"0hard/-11497soft"
710,"0hard/-11476soft"
714,"0hard/-11470soft"
722,"0hard/-11461soft"
723,"0hard/-11412soft"
724,"0hard/-11402soft"
728,"0hard/-11384soft"
732,"0hard/-11352soft"
738,"0hard/-11324soft"
739,"0hard/-11268soft"
740,"0hard/-11180soft"
753,"0hard/-11119soft"
755,"0hard/-11092soft"
757,"0hard/-11073soft"
