"timeMillisSpent","score"
222,"0hard/-17800soft"
258,"0hard/-17728soft"
291,"0hard/-17724soft"
293,"0hard/-17640soft"
321,"0hard/-17569soft"
326,"0hard/-17541soft"
329,"0hard/-17471soft"
332,"0hard/-17412soft"
339,"0hard/-17397soft"
349,"0hard/-17362soft"
351,"0hard/-17275soft"
353,"0hard/-17198soft"
355,"0hard/-17190soft"
356,"0hard/-17160soft"
357,"0hard/-17131soft"
359,"0hard/-17086soft"
360,"0hard/-17061soft"
361,"0hard/-17058soft"
362,"0hard/-16996soft"
363,"0hard/-16937soft"
366,"0hard/-16870soft"
368,"0hard/-16807soft"
376,"0hard/-16746soft"
385,"0hard/-16736soft"
393,"0hard/-16732soft"
394,"0hard/-16642soft"
395,"0hard/-16605soft"
396,"0hard/-16600soft"
397,"0hard/-16587soft"
398,"0hard/-16570soft"
399,"0hard/-16483soft"
400,"0hard/-16417soft"
401,"0hard/-16331soft"
401,"0hard/-16323soft"
403,"0hard/-16268soft"
405,"0hard/-16235soft"
406,"0hard/-16196soft"
407,"0hard/-16156soft"
408,"0hard/-16101soft"
409,"0hard/-16099soft"
410,"0hard/-16044soft"
411,"0hard/-15947soft"
412,"0hard/-15923soft"
412,"0hard/-15910soft"
414,"0hard/-15909soft"
415,"0hard/-15848soft"
416,"0hard/-15829soft"
418,"0hard/-15735soft"
418,"0hard/-15667soft"
420,"0hard/-15665soft"
424,"0hard/-15636soft"
426,"0hard/-15619soft"
426,"0hard/-15577soft"
427,"0hard/-15531soft"
428,"0hard/-15437soft"
430,"0hard/-15396soft"
432,"0hard/-15388soft"
433,"0hard/-15386soft"
434,"0hard/-15290soft"
438,"0hard/-15256soft"
439,"0hard/-15162soft"
440,"0hard/-15133soft"
441,"0hard/-15084soft"
442,"0hard/-15003soft"
443,"0hard/-14936soft"
444,"0hard/-14876soft"
446,"0hard/-14806soft"
447,"0hard/-14777soft"
448,"0hard/-14767soft"
449,"0hard/-14696soft"
451,"0hard/-14675soft"
452,"0hard/-14589soft"
455,"0hard/-14532soft"
457,"0hard/-14493soft"
457,"0hard/-14477soft"
459,"0hard/-14473soft"
460,"0hard/-14427soft"
461,"0hard/-14374soft"
461,"0hard/-14357soft"
462,"0hard/-14323soft"
464,"0hard/-14319soft"
464,"0hard/-14276soft"
465,"0hard/-14201soft"
466,"0hard/-14128soft"
470,"0hard/-14080soft"
472,"0hard/-14064soft"
473,"0hard/-14032soft"
474,"0hard/-13997soft"
475,"0hard/-13916soft"
476,"0hard/-13851soft"
477,"0hard/-13805soft"
478,"0hard/-13768soft"
479,"0hard/-13757soft"
480,"0hard/-13727soft"
481,"0hard/-13723soft"
483,"0hard/-13668soft"
483,"0hard/-13644soft"
488,"0hard/-13565soft"
489,"0hard/-13518soft"
492,"0hard/-13490soft"
493,"0hard/-13470soft"
496,"0hard/-13395soft"
497,"0hard/-13306soft"
499,"0hard/-13252soft"
500,"0hard/-13219soft"
500,"0hard/-13145soft"
501,"0hard/-13136soft"
503,"0hard/-13119soft"
505,"0hard/-13113soft"
506,"0hard/-13064soft"
507,"0hard/-13053soft"
508,"0hard/-12986soft"
508,"0hard/-12961soft"
511,"0hard/-12944soft"
512,"0hard/-12905soft"
513,"0hard/-12852soft"
514,"0hard/-12820soft"
515,"0hard/-12801soft"
516,"0hard/-12796soft"
517,"0hard/-12773soft"
518,"0hard/-12743soft"
519,"0hard/-12703soft"
520,"0hard/-12698soft"
523,"0hard/-12658soft"
524,"0hard/-12633soft"
525,"0hard/-12600soft"
526,"0hard/-12526soft"
528,"0hard/-12504soft"
529,"0hard/-12409soft"
530,"0hard/-12335soft"
533,"0hard/-12275soft"
534,"0hard/-12261soft"
536,"0hard/-12174soft"
538,"0hard/-12112soft"
539,"0hard/-12067soft"
540,"0hard/-12060soft"
543,"0hard/-12045soft"
544,"0hard/-11956soft"
545,"0hard/-11918soft"
546,"0hard/-11911soft"
547,"0hard/-11825soft"
548,"0hard/-11807soft"
550,"0hard/-11772soft"
554,"0hard/-11758soft"
556,"0hard/-11754soft"
557,"0hard/-11715soft"
558,"0hard/-11654soft"
560,"0hard/-11647soft"
561,"0hard/-11559soft"
563,"0hard/-11537soft"
564,"0hard/-11497soft"
566,"0hard/-11476soft"
569,"0hard/-11470soft"
578,"0hard/-11461soft"
579,"0hard/-11412soft"
580,"0hard/-11402soft"
582,"0hard/-11384soft"
585,"0hard/-11352soft"
593,"0hard/-11324soft"
593,"0hard/-11268soft"
594,"0hard/-11180soft"
713,"0hard/-11119soft"
714,"0hard/-11092soft"
717,"0hard/-11073soft"
723,"0hard/-11022soft"
753,"0hard/-10966soft"
761,"0hard/-10890soft"
762,"0hard/-10879soft"
765,"0hard/-10858soft"
771,"0hard/-10823soft"
772,"0hard/-10807soft"
780,"0hard/-10802soft"
789,"0hard/-10738soft"
791,"0hard/-10728soft"
792,"0hard/-10725soft"
796,"0hard/-10711soft"
797,"0hard/-10655soft"
798,"0hard/-10630soft"
799,"0hard/-10625soft"
801,"0hard/-10610soft"
804,"0hard/-10575soft"
805,"0hard/-10538soft"
806,"0hard/-10537soft"
807,"0hard/-10485soft"
808,"0hard/-10467soft"
