"timeMillisSpent","score"
368,"0hard/-17800soft"
371,"0hard/-17728soft"
371,"0hard/-17724soft"
372,"0hard/-17640soft"
373,"0hard/-17569soft"
374,"0hard/-17541soft"
375,"0hard/-17471soft"
376,"0hard/-17412soft"
377,"0hard/-17397soft"
377,"0hard/-17362soft"
380,"0hard/-17275soft"
381,"0hard/-17198soft"
383,"0hard/-17190soft"
384,"0hard/-17160soft"
384,"0hard/-17131soft"
386,"0hard/-17086soft"
387,"0hard/-17061soft"
388,"0hard/-17058soft"
388,"0hard/-16996soft"
389,"0hard/-16937soft"
390,"0hard/-16870soft"
390,"0hard/-16807soft"
391,"0hard/-16746soft"
391,"0hard/-16736soft"
392,"0hard/-16732soft"
393,"0hard/-16642soft"
395,"0hard/-16605soft"
396,"0hard/-16600soft"
397,"0hard/-16587soft"
399,"0hard/-16570soft"
400,"0hard/-16483soft"
401,"0hard/-16417soft"
401,"0hard/-16331soft"
402,"0hard/-16323soft"
403,"0hard/-16268soft"
404,"0hard/-16235soft"
405,"0hard/-16196soft"
405,"0hard/-16156soft"
406,"0hard/-16101soft"
407,"0hard/-16099soft"
408,"0hard/-16044soft"
409,"0hard/-15947soft"
410,"0hard/-15923soft"
412,"0hard/-15910soft"
414,"0hard/-15909soft"
415,"0hard/-15848soft"
416,"0hard/-15829soft"
417,"0hard/-15735soft"
418,"0hard/-15667soft"
419,"0hard/-15665soft"
420,"0hard/-15636soft"
421,"0hard/-15619soft"
422,"0hard/-15577soft"
422,"0hard/-15531soft"
423,"0hard/-15437soft"
425,"0hard/-15396soft"
427,"0hard/-15388soft"
429,"0hard/-15386soft"
431,"0hard/-15290soft"
434,"0hard/-15256soft"
435,"0hard/-15162soft"
436,"0hard/-15133soft"
436,"0hard/-15084soft"
437,"0hard/-15003soft"
438,"0hard/-14936soft"
439,"0hard/-14876soft"
441,"0hard/-14806soft"
442,"0hard/-14777soft"
478,"0hard/-14767soft"
480,"0hard/-14696soft"
548,"0hard/-14675soft"
551,"0hard/-14589soft"
564,"0hard/-14532soft"
565,"0hard/-14493soft"
566,"0hard/-14477soft"
568,"0hard/-14473soft"
569,"0hard/-14427soft"
570,"0hard/-14374soft"
571,"0hard/-14357soft"
591,"0hard/-14323soft"
593,"0hard/-14319soft"
596,"0hard/-14276soft"
599,"0hard/-14201soft"
601,"0hard/-14128soft"
604,"0hard/-14080soft"
606,"0hard/-14064soft"
607,"0hard/-14032soft"
608,"0hard/-13997soft"
609,"0hard/-13916soft"
610,"0hard/-13851soft"
612,"0hard/-13805soft"
613,"0hard/-13768soft"
614,"0hard/-13757soft"
615,"0hard/-13727soft"
617,"0hard/-13723soft"
619,"0hard/-13668soft"
619,"0hard/-13644soft"
623,"0hard/-13565soft"
623,"0hard/-13518soft"
626,"0hard/-13490soft"
628,"0hard/-13470soft"
633,"0hard/-13395soft"
633,"0hard/-13306soft"
635,"0hard/-13252soft"
636,"0hard/-13219soft"
636,"0hard/-13145soft"
637,"0hard/-13136soft"
638,"0hard/-13119soft"
639,"0hard/-13113soft"
640,"0hard/-13064soft"
641,"0hard/-13053soft"
642,"0hard/-12986soft"
643,"0hard/-12961soft"
646,"0hard/-12944soft"
647,"0hard/-12905soft"
649,"0hard/-12852soft"
650,"0hard/-12820soft"
651,"0hard/-12801soft"
652,"0hard/-12796soft"
653,"0hard/-12773soft"
653,"0hard/-12743soft"
654,"0hard/-12703soft"
655,"0hard/-12698soft"
657,"0hard/-12658soft"
658,"0hard/-12633soft"
659,"0hard/-12600soft"
660,"0hard/-12526soft"
663,"0hard/-12504soft"
665,"0hard/-12409soft"
666,"0hard/-12335soft"
669,"0hard/-12275soft"
670,"0hard/-12261soft"
671,"0hard/-12174soft"
672,"0hard/-12112soft"
673,"0hard/-12067soft"
674,"0hard/-12060soft"
677,"0hard/-12045soft"
679,"0hard/-11956soft"
681,"0hard/-11918soft"
683,"0hard/-11911soft"
684,"0hard/-11825soft"
684,"0hard/-11807soft"
687,"0hard/-11772soft"
689,"0hard/-11758soft"
691,"0hard/-11754soft"
692,"0hard/-11715soft"
692,"0hard/-11654soft"
697,"0hard/-11647soft"
699,"0hard/-11559soft"
700,"0hard/-11537soft"
701,"0hard/-11497soft"
703,"0hard/-11476soft"
706,"0hard/-11470soft"
717,"0hard/-11461soft"
718,"0hard/-11412soft"
718,"0hard/-11402soft"
720,"0hard/-11384soft"
723,"0hard/-11352soft"
732,"0hard/-11324soft"
733,"0hard/-11268soft"
734,"0hard/-11180soft"
747,"0hard/-11119soft"
749,"0hard/-11092soft"
751,"0hard/-11073soft"
755,"0hard/-11022soft"
759,"0hard/-10966soft"
801,"0hard/-10890soft"
803,"0hard/-10879soft"
840,"0hard/-10858soft"
891,"0hard/-10823soft"
892,"0hard/-10807soft"
902,"0hard/-10802soft"
952,"0hard/-10738soft"
955,"0hard/-10728soft"
956,"0hard/-10725soft"
964,"0hard/-10711soft"
966,"0hard/-10655soft"
968,"0hard/-10630soft"
969,"0hard/-10625soft"
971,"0hard/-10610soft"
974,"0hard/-10575soft"
975,"0hard/-10538soft"
976,"0hard/-10537soft"
977,"0hard/-10485soft"
981,"0hard/-10467soft"
988,"0hard/-10456soft"
989,"0hard/-10450soft"
999,"0hard/-10425soft"
1001,"0hard/-10401soft"
1007,"0hard/-10392soft"
1008,"0hard/-10346soft"
1020,"0hard/-10332soft"
1021,"0hard/-10320soft"
1023,"0hard/-10291soft"
1024,"0hard/-10215soft"
1025,"0hard/-10177soft"
1029,"0hard/-10137soft"
1031,"0hard/-10040soft"
1032,"0hard/-10012soft"
1035,"0hard/-9963soft"
1036,"0hard/-9951soft"
1037,"0hard/-9867soft"
1038,"0hard/-9834soft"
1040,"0hard/-9797soft"
1052,"0hard/-9733soft"
1054,"0hard/-9682soft"
1055,"0hard/-9660soft"
1057,"0hard/-9625soft"
1059,"0hard/-9571soft"
1070,"0hard/-9541soft"
1093,"0hard/-9499soft"
1094,"0hard/-9461soft"
1098,"0hard/-9417soft"
1099,"0hard/-9370soft"
1110,"0hard/-9353soft"
1114,"0hard/-9342soft"
1119,"0hard/-9315soft"
1122,"0hard/-9267soft"
1125,"0hard/-9256soft"
1141,"0hard/-9212soft"
1177,"0hard/-9169soft"
1206,"0hard/-9151soft"
1215,"0hard/-9097soft"
1348,"0hard/-9090soft"
1355,"0hard/-9053soft"
1370,"0hard/-9051soft"
1371,"0hard/-9039soft"
1373,"0hard/-8959soft"
1387,"0hard/-8944soft"
1412,"0hard/-8929soft"
1414,"0hard/-8920soft"
1420,"0hard/-8878soft"
1434,"0hard/-8870soft"
1437,"0hard/-8857soft"
1440,"0hard/-8855soft"
1526,"0hard/-8845soft"
1531,"0hard/-8813soft"
1570,"0hard/-8804soft"
1684,"0hard/-8788soft"
1741,"0hard/-8786soft"
1757,"0hard/-8766soft"
1764,"0hard/-8763soft"
1765,"0hard/-8744soft"
1767,"0hard/-8707soft"
1770,"0hard/-8628soft"
1781,"0hard/-8625soft"
1783,"0hard/-8567soft"
1790,"0hard/-8502soft"
1796,"0hard/-8493soft"
1797,"0hard/-8449soft"
1799,"0hard/-8440soft"
1806,"0hard/-8436soft"
1816,"0hard/-8430soft"
1840,"0hard/-8419soft"
1842,"0hard/-8364soft"
1844,"0hard/-8319soft"
1867,"0hard/-8267soft"
1869,"0hard/-8201soft"
1870,"0hard/-8197soft"
1874,"0hard/-8191soft"
1923,"0hard/-8177soft"
1935,"0hard/-8166soft"
1943,"0hard/-8145soft"
1947,"0hard/-8068soft"
1949,"0hard/-7992soft"
1952,"0hard/-7951soft"
1954,"0hard/-7939soft"
1959,"0hard/-7869soft"
1961,"0hard/-7860soft"
1967,"0hard/-7837soft"
1970,"0hard/-7785soft"
1975,"0hard/-7772soft"
1976,"0hard/-7748soft"
1977,"0hard/-7736soft"
1980,"0hard/-7702soft"
1981,"0hard/-7671soft"
1983,"0hard/-7645soft"
1985,"0hard/-7581soft"
1988,"0hard/-7538soft"
2290,"0hard/-7513soft"
2310,"0hard/-7506soft"
2356,"0hard/-7505soft"
2357,"0hard/-7499soft"
2361,"0hard/-7472soft"
2362,"0hard/-7463soft"
2366,"0hard/-7462soft"
2369,"0hard/-7423soft"
2371,"0hard/-7417soft"
2374,"0hard/-7411soft"
2375,"0hard/-7381soft"
2379,"0hard/-7377soft"
2381,"0hard/-7335soft"
2577,"0hard/-7322soft"
2580,"0hard/-7311soft"
2581,"0hard/-7286soft"
2583,"0hard/-7234soft"
2585,"0hard/-7228soft"
2586,"0hard/-7181soft"
2588,"0hard/-7154soft"
2591,"0hard/-7134soft"
2593,"0hard/-7079soft"
2596,"0hard/-7060soft"
2598,"0hard/-7031soft"
2601,"0hard/-7010soft"
2603,"0hard/-6986soft"
2675,"0hard/-6958soft"
3172,"0hard/-6953soft"
3173,"0hard/-6908soft"
3175,"0hard/-6871soft"
3247,"0hard/-6870soft"
3250,"0hard/-6819soft"
3251,"0hard/-6808soft"
3254,"0hard/-6758soft"
3256,"0hard/-6680soft"
3277,"0hard/-6673soft"
3410,"0hard/-6672soft"
3415,"0hard/-6640soft"
3438,"0hard/-6624soft"
3439,"0hard/-6612soft"
3457,"0hard/-6592soft"
3458,"0hard/-6581soft"
3459,"0hard/-6523soft"
3461,"0hard/-6479soft"
3465,"0hard/-6445soft"
3466,"0hard/-6411soft"
3468,"0hard/-6390soft"
3469,"0hard/-6355soft"
3472,"0hard/-6341soft"
3477,"0hard/-6322soft"
3484,"0hard/-6278soft"
3485,"0hard/-6224soft"
3516,"0hard/-6223soft"
3517,"0hard/-6216soft"
3519,"0hard/-6199soft"
3520,"0hard/-6170soft"
3526,"0hard/-6133soft"
3528,"0hard/-6123soft"
3557,"0hard/-6105soft"
3562,"0hard/-6089soft"
3564,"0hard/-6070soft"
3567,"0hard/-6001soft"
3568,"0hard/-5978soft"
3575,"0hard/-5970soft"
3589,"0hard/-5946soft"
3591,"0hard/-5923soft"
3594,"0hard/-5916soft"
3627,"0hard/-5891soft"
3708,"0hard/-5846soft"
3724,"0hard/-5836soft"
3725,"0hard/-5808soft"
3726,"0hard/-5807soft"
3728,"0hard/-5754soft"
3749,"0hard/-5748soft"
3757,"0hard/-5738soft"
3769,"0hard/-5715soft"
4118,"0hard/-5701soft"
4124,"0hard/-5694soft"
4359,"0hard/-5653soft"
4361,"0hard/-5647soft"
4366,"0hard/-5645soft"
4371,"0hard/-5639soft"
4372,"0hard/-5634soft"
4443,"0hard/-5629soft"
4445,"0hard/-5627soft"
4452,"0hard/-5604soft"
4759,"0hard/-5602soft"
4766,"0hard/-5551soft"
4767,"0hard/-5532soft"
5072,"0hard/-5492soft"
5075,"0hard/-5481soft"
5076,"0hard/-5472soft"
5078,"0hard/-5433soft"
5080,"0hard/-5426soft"
5646,"0hard/-5421soft"
5650,"0hard/-5420soft"
5655,"0hard/-5414soft"
5660,"0hard/-5397soft"
5660,"0hard/-5374soft"
5666,"0hard/-5329soft"
5670,"0hard/-5286soft"
5676,"0hard/-5226soft"
5677,"0hard/-5192soft"
5705,"0hard/-5172soft"
5707,"0hard/-5144soft"
6291,"0hard/-5107soft"
6339,"0hard/-5092soft"
6341,"0hard/-5090soft"
6350,"0hard/-5088soft"
6801,"0hard/-5081soft"
6859,"0hard/-5063soft"
6860,"0hard/-5052soft"
6917,"0hard/-5038soft"
6921,"0hard/-5015soft"
6940,"0hard/-5005soft"
