"timeMillisSpent","score"
377,"0hard/-17800soft"
391,"0hard/-17700soft"
404,"0hard/-17600soft"
414,"0hard/-17500soft"
429,"0hard/-17400soft"
445,"0hard/-17300soft"
456,"0hard/-17200soft"
464,"0hard/-17100soft"
488,"0hard/-17000soft"
498,"0hard/-16900soft"
511,"0hard/-16800soft"
524,"0hard/-16700soft"
538,"0hard/-16600soft"
549,"0hard/-16500soft"
562,"0hard/-16400soft"
585,"0hard/-16300soft"
602,"0hard/-16200soft"
614,"0hard/-16100soft"
629,"0hard/-16000soft"
644,"0hard/-15900soft"
658,"0hard/-15800soft"
672,"0hard/-15700soft"
686,"0hard/-15600soft"
699,"0hard/-15500soft"
712,"0hard/-15400soft"
727,"0hard/-15300soft"
742,"0hard/-15200soft"
756,"0hard/-15100soft"
770,"0hard/-15000soft"
783,"0hard/-14900soft"
799,"0hard/-14800soft"
813,"0hard/-14700soft"
828,"0hard/-14600soft"
843,"0hard/-14500soft"
858,"0hard/-14400soft"
874,"0hard/-14300soft"
890,"0hard/-14200soft"
907,"0hard/-14100soft"
920,"0hard/-14000soft"
932,"0hard/-13900soft"
944,"0hard/-13800soft"
957,"0hard/-13700soft"
970,"0hard/-13600soft"
981,"0hard/-13500soft"
995,"0hard/-13400soft"
1009,"0hard/-13300soft"
1023,"0hard/-13200soft"
1035,"0hard/-13100soft"
1047,"0hard/-13000soft"
1064,"0hard/-12900soft"
1095,"0hard/-12800soft"
1109,"0hard/-12700soft"
1123,"0hard/-12600soft"
1137,"0hard/-12500soft"
1149,"0hard/-12400soft"
1163,"0hard/-12300soft"
1176,"0hard/-12200soft"
1189,"0hard/-12100soft"
1202,"0hard/-12000soft"
1213,"0hard/-11900soft"
1226,"0hard/-11800soft"
1242,"0hard/-11700soft"
1256,"0hard/-11600soft"
1269,"0hard/-11500soft"
1283,"0hard/-11400soft"
1300,"0hard/-11300soft"
1313,"0hard/-11200soft"
1326,"0hard/-11100soft"
1338,"0hard/-11000soft"
1348,"0hard/-10900soft"
1361,"0hard/-10800soft"
1373,"0hard/-10700soft"
1387,"0hard/-10600soft"
1397,"0hard/-10500soft"
1410,"0hard/-10400soft"
1423,"0hard/-10300soft"
1433,"0hard/-10200soft"
1445,"0hard/-10100soft"
1458,"0hard/-10000soft"
1469,"0hard/-9900soft"
1481,"0hard/-9800soft"
1493,"0hard/-9700soft"
1506,"0hard/-9600soft"
1519,"0hard/-9500soft"
1530,"0hard/-9400soft"
1543,"0hard/-9300soft"
1557,"0hard/-9200soft"
1570,"0hard/-9100soft"
1581,"0hard/-9001soft"
1595,"0hard/-8901soft"
1607,"0hard/-8801soft"
1619,"0hard/-8701soft"
1631,"0hard/-8601soft"
1644,"0hard/-8501soft"
1657,"0hard/-8401soft"
1672,"0hard/-8301soft"
1689,"0hard/-8201soft"
1699,"0hard/-8101soft"
1706,"0hard/-8001soft"
1727,"0hard/-7901soft"
1739,"0hard/-7801soft"
1749,"0hard/-7701soft"
1762,"0hard/-7601soft"
1776,"0hard/-7501soft"
1790,"0hard/-7401soft"
1801,"0hard/-7301soft"
1814,"0hard/-7201soft"
1827,"0hard/-7101soft"
1839,"0hard/-7001soft"
1850,"0hard/-6901soft"
1864,"0hard/-6801soft"
1877,"0hard/-6701soft"
1902,"0hard/-6601soft"
1919,"0hard/-6502soft"
1941,"0hard/-6402soft"
1955,"0hard/-6302soft"
1967,"0hard/-6202soft"
1980,"0hard/-6102soft"
1995,"0hard/-6002soft"
2016,"0hard/-5902soft"
2032,"0hard/-5802soft"
2055,"0hard/-5702soft"
2074,"0hard/-5602soft"
2095,"0hard/-5502soft"
2114,"0hard/-5403soft"
2132,"0hard/-5303soft"
2157,"0hard/-5204soft"
2184,"0hard/-5104soft"
2224,"0hard/-5004soft"
2280,"0hard/-4905soft"
2351,"0hard/-4805soft"
2375,"0hard/-4706soft"
2406,"0hard/-4606soft"
2428,"0hard/-4506soft"
2458,"0hard/-4406soft"
2477,"0hard/-4306soft"
2491,"0hard/-4206soft"
2505,"0hard/-4106soft"
2523,"0hard/-4007soft"
2536,"0hard/-3907soft"
2548,"0hard/-3807soft"
2564,"0hard/-3708soft"
2577,"0hard/-3608soft"
2591,"0hard/-3508soft"
2604,"0hard/-3411soft"
2615,"0hard/-3311soft"
2629,"0hard/-3211soft"
2643,"0hard/-3111soft"
2656,"0hard/-3011soft"
2667,"0hard/-2914soft"
2682,"0hard/-2814soft"
2698,"0hard/-2714soft"
2711,"0hard/-2617soft"
2726,"0hard/-2519soft"
2739,"0hard/-2421soft"
2750,"0hard/-2323soft"
2764,"0hard/-2223soft"
2777,"0hard/-2128soft"
2790,"0hard/-2029soft"
2804,"0hard/-1929soft"
2816,"0hard/-1831soft"
2831,"0hard/-1732soft"
2848,"0hard/-1632soft"
2863,"0hard/-1535soft"
2881,"0hard/-1435soft"
2915,"0hard/-1337soft"
2947,"0hard/-1244soft"
2963,"0hard/-1153soft"
2977,"0hard/-1054soft"
2992,"0hard/-956soft"
3006,"0hard/-858soft"
3020,"0hard/-772soft"
3039,"0hard/-680soft"
3051,"0hard/-601soft"
3072,"0hard/-516soft"
3084,"0hard/-490soft"
3100,"0hard/-390soft"
3115,"0hard/-348soft"
3136,"0hard/-341soft"
3156,"0hard/-330soft"
3170,"0hard/-323soft"
3183,"0hard/-316soft"
3198,"0hard/-313soft"
3212,"0hard/-309soft"
3227,"0hard/-302soft"
3241,"0hard/-298soft"
3256,"0hard/-295soft"
3270,"0hard/-288soft"
3282,"0hard/-284soft"
3295,"0hard/-283soft"
3309,"0hard/-282soft"
3323,"0hard/-279soft"
3348,"0hard/-277soft"
3363,"0hard/-275soft"
3375,"0hard/-274soft"
3388,"0hard/-273soft"
3398,"0hard/-266soft"
3411,"0hard/-265soft"
3424,"0hard/-264soft"
3437,"0hard/-261soft"
3448,"0hard/-259soft"
3464,"0hard/-258soft"
3531,"0hard/-254soft"
3544,"0hard/-252soft"
3557,"0hard/-251soft"
3567,"0hard/-248soft"
3581,"0hard/-247soft"
3593,"0hard/-246soft"
3606,"0hard/-245soft"
3642,"0hard/-243soft"
3684,"0hard/-242soft"
3706,"0hard/-240soft"
3741,"0hard/-239soft"
3794,"0hard/-238soft"
3833,"0hard/-236soft"
3849,"0hard/-234soft"
3954,"0hard/-232soft"
4027,"0hard/-231soft"
4998,"0hard/-230soft"
5042,"0hard/-229soft"
5113,"0hard/-228soft"
5136,"0hard/-227soft"
5839,"0hard/-226soft"
5857,"0hard/-225soft"
5994,"0hard/-224soft"
6009,"0hard/-223soft"
6021,"0hard/-220soft"
7148,"0hard/-219soft"
7178,"0hard/-218soft"
8925,"0hard/-217soft"
22055,"0hard/-216soft"
