"timeMillisSpent","score"
569,"0hard/-3036soft"
578,"0hard/-2964soft"
592,"0hard/-2948soft"
647,"0hard/-2945soft"
649,"0hard/-2917soft"
780,"0hard/-2899soft"
914,"0hard/-2895soft"
963,"0hard/-2891soft"
964,"0hard/-2885soft"
1189,"0hard/-2843soft"
1931,"0hard/-2830soft"
2037,"0hard/-2813soft"
2390,"0hard/-2763soft"
2391,"0hard/-2725soft"
6432,"0hard/-2724soft"
6433,"0hard/-2719soft"
6437,"0hard/-2715soft"
6779,"0hard/-2706soft"
6782,"0hard/-2657soft"
7483,"0hard/-2656soft"
7484,"0hard/-2642soft"
7486,"0hard/-2638soft"
7488,"0hard/-2613soft"
7489,"0hard/-2609soft"
8090,"0hard/-2603soft"
8103,"0hard/-2602soft"
9151,"0hard/-2586soft"
9152,"0hard/-2583soft"
9155,"0hard/-2577soft"
9669,"0hard/-2570soft"
9677,"0hard/-2563soft"
9680,"0hard/-2547soft"
9755,"0hard/-2545soft"
10907,"0hard/-2528soft"
10908,"0hard/-2525soft"
11881,"0hard/-2519soft"
12364,"0hard/-2508soft"
12365,"0hard/-2493soft"
12367,"0hard/-2456soft"
12370,"0hard/-2455soft"
12962,"0hard/-2437soft"
13452,"0hard/-2432soft"
14748,"0hard/-2425soft"
15061,"0hard/-2419soft"
15117,"0hard/-2402soft"
16466,"0hard/-2397soft"
16550,"0hard/-2392soft"
17076,"0hard/-2362soft"
17669,"0hard/-2356soft"
17886,"0hard/-2337soft"
18363,"0hard/-2326soft"
18364,"0hard/-2311soft"
18365,"0hard/-2301soft"
20001,"0hard/-2291soft"
20004,"0hard/-2290soft"
20006,"0hard/-2285soft"
20436,"0hard/-2244soft"
20439,"0hard/-2233soft"
22849,"0hard/-2196soft"
22853,"0hard/-2182soft"
22854,"0hard/-2181soft"
25018,"0hard/-2165soft"
25612,"0hard/-2161soft"
26050,"0hard/-2149soft"
26051,"0hard/-2146soft"
26523,"0hard/-2114soft"
26526,"0hard/-2111soft"
28668,"0hard/-2103soft"
29119,"0hard/-2095soft"
29736,"0hard/-2094soft"
29737,"0hard/-2087soft"
30290,"0hard/-2083soft"
30824,"0hard/-2061soft"
31299,"0hard/-2048soft"
31300,"0hard/-2047soft"
31302,"0hard/-2028soft"
32539,"0hard/-2012soft"
33015,"0hard/-2002soft"
35168,"0hard/-1998soft"
35186,"0hard/-1980soft"
35811,"0hard/-1978soft"
35816,"0hard/-1977soft"
35818,"0hard/-1953soft"
38970,"0hard/-1947soft"
38972,"0hard/-1937soft"
40566,"0hard/-1905soft"
42233,"0hard/-1893soft"
42236,"0hard/-1891soft"
43445,"0hard/-1876soft"
44080,"0hard/-1871soft"
45124,"0hard/-1848soft"
45893,"0hard/-1839soft"
46658,"0hard/-1824soft"
46660,"0hard/-1819soft"
48430,"0hard/-1812soft"
49017,"0hard/-1805soft"
49020,"0hard/-1799soft"
49507,"0hard/-1794soft"
49677,"0hard/-1790soft"
49679,"0hard/-1787soft"
49681,"0hard/-1783soft"
50155,"0hard/-1771soft"
50163,"0hard/-1767soft"
50164,"0hard/-1733soft"
52024,"0hard/-1718soft"
52026,"0hard/-1709soft"
53294,"0hard/-1691soft"
53295,"0hard/-1667soft"
59438,"0hard/-1645soft"
