"timeMillisSpent","score"
443,"0hard/-17800soft"
466,"0hard/-17777soft"
468,"0hard/-17741soft"
469,"0hard/-17698soft"
470,"0hard/-17634soft"
471,"0hard/-17589soft"
472,"0hard/-17555soft"
473,"0hard/-17477soft"
480,"0hard/-17472soft"
482,"0hard/-17431soft"
487,"0hard/-17380soft"
488,"0hard/-17374soft"
489,"0hard/-17291soft"
491,"0hard/-17271soft"
492,"0hard/-17221soft"
494,"0hard/-17155soft"
494,"0hard/-17056soft"
495,"0hard/-17004soft"
496,"0hard/-16974soft"
497,"0hard/-16909soft"
498,"0hard/-16846soft"
499,"0hard/-16775soft"
501,"0hard/-16712soft"
502,"0hard/-16664soft"
503,"0hard/-16623soft"
504,"0hard/-16610soft"
506,"0hard/-16594soft"
507,"0hard/-16576soft"
509,"0hard/-16510soft"
510,"0hard/-16417soft"
511,"0hard/-16347soft"
512,"0hard/-16278soft"
513,"0hard/-16191soft"
513,"0hard/-16092soft"
514,"0hard/-16059soft"
515,"0hard/-16035soft"
517,"0hard/-15944soft"
518,"0hard/-15847soft"
519,"0hard/-15813soft"
520,"0hard/-15748soft"
521,"0hard/-15710soft"
523,"0hard/-15696soft"
525,"0hard/-15617soft"
526,"0hard/-15595soft"
527,"0hard/-15575soft"
528,"0hard/-15520soft"
530,"0hard/-15448soft"
531,"0hard/-15377soft"
532,"0hard/-15317soft"
534,"0hard/-15235soft"
535,"0hard/-15151soft"
536,"0hard/-15144soft"
538,"0hard/-15137soft"
542,"0hard/-15077soft"
543,"0hard/-15031soft"
544,"0hard/-14955soft"
546,"0hard/-14936soft"
547,"0hard/-14845soft"
548,"0hard/-14833soft"
550,"0hard/-14825soft"
553,"0hard/-14796soft"
554,"0hard/-14706soft"
555,"0hard/-14612soft"
556,"0hard/-14542soft"
559,"0hard/-14480soft"
560,"0hard/-14408soft"
561,"0hard/-14403soft"
562,"0hard/-14359soft"
564,"0hard/-14357soft"
567,"0hard/-14340soft"
568,"0hard/-14288soft"
569,"0hard/-14284soft"
572,"0hard/-14257soft"
573,"0hard/-14228soft"
575,"0hard/-14164soft"
577,"0hard/-14138soft"
579,"0hard/-14101soft"
