"timeMillisSpent","score"
406,"0hard/-17800soft"
430,"0hard/-17701soft"
450,"0hard/-17602soft"
478,"0hard/-17503soft"
511,"0hard/-17403soft"
535,"0hard/-17303soft"
560,"0hard/-17204soft"
585,"0hard/-17105soft"
620,"0hard/-17006soft"
645,"0hard/-16907soft"
669,"0hard/-16808soft"
696,"0hard/-16709soft"
725,"0hard/-16610soft"
748,"0hard/-16511soft"
775,"0hard/-16412soft"
799,"0hard/-16312soft"
825,"0hard/-16213soft"
850,"0hard/-16114soft"
878,"0hard/-16014soft"
902,"0hard/-15915soft"
929,"0hard/-15815soft"
954,"0hard/-15716soft"
977,"0hard/-15617soft"
996,"0hard/-15516soft"
1016,"0hard/-15417soft"
1036,"0hard/-15317soft"
1061,"0hard/-15217soft"
1082,"0hard/-15117soft"
1103,"0hard/-15016soft"
1126,"0hard/-14917soft"
1147,"0hard/-14816soft"
1169,"0hard/-14717soft"
1194,"0hard/-14619soft"
1217,"0hard/-14520soft"
1241,"0hard/-14421soft"
1265,"0hard/-14322soft"
1287,"0hard/-14222soft"
1314,"0hard/-14123soft"
1337,"0hard/-14024soft"
1361,"0hard/-13924soft"
1385,"0hard/-13826soft"
1411,"0hard/-13727soft"
1434,"0hard/-13628soft"
1460,"0hard/-13529soft"
1483,"0hard/-13430soft"
1510,"0hard/-13332soft"
1532,"0hard/-13233soft"
1558,"0hard/-13134soft"
1582,"0hard/-13035soft"
1610,"0hard/-12935soft"
1633,"0hard/-12835soft"
1657,"0hard/-12736soft"
1681,"0hard/-12638soft"
1708,"0hard/-12539soft"
1730,"0hard/-12440soft"
1756,"0hard/-12341soft"
1781,"0hard/-12242soft"
1804,"0hard/-12143soft"
1830,"0hard/-12044soft"
1856,"0hard/-11945soft"
1881,"0hard/-11846soft"
1910,"0hard/-11747soft"
1934,"0hard/-11648soft"
1961,"0hard/-11549soft"
1987,"0hard/-11450soft"
2012,"0hard/-11350soft"
2035,"0hard/-11251soft"
2062,"0hard/-11152soft"
2086,"0hard/-11054soft"
2112,"0hard/-10954soft"
2135,"0hard/-10855soft"
2159,"0hard/-10755soft"
2182,"0hard/-10656soft"
2207,"0hard/-10557soft"
2234,"0hard/-10459soft"
2263,"0hard/-10360soft"
2290,"0hard/-10261soft"
2315,"0hard/-10161soft"
2338,"0hard/-10061soft"
2362,"0hard/-9961soft"
2384,"0hard/-9861soft"
2411,"0hard/-9762soft"
2436,"0hard/-9663soft"
2463,"0hard/-9564soft"
2489,"0hard/-9465soft"
2516,"0hard/-9366soft"
2543,"0hard/-9267soft"
2568,"0hard/-9168soft"
2594,"0hard/-9069soft"
2619,"0hard/-8970soft"
2646,"0hard/-8871soft"
2677,"0hard/-8773soft"
2701,"0hard/-8674soft"
2728,"0hard/-8575soft"
2753,"0hard/-8476soft"
2782,"0hard/-8378soft"
2806,"0hard/-8279soft"
2835,"0hard/-8180soft"
2864,"0hard/-8081soft"
2888,"0hard/-7982soft"
2917,"0hard/-7883soft"
2945,"0hard/-7784soft"
2972,"0hard/-7685soft"
3000,"0hard/-7586soft"
3028,"0hard/-7486soft"
3053,"0hard/-7387soft"
