"timeMillisSpent","score"
181,"0hard/-17800soft"
185,"0hard/-17799soft"
187,"0hard/-17798soft"
188,"0hard/-17797soft"
190,"0hard/-17796soft"
192,"0hard/-17795soft"
194,"0hard/-17794soft"
197,"0hard/-17793soft"
199,"0hard/-17792soft"
202,"0hard/-17791soft"
205,"0hard/-17790soft"
209,"0hard/-17789soft"
212,"0hard/-17788soft"
226,"0hard/-17787soft"
231,"0hard/-17786soft"
236,"0hard/-17785soft"
241,"0hard/-17784soft"
247,"0hard/-17783soft"
253,"0hard/-17782soft"
259,"0hard/-17781soft"
266,"0hard/-17780soft"
273,"0hard/-17779soft"
280,"0hard/-17778soft"
287,"0hard/-17777soft"
295,"0hard/-17776soft"
303,"0hard/-17775soft"
310,"0hard/-17774soft"
318,"0hard/-17773soft"
326,"0hard/-17772soft"
335,"0hard/-17771soft"
344,"0hard/-17770soft"
354,"0hard/-17769soft"
363,"0hard/-17768soft"
372,"0hard/-17767soft"
379,"0hard/-17766soft"
387,"0hard/-17765soft"
395,"0hard/-17764soft"
403,"0hard/-17763soft"
413,"0hard/-17762soft"
421,"0hard/-17761soft"
429,"0hard/-17760soft"
436,"0hard/-17759soft"
446,"0hard/-17758soft"
458,"0hard/-17757soft"
470,"0hard/-17756soft"
470,"0hard/-17755soft"
485,"0hard/-17754soft"
485,"0hard/-17753soft"
501,"0hard/-17752soft"
501,"0hard/-17751soft"
516,"0hard/-17750soft"
516,"0hard/-17749soft"
532,"0hard/-17748soft"
532,"0hard/-17747soft"
532,"0hard/-17746soft"
548,"0hard/-17745soft"
548,"0hard/-17744soft"
563,"0hard/-17743soft"
563,"0hard/-17742soft"
579,"0hard/-17741soft"
579,"0hard/-17740soft"
579,"0hard/-17739soft"
595,"0hard/-17738soft"
595,"0hard/-17737soft"
610,"0hard/-17736soft"
610,"0hard/-17735soft"
626,"0hard/-17734soft"
626,"0hard/-17733soft"
641,"0hard/-17732soft"
641,"0hard/-17731soft"
657,"0hard/-17730soft"
657,"0hard/-17729soft"
673,"0hard/-17728soft"
688,"0hard/-17727soft"
688,"0hard/-17726soft"
704,"0hard/-17725soft"
704,"0hard/-17724soft"
720,"0hard/-17723soft"
720,"0hard/-17722soft"
735,"0hard/-17721soft"
735,"0hard/-17720soft"
751,"0hard/-17719soft"
751,"0hard/-17718soft"
766,"0hard/-17717soft"
766,"0hard/-17716soft"
782,"0hard/-17715soft"
798,"0hard/-17714soft"
798,"0hard/-17713soft"
813,"0hard/-17712soft"
829,"0hard/-17711soft"
829,"0hard/-17710soft"
845,"0hard/-17709soft"
845,"0hard/-17708soft"
