"timeMillisSpent","score"
3740,"-47hard/-9325soft"
3753,"-46hard/-9325soft"
3753,"-45hard/-9324soft"
3756,"-45hard/-9247soft"
3757,"-45hard/-9169soft"
3758,"-45hard/-9089soft"
3765,"-45hard/-8940soft"
3769,"-45hard/-8883soft"
3770,"-45hard/-8817soft"
3770,"-44hard/-8822soft"
3771,"-43hard/-8850soft"
3772,"-43hard/-8849soft"
3774,"-42hard/-8923soft"
3775,"-42hard/-8832soft"
3776,"-41hard/-8885soft"
3778,"-41hard/-8838soft"
3778,"-41hard/-8812soft"
3779,"-41hard/-8727soft"
3780,"-41hard/-8690soft"
3781,"-40hard/-8690soft"
3783,"-40hard/-8658soft"
3789,"-40hard/-8628soft"
3790,"-40hard/-8627soft"
3791,"-39hard/-8664soft"
3792,"-38hard/-8663soft"
3793,"-36hard/-8741soft"
3794,"-36hard/-8674soft"
3795,"-35hard/-8697soft"
3797,"-35hard/-8650soft"
3798,"-35hard/-8649soft"
3799,"-35hard/-8636soft"
3800,"-35hard/-8546soft"
3801,"-35hard/-8452soft"
3803,"-35hard/-8445soft"
3804,"-34hard/-8444soft"
3805,"-34hard/-8375soft"
3806,"-33hard/-8374soft"
3807,"-33hard/-8335soft"
3808,"-33hard/-8330soft"
3809,"-33hard/-8284soft"
3811,"-33hard/-8246soft"
3811,"-33hard/-8194soft"
3816,"-31hard/-8351soft"
3817,"-31hard/-8341soft"
3818,"-31hard/-8337soft"
3819,"-31hard/-8326soft"
3819,"-30hard/-8360soft"
3822,"-30hard/-8319soft"
3823,"-30hard/-8285soft"
3931,"-30hard/-7652soft"
3932,"-29hard/-7651soft"
3934,"-29hard/-7628soft"
3935,"-29hard/-7596soft"
3936,"-29hard/-7566soft"
3940,"-29hard/-7558soft"
3941,"-29hard/-7498soft"
3942,"-29hard/-7442soft"
118402,"-29hard/-6603soft"
118402,"-25hard/-6605soft"
358347,"-25hard/-6013soft"
358347,"-25hard/-5979soft"
