"timeMillisSpent","score"
3804,"-47hard/-9325soft"
3815,"-46hard/-9325soft"
3815,"-45hard/-9324soft"
3819,"-45hard/-9247soft"
3820,"-45hard/-9169soft"
3821,"-45hard/-9089soft"
3822,"-45hard/-8940soft"
3832,"-45hard/-8883soft"
3833,"-45hard/-8817soft"
3833,"-44hard/-8822soft"
3834,"-43hard/-8850soft"
3835,"-43hard/-8849soft"
3837,"-42hard/-8923soft"
3838,"-42hard/-8832soft"
3839,"-41hard/-8885soft"
3840,"-41hard/-8838soft"
3841,"-41hard/-8812soft"
3842,"-41hard/-8727soft"
3843,"-41hard/-8690soft"
3844,"-40hard/-8690soft"
3846,"-40hard/-8658soft"
3852,"-40hard/-8628soft"
3853,"-40hard/-8627soft"
3854,"-39hard/-8664soft"
3855,"-38hard/-8663soft"
3856,"-36hard/-8741soft"
3857,"-36hard/-8674soft"
3857,"-35hard/-8697soft"
3859,"-35hard/-8650soft"
3861,"-35hard/-8649soft"
3861,"-35hard/-8636soft"
3862,"-35hard/-8546soft"
3863,"-35hard/-8452soft"
3865,"-35hard/-8445soft"
3866,"-34hard/-8444soft"
3867,"-34hard/-8375soft"
3868,"-33hard/-8374soft"
3869,"-33hard/-8335soft"
3870,"-33hard/-8330soft"
3872,"-33hard/-8284soft"
3873,"-33hard/-8246soft"
3874,"-33hard/-8194soft"
3877,"-31hard/-8351soft"
3878,"-31hard/-8341soft"
3879,"-31hard/-8337soft"
3880,"-31hard/-8326soft"
3881,"-30hard/-8360soft"
3884,"-30hard/-8319soft"
3885,"-30hard/-8285soft"
3991,"-30hard/-7652soft"
3992,"-29hard/-7651soft"
3994,"-29hard/-7628soft"
3995,"-29hard/-7596soft"
3996,"-29hard/-7566soft"
4000,"-29hard/-7558soft"
4001,"-29hard/-7498soft"
4002,"-29hard/-7442soft"
4140,"-29hard/-7242soft"
4141,"-29hard/-7240soft"
4146,"-29hard/-7218soft"
4148,"-29hard/-7216soft"
4206,"-29hard/-6915soft"
4259,"-29hard/-6178soft"
4262,"-29hard/-6141soft"
4284,"-28hard/-6363soft"
