"timeMillisSpent","score"
535,"0hard/-17800soft"
550,"0hard/-17777soft"
552,"0hard/-17741soft"
553,"0hard/-17698soft"
571,"0hard/-17634soft"
572,"0hard/-17589soft"
573,"0hard/-17555soft"
574,"0hard/-17477soft"
575,"0hard/-17472soft"
575,"0hard/-17431soft"
577,"0hard/-17380soft"
578,"0hard/-17374soft"
579,"0hard/-17291soft"
580,"0hard/-17271soft"
581,"0hard/-17221soft"
584,"0hard/-17155soft"
585,"0hard/-17056soft"
586,"0hard/-17004soft"
587,"0hard/-16974soft"
589,"0hard/-16909soft"
590,"0hard/-16846soft"
591,"0hard/-16775soft"
592,"0hard/-16712soft"
593,"0hard/-16664soft"
594,"0hard/-16623soft"
595,"0hard/-16610soft"
595,"0hard/-16594soft"
598,"0hard/-16576soft"
599,"0hard/-16510soft"
600,"0hard/-16417soft"
601,"0hard/-16347soft"
603,"0hard/-16278soft"
604,"0hard/-16191soft"
605,"0hard/-16092soft"
606,"0hard/-16059soft"
607,"0hard/-16035soft"
608,"0hard/-15944soft"
609,"0hard/-15847soft"
609,"0hard/-15813soft"
610,"0hard/-15748soft"
611,"0hard/-15710soft"
612,"0hard/-15696soft"
613,"0hard/-15617soft"
615,"0hard/-15595soft"
616,"0hard/-15575soft"
617,"0hard/-15520soft"
620,"0hard/-15448soft"
620,"0hard/-15377soft"
621,"0hard/-15317soft"
623,"0hard/-15235soft"
624,"0hard/-15151soft"
625,"0hard/-15144soft"
626,"0hard/-15137soft"
628,"0hard/-15077soft"
631,"0hard/-15031soft"
632,"0hard/-14955soft"
635,"0hard/-14936soft"
637,"0hard/-14845soft"
638,"0hard/-14833soft"
638,"0hard/-14825soft"
641,"0hard/-14796soft"
642,"0hard/-14706soft"
642,"0hard/-14612soft"
643,"0hard/-14542soft"
644,"0hard/-14480soft"
645,"0hard/-14408soft"
646,"0hard/-14403soft"
648,"0hard/-14359soft"
650,"0hard/-14357soft"
654,"0hard/-14340soft"
655,"0hard/-14288soft"
655,"0hard/-14284soft"
658,"0hard/-14257soft"
659,"0hard/-14228soft"
660,"0hard/-14164soft"
662,"0hard/-14138soft"
666,"0hard/-14101soft"
667,"0hard/-14051soft"
668,"0hard/-14007soft"
670,"0hard/-14003soft"
671,"0hard/-13952soft"
672,"0hard/-13887soft"
677,"0hard/-13825soft"
678,"0hard/-13757soft"
679,"0hard/-13703soft"
681,"0hard/-13692soft"
682,"0hard/-13679soft"
684,"0hard/-13585soft"
685,"0hard/-13537soft"
687,"0hard/-13511soft"
688,"0hard/-13493soft"
689,"0hard/-13488soft"
690,"0hard/-13485soft"
692,"0hard/-13403soft"
693,"0hard/-13347soft"
695,"0hard/-13341soft"
695,"0hard/-13258soft"
697,"0hard/-13168soft"
699,"0hard/-13133soft"
700,"0hard/-13069soft"
702,"0hard/-13002soft"
703,"0hard/-12904soft"
704,"0hard/-12879soft"
706,"0hard/-12838soft"
707,"0hard/-12801soft"
709,"0hard/-12787soft"
710,"0hard/-12760soft"
715,"0hard/-12681soft"
717,"0hard/-12649soft"
718,"0hard/-12620soft"
719,"0hard/-12581soft"
720,"0hard/-12577soft"
722,"0hard/-12546soft"
734,"0hard/-12510soft"
743,"0hard/-12506soft"
744,"0hard/-12500soft"
745,"0hard/-12498soft"
746,"0hard/-12445soft"
748,"0hard/-12437soft"
751,"0hard/-12377soft"
752,"0hard/-12284soft"
756,"0hard/-12223soft"
757,"0hard/-12200soft"
758,"0hard/-12140soft"
759,"0hard/-12099soft"
760,"0hard/-12098soft"
762,"0hard/-12086soft"
763,"0hard/-12031soft"
765,"0hard/-11996soft"
768,"0hard/-11951soft"
769,"0hard/-11927soft"
770,"0hard/-11869soft"
772,"0hard/-11786soft"
774,"0hard/-11703soft"
775,"0hard/-11617soft"
776,"0hard/-11540soft"
777,"0hard/-11528soft"
781,"0hard/-11474soft"
784,"0hard/-11399soft"
785,"0hard/-11396soft"
790,"0hard/-11381soft"
791,"0hard/-11370soft"
792,"0hard/-11280soft"
831,"0hard/-11228soft"
868,"0hard/-11175soft"
871,"0hard/-11167soft"
879,"0hard/-11166soft"
910,"0hard/-11152soft"
931,"0hard/-11096soft"
940,"0hard/-11077soft"
972,"0hard/-11039soft"
973,"0hard/-10971soft"
977,"0hard/-10905soft"
978,"0hard/-10904soft"
980,"0hard/-10898soft"
981,"0hard/-10808soft"
984,"0hard/-10787soft"
989,"0hard/-10766soft"
991,"0hard/-10764soft"
994,"0hard/-10727soft"
1003,"0hard/-10677soft"
1004,"0hard/-10632soft"
1005,"0hard/-10614soft"
1007,"0hard/-10585soft"
1008,"0hard/-10584soft"
1009,"0hard/-10551soft"
1011,"0hard/-10550soft"
1012,"0hard/-10497soft"
1013,"0hard/-10477soft"
1015,"0hard/-10434soft"
1016,"0hard/-10366soft"
1041,"0hard/-10348soft"
1045,"0hard/-10341soft"
1047,"0hard/-10304soft"
1049,"0hard/-10293soft"
1052,"0hard/-10284soft"
1054,"0hard/-10204soft"
1055,"0hard/-10166soft"
1056,"0hard/-10165soft"
1058,"0hard/-10136soft"
1059,"0hard/-10048soft"
1062,"0hard/-10045soft"
1069,"0hard/-10037soft"
1070,"0hard/-10013soft"
1071,"0hard/-9989soft"
1078,"0hard/-9955soft"
1079,"0hard/-9887soft"
1082,"0hard/-9871soft"
1085,"0hard/-9855soft"
1087,"0hard/-9848soft"
1092,"0hard/-9839soft"
1100,"0hard/-9797soft"
1102,"0hard/-9789soft"
1104,"0hard/-9770soft"
1110,"0hard/-9749soft"
1111,"0hard/-9706soft"
1112,"0hard/-9697soft"
1114,"0hard/-9687soft"
1118,"0hard/-9672soft"
1119,"0hard/-9579soft"
1120,"0hard/-9576soft"
1122,"0hard/-9575soft"
1123,"0hard/-9517soft"
1124,"0hard/-9486soft"
1126,"0hard/-9456soft"
1129,"0hard/-9451soft"
1132,"0hard/-9450soft"
1134,"0hard/-9449soft"
1137,"0hard/-9372soft"
1141,"0hard/-9370soft"
1143,"0hard/-9311soft"
1147,"0hard/-9305soft"
1149,"0hard/-9304soft"
1154,"0hard/-9299soft"
1161,"0hard/-9238soft"
1162,"0hard/-9181soft"
1165,"0hard/-9116soft"
1170,"0hard/-9047soft"
1273,"0hard/-9031soft"
1311,"0hard/-8995soft"
1316,"0hard/-8992soft"
1318,"0hard/-8940soft"
1319,"0hard/-8925soft"
1321,"0hard/-8872soft"
1322,"0hard/-8798soft"
1326,"0hard/-8797soft"
1331,"0hard/-8709soft"
1360,"0hard/-8694soft"
1371,"0hard/-8663soft"
1372,"0hard/-8662soft"
1378,"0hard/-8642soft"
1380,"0hard/-8623soft"
1387,"0hard/-8591soft"
1389,"0hard/-8544soft"
1393,"0hard/-8497soft"
1394,"0hard/-8429soft"
1395,"0hard/-8428soft"
1398,"0hard/-8401soft"
1476,"0hard/-8399soft"
1482,"0hard/-8351soft"
1484,"0hard/-8350soft"
1485,"0hard/-8337soft"
1489,"0hard/-8324soft"
1494,"0hard/-8286soft"
1496,"0hard/-8285soft"
1505,"0hard/-8273soft"
1507,"0hard/-8244soft"
1508,"0hard/-8231soft"
1509,"0hard/-8202soft"
1569,"0hard/-8199soft"
1570,"0hard/-8119soft"
1578,"0hard/-8108soft"
1613,"0hard/-8038soft"
1634,"0hard/-8019soft"
1686,"0hard/-7978soft"
1717,"0hard/-7908soft"
1719,"0hard/-7859soft"
1721,"0hard/-7800soft"
1723,"0hard/-7777soft"
1724,"0hard/-7748soft"
1805,"0hard/-7717soft"
1807,"0hard/-7709soft"
1808,"0hard/-7697soft"
1810,"0hard/-7662soft"
1812,"0hard/-7646soft"
1814,"0hard/-7601soft"
1822,"0hard/-7586soft"
1823,"0hard/-7581soft"
1824,"0hard/-7580soft"
1825,"0hard/-7537soft"
1842,"0hard/-7533soft"
2313,"0hard/-7494soft"
2332,"0hard/-7479soft"
2338,"0hard/-7476soft"
2342,"0hard/-7475soft"
2353,"0hard/-7412soft"
2367,"0hard/-7367soft"
2368,"0hard/-7318soft"
2370,"0hard/-7316soft"
