"timeMillisSpent","score"
177,"0hard/-17800soft"
181,"0hard/-17777soft"
182,"0hard/-17741soft"
183,"0hard/-17698soft"
184,"0hard/-17634soft"
184,"0hard/-17589soft"
185,"0hard/-17555soft"
187,"0hard/-17477soft"
188,"0hard/-17472soft"
188,"0hard/-17431soft"
190,"0hard/-17380soft"
191,"0hard/-17374soft"
195,"0hard/-17291soft"
196,"0hard/-17271soft"
197,"0hard/-17221soft"
199,"0hard/-17155soft"
199,"0hard/-17056soft"
200,"0hard/-17004soft"
201,"0hard/-16974soft"
202,"0hard/-16909soft"
203,"0hard/-16846soft"
204,"0hard/-16775soft"
205,"0hard/-16712soft"
206,"0hard/-16664soft"
207,"0hard/-16623soft"
208,"0hard/-16610soft"
209,"0hard/-16594soft"
210,"0hard/-16497soft"
211,"0hard/-16401soft"
212,"0hard/-16363soft"
213,"0hard/-16293soft"
213,"0hard/-16224soft"
214,"0hard/-16137soft"
215,"0hard/-16038soft"
216,"0hard/-16005soft"
217,"0hard/-15981soft"
218,"0hard/-15890soft"
219,"0hard/-15793soft"
220,"0hard/-15759soft"
221,"0hard/-15731soft"
222,"0hard/-15652soft"
223,"0hard/-15630soft"
224,"0hard/-15610soft"
225,"0hard/-15555soft"
226,"0hard/-15483soft"
227,"0hard/-15412soft"
228,"0hard/-15352soft"
230,"0hard/-15270soft"
231,"0hard/-15186soft"
232,"0hard/-15111soft"
233,"0hard/-15104soft"
234,"0hard/-15065soft"
235,"0hard/-15053soft"
236,"0hard/-15030soft"
237,"0hard/-14977soft"
238,"0hard/-14965soft"
239,"0hard/-14869soft"
240,"0hard/-14864soft"
241,"0hard/-14773soft"
242,"0hard/-14761soft"
243,"0hard/-14753soft"
244,"0hard/-14699soft"
245,"0hard/-14644soft"
246,"0hard/-14554soft"
247,"0hard/-14460soft"
249,"0hard/-14389soft"
250,"0hard/-14317soft"
251,"0hard/-14312soft"
251,"0hard/-14268soft"
252,"0hard/-14175soft"
253,"0hard/-14131soft"
255,"0hard/-14113soft"
256,"0hard/-14061soft"
257,"0hard/-14057soft"
259,"0hard/-14030soft"
260,"0hard/-14001soft"
261,"0hard/-13937soft"
262,"0hard/-13928soft"
263,"0hard/-13875soft"
265,"0hard/-13863soft"
266,"0hard/-13834soft"
267,"0hard/-13784soft"
268,"0hard/-13740soft"
269,"0hard/-13736soft"
270,"0hard/-13685soft"
270,"0hard/-13620soft"
271,"0hard/-13542soft"
273,"0hard/-13512soft"
274,"0hard/-13504soft"
275,"0hard/-13480soft"
276,"0hard/-13405soft"
278,"0hard/-13337soft"
279,"0hard/-13283soft"
280,"0hard/-13264soft"
281,"0hard/-13170soft"
282,"0hard/-13122soft"
283,"0hard/-13096soft"
284,"0hard/-13078soft"
285,"0hard/-13073soft"
287,"0hard/-12999soft"
288,"0hard/-12933soft"
289,"0hard/-12925soft"
290,"0hard/-12891soft"
292,"0hard/-12817soft"
293,"0hard/-12734soft"
294,"0hard/-12644soft"
295,"0hard/-12622soft"
296,"0hard/-12587soft"
297,"0hard/-12513soft"
298,"0hard/-12482soft"
301,"0hard/-12422soft"
302,"0hard/-12409soft"
304,"0hard/-12395soft"
305,"0hard/-12368soft"
306,"0hard/-12357soft"
307,"0hard/-12259soft"
308,"0hard/-12164soft"
309,"0hard/-12071soft"
310,"0hard/-11975soft"
311,"0hard/-11946soft"
312,"0hard/-11917soft"
313,"0hard/-11899soft"
315,"0hard/-11863soft"
316,"0hard/-11861soft"
317,"0hard/-11860soft"
319,"0hard/-11773soft"
320,"0hard/-11743soft"
321,"0hard/-11724soft"
322,"0hard/-11693soft"
323,"0hard/-11687soft"
324,"0hard/-11630soft"
326,"0hard/-11586soft"
327,"0hard/-11526soft"
329,"0hard/-11519soft"
330,"0hard/-11459soft"
331,"0hard/-11418soft"
332,"0hard/-11417soft"
333,"0hard/-11405soft"
334,"0hard/-11401soft"
335,"0hard/-11348soft"
336,"0hard/-11302soft"
337,"0hard/-11254soft"
