"timeMillisSpent","score"
190,"0hard/-17800soft"
194,"0hard/-17799soft"
195,"0hard/-17798soft"
197,"0hard/-17797soft"
198,"0hard/-17796soft"
200,"0hard/-17795soft"
202,"0hard/-17794soft"
205,"0hard/-17793soft"
207,"0hard/-17792soft"
213,"0hard/-17791soft"
216,"0hard/-17790soft"
219,"0hard/-17789soft"
222,"0hard/-17788soft"
226,"0hard/-17787soft"
229,"0hard/-17786soft"
233,"0hard/-17785soft"
238,"0hard/-17784soft"
242,"0hard/-17783soft"
247,"0hard/-17782soft"
253,"0hard/-17781soft"
258,"0hard/-17780soft"
262,"0hard/-17779soft"
268,"0hard/-17778soft"
274,"0hard/-17777soft"
279,"0hard/-17776soft"
285,"0hard/-17775soft"
292,"0hard/-17774soft"
298,"0hard/-17773soft"
304,"0hard/-17772soft"
311,"0hard/-17771soft"
318,"0hard/-17770soft"
325,"0hard/-17769soft"
332,"0hard/-17768soft"
339,"0hard/-17767soft"
348,"0hard/-17766soft"
356,"0hard/-17765soft"
362,"0hard/-17764soft"
370,"0hard/-17763soft"
378,"0hard/-17762soft"
385,"0hard/-17761soft"
393,"0hard/-17760soft"
399,"0hard/-17759soft"
408,"0hard/-17758soft"
414,"0hard/-17757soft"
420,"0hard/-17756soft"
426,"0hard/-17755soft"
433,"0hard/-17754soft"
441,"0hard/-17753soft"
448,"0hard/-17752soft"
448,"0hard/-17751soft"
464,"0hard/-17750soft"
464,"0hard/-17749soft"
480,"0hard/-17748soft"
480,"0hard/-17747soft"
495,"0hard/-17746soft"
495,"0hard/-17745soft"
495,"0hard/-17744soft"
511,"0hard/-17743soft"
511,"0hard/-17742soft"
526,"0hard/-17741soft"
526,"0hard/-17740soft"
542,"0hard/-17739soft"
542,"0hard/-17738soft"
558,"0hard/-17737soft"
573,"0hard/-17736soft"
573,"0hard/-17735soft"
589,"0hard/-17734soft"
605,"0hard/-17733soft"
605,"0hard/-17732soft"
620,"0hard/-17731soft"
620,"0hard/-17730soft"
636,"0hard/-17729soft"
636,"0hard/-17728soft"
651,"0hard/-17727soft"
651,"0hard/-17726soft"
667,"0hard/-17725soft"
