"timeMillisSpent","score"
437,"0hard/-17800soft"
451,"0hard/-17740soft"
452,"0hard/-17661soft"
454,"0hard/-17648soft"
455,"0hard/-17591soft"
466,"0hard/-17583soft"
468,"0hard/-17497soft"
469,"0hard/-17473soft"
470,"0hard/-17460soft"
471,"0hard/-17429soft"
474,"0hard/-17421soft"
475,"0hard/-17353soft"
477,"0hard/-17319soft"
479,"0hard/-17226soft"
481,"0hard/-17166soft"
483,"0hard/-17097soft"
484,"0hard/-17014soft"
485,"0hard/-16942soft"
487,"0hard/-16867soft"
488,"0hard/-16859soft"
489,"0hard/-16816soft"
493,"0hard/-16748soft"
495,"0hard/-16704soft"
496,"0hard/-16612soft"
498,"0hard/-16578soft"
499,"0hard/-16576soft"
503,"0hard/-16522soft"
504,"0hard/-16461soft"
505,"0hard/-16412soft"
507,"0hard/-16397soft"
508,"0hard/-16390soft"
509,"0hard/-16346soft"
511,"0hard/-16279soft"
512,"0hard/-16246soft"
513,"0hard/-16192soft"
514,"0hard/-16157soft"
515,"0hard/-16134soft"
517,"0hard/-16103soft"
518,"0hard/-16031soft"
520,"0hard/-15995soft"
521,"0hard/-15959soft"
523,"0hard/-15944soft"
524,"0hard/-15942soft"
526,"0hard/-15905soft"
527,"0hard/-15875soft"
529,"0hard/-15814soft"
531,"0hard/-15804soft"
532,"0hard/-15800soft"
533,"0hard/-15740soft"
535,"0hard/-15731soft"
536,"0hard/-15647soft"
538,"0hard/-15635soft"
540,"0hard/-15623soft"
541,"0hard/-15532soft"
545,"0hard/-15494soft"
546,"0hard/-15492soft"
547,"0hard/-15408soft"
549,"0hard/-15381soft"
550,"0hard/-15366soft"
552,"0hard/-15346soft"
553,"0hard/-15319soft"
554,"0hard/-15266soft"
555,"0hard/-15171soft"
557,"0hard/-15150soft"
558,"0hard/-15069soft"
559,"0hard/-15043soft"
560,"0hard/-15013soft"
561,"0hard/-14960soft"
563,"0hard/-14883soft"
566,"0hard/-14822soft"
567,"0hard/-14732soft"
568,"0hard/-14684soft"
571,"0hard/-14603soft"
572,"0hard/-14555soft"
573,"0hard/-14466soft"
575,"0hard/-14395soft"
576,"0hard/-14378soft"
578,"0hard/-14292soft"
580,"0hard/-14257soft"
581,"0hard/-14210soft"
583,"0hard/-14117soft"
584,"0hard/-14066soft"
585,"0hard/-14063soft"
586,"0hard/-14012soft"
589,"0hard/-13995soft"
590,"0hard/-13994soft"
591,"0hard/-13901soft"
592,"0hard/-13860soft"
594,"0hard/-13814soft"
595,"0hard/-13772soft"
596,"0hard/-13718soft"
599,"0hard/-13661soft"
600,"0hard/-13649soft"
601,"0hard/-13605soft"
602,"0hard/-13591soft"
603,"0hard/-13583soft"
604,"0hard/-13582soft"
605,"0hard/-13504soft"
607,"0hard/-13422soft"
608,"0hard/-13414soft"
611,"0hard/-13408soft"
612,"0hard/-13333soft"
614,"0hard/-13314soft"
615,"0hard/-13302soft"
617,"0hard/-13295soft"
618,"0hard/-13207soft"
620,"0hard/-13164soft"
621,"0hard/-13155soft"
622,"0hard/-13101soft"
623,"0hard/-13093soft"
624,"0hard/-13091soft"
625,"0hard/-13063soft"
626,"0hard/-12995soft"
627,"0hard/-12987soft"
629,"0hard/-12954soft"
630,"0hard/-12924soft"
631,"0hard/-12909soft"
632,"0hard/-12890soft"
633,"0hard/-12855soft"
634,"0hard/-12844soft"
635,"0hard/-12843soft"
636,"0hard/-12830soft"
640,"0hard/-12794soft"
641,"0hard/-12773soft"
642,"0hard/-12738soft"
643,"0hard/-12737soft"
645,"0hard/-12703soft"
647,"0hard/-12655soft"
648,"0hard/-12590soft"
649,"0hard/-12537soft"
650,"0hard/-12536soft"
651,"0hard/-12480soft"
654,"0hard/-12468soft"
655,"0hard/-12431soft"
655,"0hard/-12426soft"
656,"0hard/-12380soft"
658,"0hard/-12339soft"
659,"0hard/-12279soft"
660,"0hard/-12265soft"
663,"0hard/-12216soft"
663,"0hard/-12152soft"
