"timeMillisSpent","score"
172,"0hard/-17800soft"
219,"0hard/-17701soft"
250,"0hard/-17601soft"
281,"0hard/-17502soft"
312,"0hard/-17403soft"
344,"0hard/-17304soft"
375,"0hard/-17205soft"
406,"0hard/-17105soft"
437,"0hard/-17006soft"
482,"0hard/-16907soft"
500,"0hard/-16808soft"
515,"0hard/-16709soft"
546,"0hard/-16610soft"
562,"0hard/-16511soft"
578,"0hard/-16412soft"
593,"0hard/-16313soft"
609,"0hard/-16213soft"
625,"0hard/-16112soft"
656,"0hard/-16011soft"
671,"0hard/-15912soft"
687,"0hard/-15813soft"
703,"0hard/-15712soft"
718,"0hard/-15611soft"
734,"0hard/-15512soft"
750,"0hard/-15412soft"
765,"0hard/-15313soft"
796,"0hard/-15214soft"
812,"0hard/-15115soft"
828,"0hard/-15016soft"
843,"0hard/-14916soft"
859,"0hard/-14816soft"
890,"0hard/-14716soft"
906,"0hard/-14617soft"
921,"0hard/-14518soft"
937,"0hard/-14419soft"
968,"0hard/-14319soft"
984,"0hard/-14220soft"
1000,"0hard/-14120soft"
1015,"0hard/-14020soft"
1046,"0hard/-13921soft"
1062,"0hard/-13823soft"
1093,"0hard/-13723soft"
1109,"0hard/-13625soft"
1125,"0hard/-13526soft"
1156,"0hard/-13428soft"
1171,"0hard/-13329soft"
1203,"0hard/-13230soft"
1218,"0hard/-13131soft"
1234,"0hard/-13032soft"
1265,"0hard/-12933soft"
1281,"0hard/-12834soft"
1312,"0hard/-12735soft"
1328,"0hard/-12636soft"
1359,"0hard/-12536soft"
1375,"0hard/-12437soft"
1406,"0hard/-12338soft"
1421,"0hard/-12239soft"
1453,"0hard/-12140soft"
1468,"0hard/-12041soft"
1484,"0hard/-11942soft"
1515,"0hard/-11843soft"
1531,"0hard/-11744soft"
1562,"0hard/-11645soft"
1578,"0hard/-11546soft"
1609,"0hard/-11447soft"
1625,"0hard/-11348soft"
1656,"0hard/-11249soft"
1671,"0hard/-11150soft"
1703,"0hard/-11051soft"
1718,"0hard/-10952soft"
1734,"0hard/-10853soft"
1765,"0hard/-10754soft"
1781,"0hard/-10655soft"
1812,"0hard/-10556soft"
1828,"0hard/-10456soft"
1843,"0hard/-10357soft"
1874,"0hard/-10258soft"
1890,"0hard/-10159soft"
1921,"0hard/-10060soft"
1937,"0hard/-9961soft"
1968,"0hard/-9862soft"
1984,"0hard/-9763soft"
1999,"0hard/-9666soft"
2031,"0hard/-9568soft"
2062,"0hard/-9469soft"
2078,"0hard/-9369soft"
2093,"0hard/-9270soft"
2124,"0hard/-9171soft"
2140,"0hard/-9072soft"
2171,"0hard/-8973soft"
2187,"0hard/-8874soft"
2218,"0hard/-8775soft"
2234,"0hard/-8676soft"
2265,"0hard/-8577soft"
2281,"0hard/-8478soft"
2312,"0hard/-8379soft"
2328,"0hard/-8280soft"
2359,"0hard/-8182soft"
2374,"0hard/-8083soft"
2406,"0hard/-7984soft"
2421,"0hard/-7885soft"
2453,"0hard/-7786soft"
2468,"0hard/-7687soft"
2499,"0hard/-7588soft"
2515,"0hard/-7489soft"
2546,"0hard/-7391soft"
2578,"0hard/-7291soft"
2593,"0hard/-7192soft"
2609,"0hard/-7093soft"
2640,"0hard/-6994soft"
2656,"0hard/-6895soft"
2687,"0hard/-6796soft"
2718,"0hard/-6697soft"
2734,"0hard/-6598soft"
2765,"0hard/-6500soft"
2781,"0hard/-6401soft"
2812,"0hard/-6302soft"
2828,"0hard/-6203soft"
2859,"0hard/-6104soft"
2890,"0hard/-6004soft"
2906,"0hard/-5905soft"
2937,"0hard/-5806soft"
2953,"0hard/-5707soft"
2984,"0hard/-5608soft"
2999,"0hard/-5509soft"
3031,"0hard/-5411soft"
3062,"0hard/-5312soft"
3078,"0hard/-5213soft"
3109,"0hard/-5115soft"
3124,"0hard/-5017soft"
3156,"0hard/-4917soft"
3187,"0hard/-4818soft"
3203,"0hard/-4720soft"
3234,"0hard/-4621soft"
3249,"0hard/-4522soft"
3281,"0hard/-4423soft"
3312,"0hard/-4324soft"
3328,"0hard/-4225soft"
3359,"0hard/-4127soft"
3374,"0hard/-4028soft"
3406,"0hard/-3930soft"
3437,"0hard/-3830soft"
3452,"0hard/-3731soft"
3484,"0hard/-3632soft"
3499,"0hard/-3533soft"
3531,"0hard/-3435soft"
3562,"0hard/-3337soft"
3577,"0hard/-3242soft"
3609,"0hard/-3145soft"
3640,"0hard/-3048soft"
3656,"0hard/-2949soft"
3687,"0hard/-2850soft"
3718,"0hard/-2751soft"
3734,"0hard/-2652soft"
3765,"0hard/-2555soft"
3781,"0hard/-2456soft"
3812,"0hard/-2360soft"
3843,"0hard/-2263soft"
3859,"0hard/-2164soft"
3890,"0hard/-2065soft"
3921,"0hard/-1966soft"
3937,"0hard/-1870soft"
3968,"0hard/-1772soft"
3984,"0hard/-1674soft"
4015,"0hard/-1577soft"
4046,"0hard/-1478soft"
4077,"0hard/-1383soft"
4093,"0hard/-1291soft"
4124,"0hard/-1196soft"
4140,"0hard/-1100soft"
4171,"0hard/-1015soft"
4202,"0hard/-923soft"
4234,"0hard/-827soft"
4249,"0hard/-731soft"
4281,"0hard/-633soft"
4312,"0hard/-631soft"
4343,"0hard/-584soft"
4359,"0hard/-563soft"
4390,"0hard/-550soft"
4421,"0hard/-548soft"
4437,"0hard/-534soft"
4468,"0hard/-523soft"
4499,"0hard/-521soft"
4546,"0hard/-496soft"
4593,"0hard/-494soft"
4640,"0hard/-478soft"
4687,"0hard/-475soft"
4734,"0hard/-472soft"
