"timeMillisSpent","score"
169,"0hard/-17800soft"
193,"0hard/-17799soft"
196,"0hard/-17798soft"
202,"0hard/-17797soft"
219,"0hard/-17796soft"
219,"0hard/-17795soft"
234,"0hard/-17794soft"
250,"0hard/-17793soft"
265,"0hard/-17792soft"
281,"0hard/-17791soft"
297,"0hard/-17790soft"
328,"0hard/-17789soft"
359,"0hard/-17788soft"
375,"0hard/-17787soft"
406,"0hard/-17786soft"
437,"0hard/-17785soft"
469,"0hard/-17784soft"
484,"0hard/-17783soft"
500,"0hard/-17782soft"
531,"0hard/-17781soft"
547,"0hard/-17780soft"
562,"0hard/-17779soft"
594,"0hard/-17778soft"
609,"0hard/-17777soft"
640,"0hard/-17776soft"
672,"0hard/-17775soft"
687,"0hard/-17774soft"
719,"0hard/-17773soft"
750,"0hard/-17772soft"
787,"0hard/-17771soft"
803,"0hard/-17770soft"
850,"0hard/-17769soft"
884,"0hard/-17768soft"
916,"0hard/-17767soft"
968,"0hard/-17766soft"
995,"0hard/-17765soft"
1061,"0hard/-17764soft"
1110,"0hard/-17763soft"
1157,"0hard/-17762soft"
1198,"0hard/-17761soft"
1336,"0hard/-17760soft"
1439,"0hard/-17759soft"
1522,"0hard/-17758soft"
1615,"0hard/-17757soft"
1758,"0hard/-17756soft"
1898,"0hard/-17755soft"
2029,"0hard/-17754soft"
2113,"0hard/-17753soft"
2195,"0hard/-17752soft"
2269,"0hard/-17751soft"
2387,"0hard/-17750soft"
2481,"0hard/-17749soft"
2590,"0hard/-17748soft"
2781,"0hard/-17747soft"
2957,"0hard/-17746soft"
3098,"0hard/-17745soft"
3200,"0hard/-17744soft"
3329,"0hard/-17743soft"
3472,"0hard/-17742soft"
3696,"0hard/-17741soft"
3954,"0hard/-17740soft"
4184,"0hard/-17739soft"
4406,"0hard/-17738soft"
4684,"0hard/-17737soft"
4932,"0hard/-17736soft"
5164,"0hard/-17735soft"
5396,"0hard/-17734soft"
5551,"0hard/-17733soft"
5650,"0hard/-17732soft"
5746,"0hard/-17731soft"
5834,"0hard/-17730soft"
5925,"0hard/-17729soft"
6017,"0hard/-17728soft"
6108,"0hard/-17727soft"
6206,"0hard/-17726soft"
6303,"0hard/-17725soft"
6400,"0hard/-17724soft"
6500,"0hard/-17723soft"
6616,"0hard/-17722soft"
6741,"0hard/-17721soft"
6843,"0hard/-17720soft"
6974,"0hard/-17719soft"
7119,"0hard/-17718soft"
7267,"0hard/-17717soft"
7382,"0hard/-17716soft"
7521,"0hard/-17715soft"
7635,"0hard/-17714soft"
7767,"0hard/-17713soft"
7884,"0hard/-17712soft"
8001,"0hard/-17711soft"
8113,"0hard/-17710soft"
8223,"0hard/-17709soft"
8339,"0hard/-17708soft"
8452,"0hard/-17707soft"
8573,"0hard/-17706soft"
8701,"0hard/-17705soft"
8820,"0hard/-17704soft"
8974,"0hard/-17703soft"
9263,"0hard/-17702soft"
9473,"0hard/-17701soft"
9604,"0hard/-17700soft"
9735,"0hard/-17699soft"
9859,"0hard/-17698soft"
9992,"0hard/-17697soft"
10131,"0hard/-17696soft"
10265,"0hard/-17695soft"
10403,"0hard/-17694soft"
10533,"0hard/-17693soft"
10685,"0hard/-17692soft"
10848,"0hard/-17691soft"
10983,"0hard/-17690soft"
11124,"0hard/-17689soft"
11268,"0hard/-17688soft"
11418,"0hard/-17687soft"
11560,"0hard/-17686soft"
11718,"0hard/-17685soft"
11876,"0hard/-17684soft"
12033,"0hard/-17683soft"
12187,"0hard/-17682soft"
12341,"0hard/-17681soft"
12493,"0hard/-17680soft"
12644,"0hard/-17679soft"
12806,"0hard/-17678soft"
12958,"0hard/-17677soft"
13116,"0hard/-17676soft"
13276,"0hard/-17675soft"
13438,"0hard/-17674soft"
13593,"0hard/-17673soft"
13752,"0hard/-17672soft"
13911,"0hard/-17671soft"
14069,"0hard/-17670soft"
14229,"0hard/-17669soft"
14399,"0hard/-17668soft"
14559,"0hard/-17667soft"
14723,"0hard/-17666soft"
14887,"0hard/-17665soft"
15067,"0hard/-17664soft"
15240,"0hard/-17663soft"
15408,"0hard/-17662soft"
15585,"0hard/-17661soft"
15756,"0hard/-17660soft"
15930,"0hard/-17659soft"
16104,"0hard/-17658soft"
16287,"0hard/-17657soft"
16467,"0hard/-17656soft"
16653,"0hard/-17655soft"
16825,"0hard/-17654soft"
17002,"0hard/-17653soft"
17228,"0hard/-17652soft"
17411,"0hard/-17651soft"
17638,"0hard/-17650soft"
17849,"0hard/-17649soft"
18026,"0hard/-17648soft"
18218,"0hard/-17647soft"
18401,"0hard/-17646soft"
18623,"0hard/-17645soft"
18834,"0hard/-17644soft"
19054,"0hard/-17643soft"
19311,"0hard/-17642soft"
19522,"0hard/-17641soft"
19722,"0hard/-17640soft"
19923,"0hard/-17639soft"
20162,"0hard/-17638soft"
20386,"0hard/-17637soft"
20593,"0hard/-17636soft"
20862,"0hard/-17635soft"
21318,"0hard/-17634soft"
21575,"0hard/-17633soft"
21804,"0hard/-17632soft"
22029,"0hard/-17631soft"
22316,"0hard/-17630soft"
22596,"0hard/-17629soft"
22799,"0hard/-17628soft"
22987,"0hard/-17627soft"
23190,"0hard/-17626soft"
23382,"0hard/-17625soft"
23585,"0hard/-17624soft"
23788,"0hard/-17623soft"
24083,"0hard/-17622soft"
24358,"0hard/-17621soft"
24678,"0hard/-17620soft"
24925,"0hard/-17619soft"
25117,"0hard/-17618soft"
25336,"0hard/-17617soft"
25539,"0hard/-17616soft"
25758,"0hard/-17615soft"
25961,"0hard/-17614soft"
26164,"0hard/-17613soft"
26373,"0hard/-17612soft"
26592,"0hard/-17611soft"
26795,"0hard/-17610soft"
27014,"0hard/-17609soft"
27217,"0hard/-17608soft"
27435,"0hard/-17607soft"
27654,"0hard/-17606soft"
