"timeMillisSpent","score"
35524,"0hard/-9457soft"
35536,"0hard/-9359soft"
35537,"0hard/-9335soft"
35538,"0hard/-9334soft"
35540,"0hard/-9333soft"
35542,"0hard/-9309soft"
35543,"0hard/-9235soft"
35547,"0hard/-9147soft"
35548,"0hard/-9071soft"
35549,"0hard/-9058soft"
35551,"0hard/-8983soft"
35553,"0hard/-8957soft"
35554,"0hard/-8895soft"
35557,"0hard/-8852soft"
35558,"0hard/-8786soft"
35560,"0hard/-8714soft"
35561,"0hard/-8635soft"
35564,"0hard/-8626soft"
35565,"0hard/-8565soft"
35567,"0hard/-8552soft"
35568,"0hard/-8462soft"
35569,"0hard/-8445soft"
35570,"0hard/-8393soft"
35572,"0hard/-8375soft"
35573,"0hard/-8372soft"
35575,"0hard/-8364soft"
35576,"0hard/-8312soft"
35577,"0hard/-8288soft"
35582,"0hard/-8225soft"
35583,"0hard/-8188soft"
35585,"0hard/-8186soft"
35587,"0hard/-8185soft"
35590,"0hard/-8160soft"
35591,"0hard/-8108soft"
35592,"0hard/-8044soft"
35594,"0hard/-7985soft"
35597,"0hard/-7968soft"
35598,"0hard/-7962soft"
35600,"0hard/-7877soft"
35601,"0hard/-7781soft"
35602,"0hard/-7770soft"
35604,"0hard/-7694soft"
35604,"0hard/-7623soft"
35605,"0hard/-7540soft"
35607,"0hard/-7462soft"
35610,"0hard/-7429soft"
35611,"0hard/-7412soft"
35612,"0hard/-7390soft"
35616,"0hard/-7389soft"
35619,"0hard/-7387soft"
35621,"0hard/-7349soft"
35624,"0hard/-7297soft"
35626,"0hard/-7233soft"
35630,"0hard/-7232soft"
35632,"0hard/-7154soft"
35633,"0hard/-7115soft"
35635,"0hard/-7114soft"
35639,"0hard/-7018soft"
35640,"0hard/-7017soft"
35641,"0hard/-6945soft"
35642,"0hard/-6938soft"
35646,"0hard/-6893soft"
35647,"0hard/-6867soft"
35649,"0hard/-6845soft"
35651,"0hard/-6799soft"
35652,"0hard/-6765soft"
35652,"0hard/-6711soft"
35653,"0hard/-6659soft"
35654,"0hard/-6636soft"
35655,"0hard/-6613soft"
35655,"0hard/-6612soft"
35657,"0hard/-6540soft"
35658,"0hard/-6530soft"
35659,"0hard/-6467soft"
35660,"0hard/-6368soft"
35668,"0hard/-6330soft"
35696,"0hard/-6286soft"
35698,"0hard/-6195soft"
35732,"0hard/-6139soft"
35775,"0hard/-6136soft"
35778,"0hard/-6061soft"
35806,"0hard/-6014soft"
35815,"0hard/-5970soft"
35826,"0hard/-5931soft"
35832,"0hard/-5894soft"
35838,"0hard/-5889soft"
35842,"0hard/-5881soft"
35848,"0hard/-5795soft"
35850,"0hard/-5746soft"
35851,"0hard/-5743soft"
35852,"0hard/-5730soft"
35853,"0hard/-5679soft"
35857,"0hard/-5677soft"
35858,"0hard/-5659soft"
35862,"0hard/-5626soft"
35864,"0hard/-5572soft"
35867,"0hard/-5548soft"
35868,"0hard/-5542soft"
35869,"0hard/-5541soft"
35870,"0hard/-5540soft"
35873,"0hard/-5523soft"
35876,"0hard/-5507soft"
35877,"0hard/-5505soft"
35879,"0hard/-5436soft"
35880,"0hard/-5389soft"
35882,"0hard/-5361soft"
35883,"0hard/-5343soft"
35886,"0hard/-5309soft"
35892,"0hard/-5278soft"
35895,"0hard/-5276soft"
35897,"0hard/-5272soft"
35900,"0hard/-5200soft"
35902,"0hard/-5185soft"
35903,"0hard/-5145soft"
35904,"0hard/-5084soft"
35905,"0hard/-5080soft"
35906,"0hard/-5030soft"
35910,"0hard/-4957soft"
35911,"0hard/-4943soft"
35912,"0hard/-4868soft"
35913,"0hard/-4792soft"
35914,"0hard/-4752soft"
35915,"0hard/-4725soft"
35918,"0hard/-4718soft"
35920,"0hard/-4653soft"
35952,"0hard/-4620soft"
35956,"0hard/-4573soft"
35957,"0hard/-4545soft"
35959,"0hard/-4525soft"
35960,"0hard/-4497soft"
35962,"0hard/-4486soft"
35964,"0hard/-4483soft"
35965,"0hard/-4452soft"
35966,"0hard/-4364soft"
35967,"0hard/-4338soft"
35968,"0hard/-4328soft"
35970,"0hard/-4327soft"
35972,"0hard/-4320soft"
35978,"0hard/-4312soft"
35980,"0hard/-4304soft"
35982,"0hard/-4225soft"
35983,"0hard/-4188soft"
35984,"0hard/-4097soft"
35985,"0hard/-4095soft"
35986,"0hard/-4045soft"
35990,"0hard/-4044soft"
35992,"0hard/-4043soft"
35996,"0hard/-4000soft"
35998,"0hard/-3946soft"
36001,"0hard/-3924soft"
36002,"0hard/-3917soft"
36006,"0hard/-3886soft"
36010,"0hard/-3872soft"
36012,"0hard/-3846soft"
36014,"0hard/-3845soft"
36016,"0hard/-3836soft"
36020,"0hard/-3822soft"
36022,"0hard/-3820soft"
36023,"0hard/-3816soft"
36023,"0hard/-3798soft"
36025,"0hard/-3739soft"
36030,"0hard/-3718soft"
36031,"0hard/-3671soft"
36033,"0hard/-3644soft"
36034,"0hard/-3587soft"
36036,"0hard/-3567soft"
36039,"0hard/-3531soft"
36040,"0hard/-3517soft"
36042,"0hard/-3496soft"
36044,"0hard/-3495soft"
36046,"0hard/-3483soft"
36050,"0hard/-3479soft"
36051,"0hard/-3448soft"
36052,"0hard/-3441soft"
36054,"0hard/-3419soft"
36055,"0hard/-3410soft"
36056,"0hard/-3407soft"
36058,"0hard/-3405soft"
36060,"0hard/-3361soft"
36061,"0hard/-3340soft"
36062,"0hard/-3332soft"
36063,"0hard/-3254soft"
36065,"0hard/-3179soft"
36067,"0hard/-3172soft"
36067,"0hard/-3132soft"
36068,"0hard/-3131soft"
36069,"0hard/-3122soft"
36070,"0hard/-3120soft"
36072,"0hard/-3101soft"
36075,"0hard/-3066soft"
36077,"0hard/-3043soft"
36085,"0hard/-3027soft"
36086,"0hard/-3016soft"
36088,"0hard/-3014soft"
36088,"0hard/-2945soft"
36092,"0hard/-2940soft"
36097,"0hard/-2933soft"
36098,"0hard/-2916soft"
36101,"0hard/-2896soft"
36104,"0hard/-2880soft"
36106,"0hard/-2818soft"
36111,"0hard/-2804soft"
36112,"0hard/-2793soft"
36112,"0hard/-2792soft"
36114,"0hard/-2781soft"
36115,"0hard/-2748soft"
36116,"0hard/-2734soft"
36117,"0hard/-2733soft"
36119,"0hard/-2724soft"
36119,"0hard/-2709soft"
36123,"0hard/-2706soft"
36124,"0hard/-2689soft"
36127,"0hard/-2687soft"
36130,"0hard/-2679soft"
36131,"0hard/-2668soft"
36132,"0hard/-2621soft"
36133,"0hard/-2617soft"
36135,"0hard/-2584soft"
36138,"0hard/-2545soft"
36139,"0hard/-2523soft"
36141,"0hard/-2505soft"
36143,"0hard/-2485soft"
36144,"0hard/-2463soft"
36147,"0hard/-2388soft"
36151,"0hard/-2387soft"
36153,"0hard/-2364soft"
36154,"0hard/-2363soft"
36155,"0hard/-2326soft"
36156,"0hard/-2323soft"
36157,"0hard/-2311soft"
36163,"0hard/-2297soft"
36164,"0hard/-2285soft"
36169,"0hard/-2276soft"
36170,"0hard/-2234soft"
36171,"0hard/-2220soft"
36172,"0hard/-2214soft"
36176,"0hard/-2203soft"
36179,"0hard/-2161soft"
36183,"0hard/-2129soft"
36185,"0hard/-2128soft"
36187,"0hard/-2125soft"
36188,"0hard/-2119soft"
36223,"0hard/-2118soft"
36226,"0hard/-2107soft"
36236,"0hard/-2084soft"
36299,"0hard/-2073soft"
36318,"0hard/-2047soft"
36335,"0hard/-2046soft"
36343,"0hard/-2020soft"
36353,"0hard/-2015soft"
36357,"0hard/-2000soft"
36359,"0hard/-1999soft"
36362,"0hard/-1963soft"
36363,"0hard/-1962soft"
36366,"0hard/-1956soft"
36370,"0hard/-1879soft"
36372,"0hard/-1864soft"
36375,"0hard/-1821soft"
36381,"0hard/-1804soft"
36383,"0hard/-1790soft"
36385,"0hard/-1783soft"
36385,"0hard/-1777soft"
36388,"0hard/-1769soft"
36390,"0hard/-1763soft"
36394,"0hard/-1760soft"
36400,"0hard/-1755soft"
36401,"0hard/-1747soft"
36402,"0hard/-1744soft"
36405,"0hard/-1716soft"
36407,"0hard/-1701soft"
36434,"0hard/-1689soft"
36450,"0hard/-1688soft"
36452,"0hard/-1662soft"
36457,"0hard/-1635soft"
36459,"0hard/-1629soft"
36462,"0hard/-1623soft"
36466,"0hard/-1622soft"
36467,"0hard/-1614soft"
36469,"0hard/-1607soft"
36470,"0hard/-1606soft"
36474,"0hard/-1602soft"
36476,"0hard/-1587soft"
36483,"0hard/-1572soft"
36485,"0hard/-1570soft"
36487,"0hard/-1551soft"
36490,"0hard/-1535soft"
36492,"0hard/-1525soft"
36494,"0hard/-1522soft"
36496,"0hard/-1509soft"
36498,"0hard/-1505soft"
36499,"0hard/-1496soft"
36501,"0hard/-1490soft"
36502,"0hard/-1488soft"
36514,"0hard/-1487soft"
36517,"0hard/-1486soft"
36519,"0hard/-1483soft"
36521,"0hard/-1480soft"
36527,"0hard/-1471soft"
36528,"0hard/-1465soft"
36531,"0hard/-1448soft"
36533,"0hard/-1440soft"
36534,"0hard/-1383soft"
36539,"0hard/-1378soft"
36540,"0hard/-1377soft"
36546,"0hard/-1354soft"
36552,"0hard/-1353soft"
36555,"0hard/-1344soft"
36556,"0hard/-1330soft"
36557,"0hard/-1329soft"
36563,"0hard/-1323soft"
36564,"0hard/-1309soft"
36567,"0hard/-1304soft"
36569,"0hard/-1303soft"
36576,"0hard/-1302soft"
36589,"0hard/-1292soft"
36600,"0hard/-1289soft"
36602,"0hard/-1273soft"
36604,"0hard/-1260soft"
36606,"0hard/-1241soft"
36607,"0hard/-1240soft"
36611,"0hard/-1224soft"
36620,"0hard/-1222soft"
36623,"0hard/-1203soft"
36627,"0hard/-1200soft"
36630,"0hard/-1172soft"
36632,"0hard/-1160soft"
36634,"0hard/-1147soft"
36635,"0hard/-1143soft"
36640,"0hard/-1125soft"
36646,"0hard/-1118soft"
36648,"0hard/-1116soft"
36654,"0hard/-1115soft"
36655,"0hard/-1112soft"
36656,"0hard/-1101soft"
36663,"0hard/-1100soft"
36667,"0hard/-1097soft"
36678,"0hard/-1089soft"
36681,"0hard/-1079soft"
36688,"0hard/-1078soft"
36690,"0hard/-1065soft"
36690,"0hard/-1064soft"
36696,"0hard/-1056soft"
36698,"0hard/-1055soft"
36701,"0hard/-1054soft"
36705,"0hard/-1052soft"
36727,"0hard/-1051soft"
36839,"0hard/-1046soft"
36874,"0hard/-1033soft"
36883,"0hard/-1032soft"
36918,"0hard/-1028soft"
36926,"0hard/-1027soft"
36931,"0hard/-1024soft"
36943,"0hard/-1009soft"
36949,"0hard/-1007soft"
36951,"0hard/-1005soft"
36953,"0hard/-995soft"
36956,"0hard/-970soft"
36958,"0hard/-966soft"
