"timeMillisSpent","score"
35984,"0hard/-9457soft"
36035,"0hard/-9456soft"
36062,"0hard/-9357soft"
36085,"0hard/-9259soft"
36111,"0hard/-9160soft"
36134,"0hard/-9062soft"
36161,"0hard/-8963soft"
36182,"0hard/-8868soft"
36211,"0hard/-8778soft"
36235,"0hard/-8696soft"
36262,"0hard/-8690soft"
36285,"0hard/-8685soft"
36310,"0hard/-8683soft"
36334,"0hard/-8584soft"
36359,"0hard/-8485soft"
36382,"0hard/-8387soft"
36406,"0hard/-8312soft"
36434,"0hard/-8222soft"
36460,"0hard/-8131soft"
36485,"0hard/-8121soft"
36513,"0hard/-8120soft"
36541,"0hard/-8021soft"
36567,"0hard/-7922soft"
36593,"0hard/-7858soft"
36618,"0hard/-7850soft"
36647,"0hard/-7849soft"
36675,"0hard/-7836soft"
36700,"0hard/-7834soft"
36726,"0hard/-7833soft"
36752,"0hard/-7828soft"
36779,"0hard/-7822soft"
36808,"0hard/-7821soft"
36834,"0hard/-7722soft"
36862,"0hard/-7623soft"
36888,"0hard/-7524soft"
36918,"0hard/-7425soft"
36947,"0hard/-7326soft"
36976,"0hard/-7228soft"
37002,"0hard/-7128soft"
37030,"0hard/-7029soft"
37057,"0hard/-6930soft"
37084,"0hard/-6831soft"
37112,"0hard/-6732soft"
37140,"0hard/-6633soft"
37171,"0hard/-6535soft"
37200,"0hard/-6437soft"
37228,"0hard/-6338soft"
37255,"0hard/-6238soft"
37306,"0hard/-6139soft"
37371,"0hard/-6041soft"
37449,"0hard/-5942soft"
37498,"0hard/-5844soft"
37531,"0hard/-5745soft"
37562,"0hard/-5646soft"
37593,"0hard/-5547soft"
37622,"0hard/-5448soft"
37651,"0hard/-5351soft"
37689,"0hard/-5252soft"
37733,"0hard/-5153soft"
37770,"0hard/-5054soft"
37810,"0hard/-4956soft"
37849,"0hard/-4858soft"
37891,"0hard/-4762soft"
37932,"0hard/-4663soft"
37978,"0hard/-4564soft"
38038,"0hard/-4465soft"
38101,"0hard/-4366soft"
38149,"0hard/-4267soft"
38199,"0hard/-4168soft"
38234,"0hard/-4069soft"
38275,"0hard/-3974soft"
38314,"0hard/-3875soft"
38349,"0hard/-3777soft"
38385,"0hard/-3679soft"
38420,"0hard/-3581soft"
38455,"0hard/-3484soft"
38487,"0hard/-3386soft"
38521,"0hard/-3292soft"
38552,"0hard/-3194soft"
38582,"0hard/-3096soft"
