"timeMillisSpent","score"
217,"0hard/-17800soft"
224,"0hard/-17740soft"
225,"0hard/-17661soft"
226,"0hard/-17648soft"
227,"0hard/-17591soft"
227,"0hard/-17583soft"
228,"0hard/-17497soft"
229,"0hard/-17473soft"
230,"0hard/-17460soft"
231,"0hard/-17429soft"
232,"0hard/-17421soft"
233,"0hard/-17353soft"
234,"0hard/-17319soft"
235,"0hard/-17226soft"
236,"0hard/-17166soft"
237,"0hard/-17097soft"
238,"0hard/-17014soft"
239,"0hard/-16942soft"
240,"0hard/-16867soft"
241,"0hard/-16859soft"
242,"0hard/-16816soft"
252,"0hard/-16748soft"
253,"0hard/-16704soft"
254,"0hard/-16612soft"
255,"0hard/-16578soft"
256,"0hard/-16576soft"
258,"0hard/-16522soft"
259,"0hard/-16461soft"
260,"0hard/-16412soft"
262,"0hard/-16397soft"
263,"0hard/-16390soft"
264,"0hard/-16346soft"
264,"0hard/-16279soft"
265,"0hard/-16246soft"
266,"0hard/-16192soft"
267,"0hard/-16157soft"
268,"0hard/-16134soft"
269,"0hard/-16103soft"
270,"0hard/-16031soft"
272,"0hard/-15995soft"
273,"0hard/-15959soft"
274,"0hard/-15944soft"
275,"0hard/-15942soft"
276,"0hard/-15905soft"
277,"0hard/-15875soft"
278,"0hard/-15814soft"
279,"0hard/-15804soft"
280,"0hard/-15800soft"
281,"0hard/-15740soft"
283,"0hard/-15731soft"
283,"0hard/-15647soft"
285,"0hard/-15635soft"
286,"0hard/-15623soft"
287,"0hard/-15532soft"
290,"0hard/-15494soft"
290,"0hard/-15492soft"
291,"0hard/-15408soft"
292,"0hard/-15381soft"
293,"0hard/-15366soft"
295,"0hard/-15346soft"
296,"0hard/-15319soft"
297,"0hard/-15266soft"
297,"0hard/-15171soft"
298,"0hard/-15150soft"
299,"0hard/-15069soft"
300,"0hard/-15043soft"
301,"0hard/-15013soft"
302,"0hard/-14960soft"
304,"0hard/-14883soft"
306,"0hard/-14822soft"
307,"0hard/-14732soft"
308,"0hard/-14684soft"
310,"0hard/-14603soft"
311,"0hard/-14555soft"
312,"0hard/-14466soft"
313,"0hard/-14395soft"
314,"0hard/-14378soft"
315,"0hard/-14292soft"
317,"0hard/-14257soft"
318,"0hard/-14210soft"
320,"0hard/-14117soft"
321,"0hard/-14066soft"
321,"0hard/-14063soft"
322,"0hard/-14012soft"
325,"0hard/-13995soft"
326,"0hard/-13994soft"
327,"0hard/-13901soft"
328,"0hard/-13860soft"
329,"0hard/-13814soft"
330,"0hard/-13772soft"
331,"0hard/-13718soft"
334,"0hard/-13661soft"
335,"0hard/-13649soft"
335,"0hard/-13605soft"
336,"0hard/-13591soft"
337,"0hard/-13583soft"
338,"0hard/-13582soft"
339,"0hard/-13504soft"
341,"0hard/-13422soft"
342,"0hard/-13414soft"
343,"0hard/-13408soft"
344,"0hard/-13333soft"
345,"0hard/-13314soft"
346,"0hard/-13302soft"
348,"0hard/-13295soft"
349,"0hard/-13207soft"
351,"0hard/-13164soft"
352,"0hard/-13155soft"
353,"0hard/-13101soft"
355,"0hard/-13093soft"
356,"0hard/-13091soft"
357,"0hard/-13063soft"
358,"0hard/-12995soft"
359,"0hard/-12987soft"
360,"0hard/-12954soft"
361,"0hard/-12924soft"
362,"0hard/-12909soft"
363,"0hard/-12890soft"
364,"0hard/-12855soft"
365,"0hard/-12844soft"
366,"0hard/-12843soft"
367,"0hard/-12830soft"
371,"0hard/-12794soft"
372,"0hard/-12773soft"
373,"0hard/-12738soft"
374,"0hard/-12737soft"
376,"0hard/-12703soft"
378,"0hard/-12655soft"
379,"0hard/-12590soft"
380,"0hard/-12537soft"
381,"0hard/-12536soft"
382,"0hard/-12480soft"
385,"0hard/-12468soft"
386,"0hard/-12431soft"
387,"0hard/-12426soft"
388,"0hard/-12380soft"
390,"0hard/-12339soft"
391,"0hard/-12279soft"
392,"0hard/-12265soft"
394,"0hard/-12216soft"
395,"0hard/-12152soft"
396,"0hard/-12090soft"
397,"0hard/-12088soft"
399,"0hard/-12081soft"
400,"0hard/-12058soft"
402,"0hard/-12017soft"
402,"0hard/-11955soft"
403,"0hard/-11954soft"
404,"0hard/-11862soft"
405,"0hard/-11817soft"
409,"0hard/-11768soft"
410,"0hard/-11761soft"
411,"0hard/-11750soft"
412,"0hard/-11749soft"
414,"0hard/-11686soft"
416,"0hard/-11642soft"
417,"0hard/-11630soft"
418,"0hard/-11610soft"
418,"0hard/-11578soft"
421,"0hard/-11542soft"
422,"0hard/-11531soft"
426,"0hard/-11491soft"
437,"0hard/-11450soft"
445,"0hard/-11425soft"
446,"0hard/-11392soft"
447,"0hard/-11377soft"
447,"0hard/-11338soft"
449,"0hard/-11280soft"
451,"0hard/-11267soft"
452,"0hard/-11266soft"
452,"0hard/-11242soft"
453,"0hard/-11241soft"
462,"0hard/-11211soft"
464,"0hard/-11122soft"
467,"0hard/-11121soft"
468,"0hard/-11108soft"
469,"0hard/-11064soft"
471,"0hard/-11039soft"
482,"0hard/-11020soft"
483,"0hard/-10965soft"
484,"0hard/-10916soft"
486,"0hard/-10915soft"
487,"0hard/-10837soft"
490,"0hard/-10828soft"
494,"0hard/-10751soft"
495,"0hard/-10711soft"
502,"0hard/-10663soft"
503,"0hard/-10585soft"
504,"0hard/-10507soft"
505,"0hard/-10481soft"
508,"0hard/-10464soft"
511,"0hard/-10448soft"
516,"0hard/-10445soft"
517,"0hard/-10444soft"
518,"0hard/-10441soft"
523,"0hard/-10426soft"
525,"0hard/-10348soft"
527,"0hard/-10285soft"
529,"0hard/-10228soft"
534,"0hard/-10166soft"
535,"0hard/-10124soft"
536,"0hard/-10115soft"
537,"0hard/-10097soft"
541,"0hard/-10094soft"
543,"0hard/-10031soft"
544,"0hard/-9992soft"
545,"0hard/-9909soft"
547,"0hard/-9897soft"
548,"0hard/-9848soft"
549,"0hard/-9840soft"
552,"0hard/-9829soft"
553,"0hard/-9801soft"
554,"0hard/-9800soft"
555,"0hard/-9796soft"
555,"0hard/-9763soft"
556,"0hard/-9762soft"
560,"0hard/-9757soft"
561,"0hard/-9741soft"
563,"0hard/-9697soft"
569,"0hard/-9636soft"
570,"0hard/-9583soft"
571,"0hard/-9564soft"
572,"0hard/-9548soft"
574,"0hard/-9509soft"
582,"0hard/-9475soft"
583,"0hard/-9473soft"
585,"0hard/-9465soft"
587,"0hard/-9454soft"
588,"0hard/-9445soft"
591,"0hard/-9390soft"
593,"0hard/-9360soft"
594,"0hard/-9350soft"
595,"0hard/-9335soft"
597,"0hard/-9325soft"
598,"0hard/-9285soft"
601,"0hard/-9270soft"
601,"0hard/-9219soft"
603,"0hard/-9198soft"
606,"0hard/-9169soft"
607,"0hard/-9129soft"
611,"0hard/-9116soft"
613,"0hard/-9067soft"
615,"0hard/-9043soft"
616,"0hard/-8990soft"
617,"0hard/-8986soft"
618,"0hard/-8985soft"
620,"0hard/-8984soft"
623,"0hard/-8967soft"
626,"0hard/-8942soft"
630,"0hard/-8939soft"
639,"0hard/-8869soft"
640,"0hard/-8823soft"
642,"0hard/-8805soft"
642,"0hard/-8796soft"
643,"0hard/-8775soft"
652,"0hard/-8736soft"
653,"0hard/-8735soft"
654,"0hard/-8653soft"
655,"0hard/-8644soft"
656,"0hard/-8637soft"
659,"0hard/-8618soft"
660,"0hard/-8617soft"
663,"0hard/-8567soft"
664,"0hard/-8549soft"
669,"0hard/-8530soft"
671,"0hard/-8472soft"
672,"0hard/-8471soft"
673,"0hard/-8436soft"
675,"0hard/-8382soft"
679,"0hard/-8377soft"
681,"0hard/-8376soft"
684,"0hard/-8371soft"
685,"0hard/-8327soft"
719,"0hard/-8322soft"
