"timeMillisSpent","score"
200,"0hard/-17800soft"
219,"0hard/-17740soft"
220,"0hard/-17661soft"
221,"0hard/-17648soft"
222,"0hard/-17591soft"
223,"0hard/-17583soft"
224,"0hard/-17497soft"
225,"0hard/-17473soft"
226,"0hard/-17460soft"
227,"0hard/-17429soft"
229,"0hard/-17421soft"
230,"0hard/-17353soft"
230,"0hard/-17319soft"
231,"0hard/-17226soft"
232,"0hard/-17166soft"
234,"0hard/-17097soft"
235,"0hard/-17014soft"
235,"0hard/-16942soft"
236,"0hard/-16867soft"
237,"0hard/-16859soft"
238,"0hard/-16816soft"
239,"0hard/-16748soft"
240,"0hard/-16704soft"
241,"0hard/-16612soft"
242,"0hard/-16578soft"
243,"0hard/-16576soft"
245,"0hard/-16522soft"
246,"0hard/-16461soft"
247,"0hard/-16412soft"
248,"0hard/-16366soft"
249,"0hard/-16303soft"
249,"0hard/-16263soft"
250,"0hard/-16196soft"
251,"0hard/-16163soft"
252,"0hard/-16109soft"
253,"0hard/-16074soft"
254,"0hard/-16051soft"
255,"0hard/-16020soft"
257,"0hard/-15984soft"
258,"0hard/-15948soft"
259,"0hard/-15933soft"
259,"0hard/-15931soft"
260,"0hard/-15894soft"
261,"0hard/-15864soft"
262,"0hard/-15803soft"
264,"0hard/-15793soft"
265,"0hard/-15789soft"
265,"0hard/-15729soft"
267,"0hard/-15720soft"
268,"0hard/-15636soft"
269,"0hard/-15570soft"
270,"0hard/-15488soft"
271,"0hard/-15486soft"
272,"0hard/-15432soft"
273,"0hard/-15389soft"
274,"0hard/-15305soft"
275,"0hard/-15278soft"
276,"0hard/-15263soft"
278,"0hard/-15243soft"
279,"0hard/-15215soft"
280,"0hard/-15162soft"
281,"0hard/-15148soft"
281,"0hard/-15067soft"
282,"0hard/-15041soft"
283,"0hard/-15011soft"
284,"0hard/-14958soft"
285,"0hard/-14946soft"
286,"0hard/-14943soft"
288,"0hard/-14844soft"
289,"0hard/-14754soft"
290,"0hard/-14706soft"
292,"0hard/-14625soft"
293,"0hard/-14577soft"
294,"0hard/-14488soft"
295,"0hard/-14417soft"
297,"0hard/-14414soft"
298,"0hard/-14318soft"
299,"0hard/-14219soft"
300,"0hard/-14217soft"
300,"0hard/-14166soft"
301,"0hard/-14163soft"
303,"0hard/-14110soft"
305,"0hard/-14100soft"
306,"0hard/-14076soft"
307,"0hard/-14042soft"
308,"0hard/-14039soft"
310,"0hard/-13993soft"
311,"0hard/-13919soft"
312,"0hard/-13825soft"
313,"0hard/-13818soft"
314,"0hard/-13786soft"
315,"0hard/-13774soft"
316,"0hard/-13730soft"
317,"0hard/-13717soft"
317,"0hard/-13709soft"
319,"0hard/-13708soft"
320,"0hard/-13630soft"
322,"0hard/-13548soft"
323,"0hard/-13540soft"
325,"0hard/-13476soft"
325,"0hard/-13419soft"
326,"0hard/-13403soft"
327,"0hard/-13331soft"
328,"0hard/-13322soft"
329,"0hard/-13246soft"
332,"0hard/-13202soft"
332,"0hard/-13191soft"
335,"0hard/-13182soft"
336,"0hard/-13108soft"
337,"0hard/-13035soft"
338,"0hard/-13032soft"
340,"0hard/-12933soft"
340,"0hard/-12845soft"
