"timeMillisSpent","score"
271,"0hard/-17800soft"
281,"0hard/-17740soft"
283,"0hard/-17661soft"
284,"0hard/-17648soft"
285,"0hard/-17591soft"
286,"0hard/-17583soft"
287,"0hard/-17497soft"
288,"0hard/-17473soft"
289,"0hard/-17460soft"
290,"0hard/-17429soft"
292,"0hard/-17421soft"
294,"0hard/-17353soft"
295,"0hard/-17319soft"
296,"0hard/-17226soft"
297,"0hard/-17166soft"
299,"0hard/-17097soft"
300,"0hard/-17014soft"
301,"0hard/-16942soft"
302,"0hard/-16867soft"
303,"0hard/-16859soft"
304,"0hard/-16816soft"
305,"0hard/-16748soft"
306,"0hard/-16704soft"
307,"0hard/-16612soft"
310,"0hard/-16578soft"
311,"0hard/-16576soft"
314,"0hard/-16522soft"
315,"0hard/-16461soft"
316,"0hard/-16412soft"
317,"0hard/-16366soft"
318,"0hard/-16303soft"
319,"0hard/-16263soft"
320,"0hard/-16196soft"
321,"0hard/-16163soft"
322,"0hard/-16109soft"
323,"0hard/-16074soft"
324,"0hard/-16051soft"
326,"0hard/-16020soft"
329,"0hard/-15984soft"
329,"0hard/-15948soft"
330,"0hard/-15933soft"
331,"0hard/-15931soft"
332,"0hard/-15894soft"
333,"0hard/-15864soft"
335,"0hard/-15803soft"
336,"0hard/-15793soft"
347,"0hard/-15789soft"
349,"0hard/-15729soft"
351,"0hard/-15720soft"
352,"0hard/-15636soft"
354,"0hard/-15570soft"
355,"0hard/-15488soft"
356,"0hard/-15486soft"
357,"0hard/-15432soft"
359,"0hard/-15389soft"
361,"0hard/-15305soft"
362,"0hard/-15278soft"
363,"0hard/-15263soft"
364,"0hard/-15243soft"
365,"0hard/-15215soft"
367,"0hard/-15162soft"
368,"0hard/-15148soft"
369,"0hard/-15067soft"
370,"0hard/-15041soft"
371,"0hard/-15011soft"
372,"0hard/-14958soft"
373,"0hard/-14946soft"
373,"0hard/-14943soft"
377,"0hard/-14844soft"
378,"0hard/-14754soft"
379,"0hard/-14706soft"
382,"0hard/-14625soft"
383,"0hard/-14577soft"
385,"0hard/-14488soft"
386,"0hard/-14417soft"
387,"0hard/-14414soft"
388,"0hard/-14318soft"
389,"0hard/-14219soft"
390,"0hard/-14217soft"
391,"0hard/-14166soft"
393,"0hard/-14163soft"
395,"0hard/-14110soft"
398,"0hard/-14100soft"
399,"0hard/-14076soft"
400,"0hard/-14042soft"
411,"0hard/-14039soft"
445,"0hard/-13993soft"
451,"0hard/-13919soft"
461,"0hard/-13825soft"
469,"0hard/-13818soft"
494,"0hard/-13786soft"
497,"0hard/-13774soft"
506,"0hard/-13730soft"
510,"0hard/-13717soft"
524,"0hard/-13709soft"
529,"0hard/-13708soft"
534,"0hard/-13630soft"
546,"0hard/-13548soft"
556,"0hard/-13540soft"
580,"0hard/-13476soft"
582,"0hard/-13419soft"
583,"0hard/-13403soft"
584,"0hard/-13331soft"
586,"0hard/-13322soft"
587,"0hard/-13246soft"
590,"0hard/-13202soft"
591,"0hard/-13191soft"
595,"0hard/-13182soft"
597,"0hard/-13108soft"
598,"0hard/-13035soft"
599,"0hard/-13032soft"
601,"0hard/-12933soft"
602,"0hard/-12845soft"
603,"0hard/-12826soft"
604,"0hard/-12774soft"
605,"0hard/-12750soft"
606,"0hard/-12691soft"
607,"0hard/-12636soft"
610,"0hard/-12621soft"
612,"0hard/-12615soft"
613,"0hard/-12593soft"
614,"0hard/-12572soft"
615,"0hard/-12537soft"
616,"0hard/-12460soft"
617,"0hard/-12399soft"
619,"0hard/-12382soft"
620,"0hard/-12372soft"
621,"0hard/-12339soft"
622,"0hard/-12304soft"
623,"0hard/-12222soft"
625,"0hard/-12210soft"
627,"0hard/-12189soft"
629,"0hard/-12120soft"
630,"0hard/-12104soft"
631,"0hard/-12067soft"
633,"0hard/-12061soft"
634,"0hard/-12015soft"
635,"0hard/-11991soft"
637,"0hard/-11949soft"
638,"0hard/-11941soft"
638,"0hard/-11860soft"
640,"0hard/-11821soft"
641,"0hard/-11811soft"
644,"0hard/-11750soft"
645,"0hard/-11735soft"
647,"0hard/-11734soft"
648,"0hard/-11713soft"
649,"0hard/-11689soft"
650,"0hard/-11638soft"
651,"0hard/-11565soft"
652,"0hard/-11563soft"
654,"0hard/-11562soft"
655,"0hard/-11470soft"
656,"0hard/-11425soft"
657,"0hard/-11403soft"
661,"0hard/-11350soft"
662,"0hard/-11276soft"
663,"0hard/-11275soft"
664,"0hard/-11274soft"
666,"0hard/-11252soft"
668,"0hard/-11189soft"
675,"0hard/-11145soft"
677,"0hard/-11144soft"
678,"0hard/-11103soft"
680,"0hard/-11024soft"
681,"0hard/-11000soft"
683,"0hard/-10958soft"
684,"0hard/-10951soft"
686,"0hard/-10916soft"
687,"0hard/-10845soft"
695,"0hard/-10749soft"
696,"0hard/-10701soft"
698,"0hard/-10639soft"
699,"0hard/-10624soft"
701,"0hard/-10612soft"
702,"0hard/-10611soft"
703,"0hard/-10548soft"
704,"0hard/-10523soft"
705,"0hard/-10503soft"
706,"0hard/-10412soft"
707,"0hard/-10373soft"
711,"0hard/-10370soft"
713,"0hard/-10366soft"
714,"0hard/-10267soft"
715,"0hard/-10228soft"
718,"0hard/-10196soft"
720,"0hard/-10111soft"
722,"0hard/-10031soft"
723,"0hard/-9992soft"
724,"0hard/-9928soft"
727,"0hard/-9927soft"
730,"0hard/-9871soft"
733,"0hard/-9833soft"
734,"0hard/-9763soft"
738,"0hard/-9753soft"
740,"0hard/-9735soft"
746,"0hard/-9729soft"
748,"0hard/-9643soft"
750,"0hard/-9575soft"
753,"0hard/-9490soft"
757,"0hard/-9460soft"
759,"0hard/-9426soft"
764,"0hard/-9349soft"
765,"0hard/-9287soft"
767,"0hard/-9273soft"
768,"0hard/-9195soft"
778,"0hard/-9164soft"
802,"0hard/-9155soft"
814,"0hard/-9076soft"
816,"0hard/-8999soft"
818,"0hard/-8988soft"
819,"0hard/-8975soft"
824,"0hard/-8958soft"
826,"0hard/-8906soft"
828,"0hard/-8870soft"
833,"0hard/-8802soft"
834,"0hard/-8760soft"
835,"0hard/-8702soft"
836,"0hard/-8619soft"
837,"0hard/-8606soft"
838,"0hard/-8597soft"
839,"0hard/-8596soft"
841,"0hard/-8588soft"
842,"0hard/-8522soft"
844,"0hard/-8447soft"
846,"0hard/-8427soft"
847,"0hard/-8361soft"
848,"0hard/-8297soft"
849,"0hard/-8205soft"
851,"0hard/-8160soft"
853,"0hard/-8154soft"
855,"0hard/-8139soft"
856,"0hard/-8121soft"
857,"0hard/-8084soft"
859,"0hard/-8080soft"
860,"0hard/-8047soft"
861,"0hard/-8034soft"
864,"0hard/-8012soft"
866,"0hard/-8011soft"
867,"0hard/-7931soft"
868,"0hard/-7855soft"
869,"0hard/-7845soft"
871,"0hard/-7815soft"
873,"0hard/-7772soft"
875,"0hard/-7771soft"
878,"0hard/-7770soft"
883,"0hard/-7735soft"
885,"0hard/-7725soft"
888,"0hard/-7675soft"
889,"0hard/-7674soft"
890,"0hard/-7590soft"
892,"0hard/-7576soft"
894,"0hard/-7567soft"
895,"0hard/-7533soft"
896,"0hard/-7459soft"
900,"0hard/-7415soft"
902,"0hard/-7376soft"
904,"0hard/-7340soft"
905,"0hard/-7266soft"
907,"0hard/-7185soft"
908,"0hard/-7173soft"
909,"0hard/-7139soft"
910,"0hard/-7114soft"
913,"0hard/-7113soft"
917,"0hard/-7107soft"
919,"0hard/-7102soft"
920,"0hard/-7077soft"
921,"0hard/-7071soft"
922,"0hard/-7053soft"
924,"0hard/-7024soft"
926,"0hard/-7009soft"
928,"0hard/-6947soft"
929,"0hard/-6924soft"
932,"0hard/-6826soft"
