"timeMillisSpent","score"
402,"0hard/-17800soft"
412,"0hard/-17740soft"
413,"0hard/-17661soft"
414,"0hard/-17648soft"
414,"0hard/-17591soft"
416,"0hard/-17583soft"
417,"0hard/-17497soft"
419,"0hard/-17473soft"
420,"0hard/-17460soft"
421,"0hard/-17429soft"
423,"0hard/-17421soft"
424,"0hard/-17353soft"
425,"0hard/-17319soft"
426,"0hard/-17226soft"
427,"0hard/-17166soft"
429,"0hard/-17097soft"
430,"0hard/-17014soft"
431,"0hard/-16942soft"
431,"0hard/-16867soft"
432,"0hard/-16859soft"
434,"0hard/-16816soft"
436,"0hard/-16748soft"
437,"0hard/-16704soft"
438,"0hard/-16612soft"
439,"0hard/-16578soft"
440,"0hard/-16576soft"
443,"0hard/-16522soft"
445,"0hard/-16461soft"
446,"0hard/-16412soft"
447,"0hard/-16366soft"
448,"0hard/-16303soft"
449,"0hard/-16263soft"
450,"0hard/-16196soft"
451,"0hard/-16163soft"
453,"0hard/-16109soft"
454,"0hard/-16074soft"
455,"0hard/-16051soft"
456,"0hard/-16020soft"
466,"0hard/-15984soft"
467,"0hard/-15948soft"
468,"0hard/-15933soft"
469,"0hard/-15931soft"
470,"0hard/-15894soft"
471,"0hard/-15864soft"
472,"0hard/-15803soft"
474,"0hard/-15793soft"
475,"0hard/-15789soft"
477,"0hard/-15729soft"
479,"0hard/-15720soft"
480,"0hard/-15636soft"
482,"0hard/-15570soft"
483,"0hard/-15488soft"
484,"0hard/-15486soft"
486,"0hard/-15432soft"
487,"0hard/-15389soft"
488,"0hard/-15305soft"
489,"0hard/-15278soft"
490,"0hard/-15263soft"
494,"0hard/-15243soft"
495,"0hard/-15215soft"
496,"0hard/-15162soft"
497,"0hard/-15148soft"
498,"0hard/-15067soft"
499,"0hard/-15041soft"
500,"0hard/-15011soft"
501,"0hard/-14958soft"
502,"0hard/-14946soft"
503,"0hard/-14943soft"
505,"0hard/-14844soft"
506,"0hard/-14754soft"
507,"0hard/-14706soft"
511,"0hard/-14625soft"
512,"0hard/-14577soft"
514,"0hard/-14488soft"
515,"0hard/-14417soft"
517,"0hard/-14414soft"
519,"0hard/-14318soft"
521,"0hard/-14219soft"
522,"0hard/-14217soft"
523,"0hard/-14166soft"
525,"0hard/-14163soft"
525,"0hard/-14110soft"
528,"0hard/-14100soft"
529,"0hard/-14076soft"
530,"0hard/-14042soft"
532,"0hard/-14039soft"
533,"0hard/-13993soft"
