"timeMillisSpent","score"
189,"0hard/-17800soft"
208,"0hard/-17740soft"
209,"0hard/-17661soft"
210,"0hard/-17648soft"
210,"0hard/-17591soft"
211,"0hard/-17583soft"
212,"0hard/-17497soft"
213,"0hard/-17473soft"
214,"0hard/-17460soft"
215,"0hard/-17429soft"
217,"0hard/-17421soft"
218,"0hard/-17353soft"
218,"0hard/-17319soft"
219,"0hard/-17226soft"
220,"0hard/-17166soft"
222,"0hard/-17097soft"
223,"0hard/-17014soft"
224,"0hard/-16942soft"
224,"0hard/-16867soft"
225,"0hard/-16859soft"
226,"0hard/-16816soft"
227,"0hard/-16748soft"
228,"0hard/-16704soft"
229,"0hard/-16612soft"
230,"0hard/-16578soft"
231,"0hard/-16576soft"
233,"0hard/-16522soft"
234,"0hard/-16461soft"
235,"0hard/-16412soft"
236,"0hard/-16397soft"
237,"0hard/-16390soft"
238,"0hard/-16346soft"
239,"0hard/-16279soft"
240,"0hard/-16246soft"
241,"0hard/-16192soft"
242,"0hard/-16157soft"
243,"0hard/-16134soft"
244,"0hard/-16103soft"
244,"0hard/-16031soft"
246,"0hard/-15995soft"
247,"0hard/-15959soft"
248,"0hard/-15944soft"
249,"0hard/-15942soft"
250,"0hard/-15905soft"
251,"0hard/-15875soft"
251,"0hard/-15814soft"
253,"0hard/-15804soft"
254,"0hard/-15800soft"
255,"0hard/-15740soft"
257,"0hard/-15731soft"
257,"0hard/-15647soft"
259,"0hard/-15635soft"
260,"0hard/-15623soft"
261,"0hard/-15532soft"
263,"0hard/-15494soft"
264,"0hard/-15492soft"
265,"0hard/-15408soft"
266,"0hard/-15381soft"
267,"0hard/-15366soft"
269,"0hard/-15346soft"
270,"0hard/-15319soft"
271,"0hard/-15266soft"
272,"0hard/-15171soft"
272,"0hard/-15150soft"
273,"0hard/-15069soft"
274,"0hard/-15043soft"
275,"0hard/-15013soft"
276,"0hard/-14960soft"
277,"0hard/-14883soft"
280,"0hard/-14822soft"
281,"0hard/-14732soft"
282,"0hard/-14684soft"
284,"0hard/-14603soft"
285,"0hard/-14555soft"
286,"0hard/-14466soft"
287,"0hard/-14395soft"
288,"0hard/-14378soft"
289,"0hard/-14292soft"
291,"0hard/-14257soft"
292,"0hard/-14210soft"
294,"0hard/-14117soft"
295,"0hard/-14066soft"
296,"0hard/-14063soft"
297,"0hard/-14012soft"
299,"0hard/-13995soft"
300,"0hard/-13994soft"
301,"0hard/-13901soft"
302,"0hard/-13860soft"
303,"0hard/-13814soft"
304,"0hard/-13772soft"
305,"0hard/-13718soft"
307,"0hard/-13661soft"
308,"0hard/-13649soft"
309,"0hard/-13605soft"
310,"0hard/-13591soft"
311,"0hard/-13583soft"
312,"0hard/-13582soft"
313,"0hard/-13504soft"
315,"0hard/-13422soft"
315,"0hard/-13414soft"
316,"0hard/-13408soft"
317,"0hard/-13333soft"
318,"0hard/-13314soft"
319,"0hard/-13302soft"
322,"0hard/-13295soft"
323,"0hard/-13207soft"
324,"0hard/-13164soft"
326,"0hard/-13155soft"
327,"0hard/-13101soft"
328,"0hard/-13093soft"
329,"0hard/-13091soft"
330,"0hard/-13063soft"
331,"0hard/-12995soft"
332,"0hard/-12987soft"
334,"0hard/-12954soft"
335,"0hard/-12924soft"
336,"0hard/-12909soft"
337,"0hard/-12890soft"
338,"0hard/-12855soft"
339,"0hard/-12844soft"
340,"0hard/-12843soft"
341,"0hard/-12830soft"
345,"0hard/-12794soft"
346,"0hard/-12773soft"
347,"0hard/-12738soft"
348,"0hard/-12737soft"
350,"0hard/-12703soft"
352,"0hard/-12655soft"
