"timeMillisSpent","score"
213,"0hard/-17800soft"
222,"0hard/-17740soft"
223,"0hard/-17661soft"
224,"0hard/-17648soft"
225,"0hard/-17591soft"
226,"0hard/-17583soft"
227,"0hard/-17497soft"
229,"0hard/-17473soft"
239,"0hard/-17460soft"
240,"0hard/-17429soft"
242,"0hard/-17421soft"
242,"0hard/-17353soft"
243,"0hard/-17319soft"
244,"0hard/-17226soft"
245,"0hard/-17166soft"
247,"0hard/-17097soft"
248,"0hard/-17014soft"
249,"0hard/-16942soft"
250,"0hard/-16867soft"
251,"0hard/-16859soft"
252,"0hard/-16816soft"
252,"0hard/-16748soft"
253,"0hard/-16704soft"
255,"0hard/-16612soft"
256,"0hard/-16578soft"
256,"0hard/-16576soft"
259,"0hard/-16522soft"
260,"0hard/-16461soft"
261,"0hard/-16412soft"
262,"0hard/-16366soft"
263,"0hard/-16303soft"
263,"0hard/-16263soft"
264,"0hard/-16196soft"
265,"0hard/-16163soft"
266,"0hard/-16109soft"
267,"0hard/-16074soft"
268,"0hard/-16051soft"
269,"0hard/-16020soft"
271,"0hard/-15984soft"
272,"0hard/-15948soft"
273,"0hard/-15933soft"
274,"0hard/-15931soft"
275,"0hard/-15894soft"
276,"0hard/-15864soft"
277,"0hard/-15803soft"
278,"0hard/-15793soft"
279,"0hard/-15789soft"
280,"0hard/-15729soft"
282,"0hard/-15720soft"
283,"0hard/-15636soft"
284,"0hard/-15570soft"
285,"0hard/-15488soft"
287,"0hard/-15486soft"
288,"0hard/-15432soft"
289,"0hard/-15389soft"
290,"0hard/-15305soft"
291,"0hard/-15278soft"
292,"0hard/-15263soft"
293,"0hard/-15243soft"
294,"0hard/-15215soft"
295,"0hard/-15162soft"
296,"0hard/-15148soft"
297,"0hard/-15067soft"
298,"0hard/-15041soft"
299,"0hard/-15011soft"
300,"0hard/-14958soft"
301,"0hard/-14946soft"
302,"0hard/-14943soft"
304,"0hard/-14844soft"
305,"0hard/-14754soft"
306,"0hard/-14706soft"
308,"0hard/-14625soft"
309,"0hard/-14577soft"
311,"0hard/-14488soft"
312,"0hard/-14417soft"
314,"0hard/-14414soft"
315,"0hard/-14318soft"
316,"0hard/-14219soft"
317,"0hard/-14217soft"
318,"0hard/-14166soft"
319,"0hard/-14163soft"
320,"0hard/-14110soft"
322,"0hard/-14100soft"
323,"0hard/-14076soft"
324,"0hard/-14042soft"
326,"0hard/-14039soft"
328,"0hard/-13993soft"
329,"0hard/-13919soft"
330,"0hard/-13825soft"
331,"0hard/-13818soft"
332,"0hard/-13786soft"
333,"0hard/-13774soft"
334,"0hard/-13730soft"
335,"0hard/-13717soft"
336,"0hard/-13709soft"
337,"0hard/-13708soft"
338,"0hard/-13630soft"
340,"0hard/-13548soft"
341,"0hard/-13540soft"
343,"0hard/-13476soft"
344,"0hard/-13419soft"
345,"0hard/-13403soft"
346,"0hard/-13331soft"
347,"0hard/-13322soft"
348,"0hard/-13246soft"
351,"0hard/-13202soft"
352,"0hard/-13191soft"
355,"0hard/-13182soft"
356,"0hard/-13108soft"
357,"0hard/-13035soft"
358,"0hard/-13032soft"
360,"0hard/-12933soft"
361,"0hard/-12845soft"
362,"0hard/-12826soft"
363,"0hard/-12774soft"
364,"0hard/-12750soft"
365,"0hard/-12691soft"
366,"0hard/-12636soft"
368,"0hard/-12621soft"
369,"0hard/-12615soft"
370,"0hard/-12593soft"
371,"0hard/-12572soft"
372,"0hard/-12537soft"
373,"0hard/-12460soft"
374,"0hard/-12399soft"
375,"0hard/-12382soft"
376,"0hard/-12372soft"
377,"0hard/-12339soft"
378,"0hard/-12304soft"
379,"0hard/-12222soft"
381,"0hard/-12210soft"
382,"0hard/-12189soft"
384,"0hard/-12120soft"
385,"0hard/-12104soft"
386,"0hard/-12067soft"
387,"0hard/-12061soft"
387,"0hard/-12015soft"
389,"0hard/-11991soft"
390,"0hard/-11949soft"
391,"0hard/-11941soft"
392,"0hard/-11860soft"
393,"0hard/-11821soft"
394,"0hard/-11811soft"
396,"0hard/-11750soft"
396,"0hard/-11735soft"
398,"0hard/-11734soft"
399,"0hard/-11713soft"
400,"0hard/-11689soft"
401,"0hard/-11638soft"
402,"0hard/-11565soft"
403,"0hard/-11563soft"
404,"0hard/-11562soft"
405,"0hard/-11470soft"
406,"0hard/-11425soft"
407,"0hard/-11403soft"
409,"0hard/-11350soft"
410,"0hard/-11276soft"
411,"0hard/-11275soft"
412,"0hard/-11274soft"
413,"0hard/-11252soft"
415,"0hard/-11189soft"
416,"0hard/-11145soft"
417,"0hard/-11144soft"
418,"0hard/-11103soft"
419,"0hard/-11024soft"
420,"0hard/-11000soft"
422,"0hard/-10958soft"
423,"0hard/-10951soft"
424,"0hard/-10916soft"
425,"0hard/-10845soft"
429,"0hard/-10749soft"
430,"0hard/-10701soft"
441,"0hard/-10639soft"
442,"0hard/-10624soft"
443,"0hard/-10612soft"
444,"0hard/-10611soft"
445,"0hard/-10548soft"
447,"0hard/-10523soft"
448,"0hard/-10503soft"
449,"0hard/-10412soft"
450,"0hard/-10373soft"
452,"0hard/-10370soft"
453,"0hard/-10366soft"
454,"0hard/-10267soft"
455,"0hard/-10228soft"
457,"0hard/-10196soft"
458,"0hard/-10111soft"
460,"0hard/-10031soft"
461,"0hard/-9992soft"
462,"0hard/-9928soft"
464,"0hard/-9927soft"
467,"0hard/-9871soft"
469,"0hard/-9833soft"
471,"0hard/-9763soft"
473,"0hard/-9753soft"
475,"0hard/-9735soft"
477,"0hard/-9729soft"
478,"0hard/-9643soft"
481,"0hard/-9575soft"
483,"0hard/-9490soft"
487,"0hard/-9460soft"
488,"0hard/-9426soft"
491,"0hard/-9349soft"
492,"0hard/-9287soft"
494,"0hard/-9273soft"
495,"0hard/-9195soft"
497,"0hard/-9164soft"
498,"0hard/-9155soft"
501,"0hard/-9076soft"
502,"0hard/-8999soft"
504,"0hard/-8988soft"
505,"0hard/-8975soft"
509,"0hard/-8958soft"
511,"0hard/-8906soft"
513,"0hard/-8870soft"
516,"0hard/-8802soft"
517,"0hard/-8760soft"
518,"0hard/-8702soft"
519,"0hard/-8619soft"
520,"0hard/-8606soft"
521,"0hard/-8597soft"
523,"0hard/-8596soft"
524,"0hard/-8588soft"
525,"0hard/-8522soft"
527,"0hard/-8447soft"
528,"0hard/-8427soft"
529,"0hard/-8361soft"
530,"0hard/-8297soft"
531,"0hard/-8205soft"
532,"0hard/-8160soft"
533,"0hard/-8154soft"
535,"0hard/-8139soft"
536,"0hard/-8121soft"
537,"0hard/-8084soft"
538,"0hard/-8080soft"
539,"0hard/-8047soft"
540,"0hard/-8034soft"
543,"0hard/-8012soft"
544,"0hard/-8011soft"
544,"0hard/-7931soft"
545,"0hard/-7855soft"
546,"0hard/-7845soft"
548,"0hard/-7815soft"
549,"0hard/-7772soft"
551,"0hard/-7771soft"
554,"0hard/-7770soft"
556,"0hard/-7735soft"
558,"0hard/-7725soft"
561,"0hard/-7675soft"
562,"0hard/-7674soft"
563,"0hard/-7590soft"
564,"0hard/-7576soft"
565,"0hard/-7567soft"
566,"0hard/-7533soft"
567,"0hard/-7459soft"
570,"0hard/-7415soft"
573,"0hard/-7376soft"
574,"0hard/-7340soft"
575,"0hard/-7266soft"
577,"0hard/-7185soft"
578,"0hard/-7173soft"
579,"0hard/-7139soft"
580,"0hard/-7114soft"
582,"0hard/-7113soft"
585,"0hard/-7107soft"
587,"0hard/-7102soft"
588,"0hard/-7077soft"
589,"0hard/-7071soft"
591,"0hard/-7053soft"
593,"0hard/-7024soft"
594,"0hard/-7009soft"
596,"0hard/-6947soft"
598,"0hard/-6924soft"
601,"0hard/-6826soft"
603,"0hard/-6822soft"
605,"0hard/-6792soft"
607,"0hard/-6743soft"
610,"0hard/-6726soft"
611,"0hard/-6704soft"
612,"0hard/-6693soft"
614,"0hard/-6601soft"
616,"0hard/-6583soft"
617,"0hard/-6582soft"
619,"0hard/-6563soft"
622,"0hard/-6518soft"
630,"0hard/-6511soft"
631,"0hard/-6496soft"
633,"0hard/-6484soft"
634,"0hard/-6444soft"
637,"0hard/-6407soft"
637,"0hard/-6371soft"
637,"0hard/-6347soft"
637,"0hard/-6346soft"
637,"0hard/-6345soft"
637,"0hard/-6325soft"
637,"0hard/-6295soft"
637,"0hard/-6294soft"
652,"0hard/-6233soft"
652,"0hard/-6199soft"
652,"0hard/-6198soft"
668,"0hard/-6187soft"
668,"0hard/-6174soft"
668,"0hard/-6087soft"
668,"0hard/-6053soft"
668,"0hard/-6044soft"
668,"0hard/-6030soft"
668,"0hard/-5998soft"
668,"0hard/-5997soft"
668,"0hard/-5991soft"
684,"0hard/-5977soft"
684,"0hard/-5976soft"
684,"0hard/-5962soft"
684,"0hard/-5947soft"
684,"0hard/-5942soft"
684,"0hard/-5877soft"
684,"0hard/-5875soft"
684,"0hard/-5871soft"
684,"0hard/-5824soft"
699,"0hard/-5771soft"
699,"0hard/-5745soft"
699,"0hard/-5707soft"
699,"0hard/-5698soft"
699,"0hard/-5680soft"
699,"0hard/-5654soft"
699,"0hard/-5634soft"
699,"0hard/-5633soft"
699,"0hard/-5609soft"
715,"0hard/-5576soft"
715,"0hard/-5561soft"
715,"0hard/-5539soft"
715,"0hard/-5482soft"
715,"0hard/-5431soft"
715,"0hard/-5430soft"
715,"0hard/-5366soft"
715,"0hard/-5359soft"
715,"0hard/-5341soft"
730,"0hard/-5331soft"
730,"0hard/-5330soft"
730,"0hard/-5327soft"
730,"0hard/-5326soft"
730,"0hard/-5289soft"
730,"0hard/-5276soft"
730,"0hard/-5244soft"
730,"0hard/-5243soft"
746,"0hard/-5242soft"
746,"0hard/-5189soft"
746,"0hard/-5188soft"
746,"0hard/-5152soft"
746,"0hard/-5141soft"
746,"0hard/-5127soft"
746,"0hard/-5095soft"
746,"0hard/-5081soft"
746,"0hard/-5075soft"
746,"0hard/-5054soft"
762,"0hard/-5046soft"
762,"0hard/-5008soft"
762,"0hard/-5001soft"
762,"0hard/-5000soft"
762,"0hard/-4937soft"
762,"0hard/-4891soft"
762,"0hard/-4884soft"
762,"0hard/-4883soft"
762,"0hard/-4871soft"
762,"0hard/-4843soft"
777,"0hard/-4829soft"
777,"0hard/-4803soft"
777,"0hard/-4796soft"
777,"0hard/-4794soft"
777,"0hard/-4783soft"
777,"0hard/-4733soft"
777,"0hard/-4726soft"
777,"0hard/-4712soft"
777,"0hard/-4682soft"
793,"0hard/-4640soft"
793,"0hard/-4635soft"
793,"0hard/-4632soft"
793,"0hard/-4624soft"
793,"0hard/-4621soft"
793,"0hard/-4596soft"
793,"0hard/-4571soft"
793,"0hard/-4549soft"
793,"0hard/-4491soft"
793,"0hard/-4469soft"
793,"0hard/-4468soft"
793,"0hard/-4467soft"
809,"0hard/-4460soft"
811,"0hard/-4440soft"
811,"0hard/-4437soft"
813,"0hard/-4422soft"
816,"0hard/-4383soft"
817,"0hard/-4361soft"
818,"0hard/-4360soft"
