"timeMillisSpent","score"
190,"0hard/-1780000soft"
200,"0hard/-1779998soft"
201,"0hard/-1779997soft"
202,"0hard/-1779995soft"
203,"0hard/-1779994soft"
204,"0hard/-1779993soft"
205,"0hard/-1779992soft"
206,"0hard/-1779991soft"
207,"0hard/-1779990soft"
208,"0hard/-1779989soft"
209,"0hard/-1779988soft"
210,"0hard/-1779987soft"
212,"0hard/-1779986soft"
213,"0hard/-1779985soft"
214,"0hard/-1779983soft"
216,"0hard/-1779982soft"
217,"0hard/-1779981soft"
219,"0hard/-1779980soft"
220,"0hard/-1779979soft"
222,"0hard/-1779978soft"
223,"0hard/-1779977soft"
225,"0hard/-1779976soft"
226,"0hard/-1779975soft"
228,"0hard/-1779974soft"
229,"0hard/-1779973soft"
231,"0hard/-1779972soft"
233,"0hard/-1779971soft"
234,"0hard/-1779970soft"
236,"0hard/-1779969soft"
238,"0hard/-1779968soft"
239,"0hard/-1779967soft"
241,"0hard/-1779966soft"
243,"0hard/-1779965soft"
245,"0hard/-1779964soft"
247,"0hard/-1779963soft"
248,"0hard/-1779962soft"
250,"0hard/-1779961soft"
252,"0hard/-1779960soft"
254,"0hard/-1779959soft"
256,"0hard/-1779958soft"
258,"0hard/-1779957soft"
260,"0hard/-1779956soft"
262,"0hard/-1779955soft"
263,"0hard/-1779954soft"
265,"0hard/-1779953soft"
267,"0hard/-1779952soft"
269,"0hard/-1779951soft"
271,"0hard/-1779950soft"
274,"0hard/-1779949soft"
285,"0hard/-1779948soft"
288,"0hard/-1779947soft"
291,"0hard/-1779946soft"
294,"0hard/-1779945soft"
297,"0hard/-1779944soft"
300,"0hard/-1779943soft"
304,"0hard/-1779942soft"
307,"0hard/-1779941soft"
309,"0hard/-1779940soft"
312,"0hard/-1779939soft"
314,"0hard/-1779938soft"
318,"0hard/-1779937soft"
321,"0hard/-1779936soft"
324,"0hard/-1779935soft"
327,"0hard/-1779934soft"
330,"0hard/-1779933soft"
334,"0hard/-1779932soft"
337,"0hard/-1779931soft"
340,"0hard/-1779930soft"
343,"0hard/-1779929soft"
346,"0hard/-1779928soft"
349,"0hard/-1779927soft"
351,"0hard/-1779926soft"
353,"0hard/-1779925soft"
356,"0hard/-1779924soft"
358,"0hard/-1779923soft"
361,"0hard/-1779922soft"
363,"0hard/-1779921soft"
366,"0hard/-1779920soft"
368,"0hard/-1779919soft"
371,"0hard/-1779918soft"
373,"0hard/-1779917soft"
376,"0hard/-1779916soft"
378,"0hard/-1779915soft"
381,"0hard/-1779914soft"
384,"0hard/-1779913soft"
386,"0hard/-1779912soft"
389,"0hard/-1779911soft"
391,"0hard/-1779910soft"
394,"0hard/-1779909soft"
397,"0hard/-1779908soft"
400,"0hard/-1779907soft"
403,"0hard/-1779906soft"
406,"0hard/-1779905soft"
410,"0hard/-1779904soft"
413,"0hard/-1779903soft"
416,"0hard/-1779902soft"
418,"0hard/-1779901soft"
421,"0hard/-1779900soft"
423,"0hard/-1779899soft"
426,"0hard/-1779898soft"
429,"0hard/-1779897soft"
432,"0hard/-1779896soft"
435,"0hard/-1779895soft"
438,"0hard/-1779894soft"
441,"0hard/-1779893soft"
443,"0hard/-1779892soft"
446,"0hard/-1779891soft"
449,"0hard/-1779890soft"
452,"0hard/-1779889soft"
455,"0hard/-1779888soft"
458,"0hard/-1779887soft"
461,"0hard/-1779886soft"
463,"0hard/-1779885soft"
465,"0hard/-1779884soft"
467,"0hard/-1779883soft"
470,"0hard/-1779882soft"
472,"0hard/-1779881soft"
474,"0hard/-1779880soft"
477,"0hard/-1779879soft"
479,"0hard/-1779878soft"
482,"0hard/-1779877soft"
484,"0hard/-1779876soft"
487,"0hard/-1779875soft"
489,"0hard/-1779874soft"
495,"0hard/-1779873soft"
499,"0hard/-1779872soft"
501,"0hard/-1779871soft"
504,"0hard/-1779870soft"
506,"0hard/-1779869soft"
509,"0hard/-1779868soft"
511,"0hard/-1779867soft"
514,"0hard/-1779866soft"
517,"0hard/-1779865soft"
519,"0hard/-1779864soft"
522,"0hard/-1779863soft"
524,"0hard/-1779862soft"
527,"0hard/-1779861soft"
529,"0hard/-1779860soft"
532,"0hard/-1779859soft"
535,"0hard/-1779858soft"
535,"0hard/-1779857soft"
535,"0hard/-1779856soft"
535,"0hard/-1779855soft"
550,"0hard/-1779854soft"
550,"0hard/-1779853soft"
550,"0hard/-1779852soft"
550,"0hard/-1779851soft"
566,"0hard/-1779850soft"
566,"0hard/-1779849soft"
566,"0hard/-1779848soft"
566,"0hard/-1779847soft"
582,"0hard/-1779846soft"
582,"0hard/-1779845soft"
582,"0hard/-1779844soft"
582,"0hard/-1779843soft"
597,"0hard/-1779842soft"
597,"0hard/-1779841soft"
597,"0hard/-1779840soft"
613,"0hard/-1779839soft"
613,"0hard/-1779838soft"
613,"0hard/-1779837soft"
613,"0hard/-1779836soft"
629,"0hard/-1779835soft"
633,"0hard/-1779834soft"
636,"0hard/-1779833soft"
640,"0hard/-1779832soft"
642,"0hard/-1779831soft"
645,"0hard/-1779830soft"
648,"0hard/-1779829soft"
651,"0hard/-1779828soft"
655,"0hard/-1779827soft"
658,"0hard/-1779826soft"
660,"0hard/-1779825soft"
663,"0hard/-1779824soft"
670,"0hard/-1779823soft"
673,"0hard/-1779822soft"
677,"0hard/-1779821soft"
679,"0hard/-1779820soft"
682,"0hard/-1779819soft"
685,"0hard/-1779818soft"
689,"0hard/-1779817soft"
693,"0hard/-1779816soft"
695,"0hard/-1779815soft"
698,"0hard/-1779814soft"
701,"0hard/-1779813soft"
706,"0hard/-1779812soft"
708,"0hard/-1779811soft"
712,"0hard/-1779810soft"
714,"0hard/-1779809soft"
717,"0hard/-1779808soft"
721,"0hard/-1779807soft"
724,"0hard/-1779806soft"
728,"0hard/-1779805soft"
731,"0hard/-1779804soft"
735,"0hard/-1779803soft"
738,"0hard/-1779802soft"
741,"0hard/-1779801soft"
745,"0hard/-1779800soft"
748,"0hard/-1779799soft"
751,"0hard/-1779798soft"
755,"0hard/-1779797soft"
758,"0hard/-1779796soft"
761,"0hard/-1779795soft"
764,"0hard/-1779794soft"
768,"0hard/-1779793soft"
771,"0hard/-1779792soft"
775,"0hard/-1779791soft"
778,"0hard/-1779790soft"
781,"0hard/-1779789soft"
786,"0hard/-1779788soft"
786,"0hard/-1779787soft"
793,"0hard/-1779786soft"
796,"0hard/-1779785soft"
801,"0hard/-1779784soft"
804,"0hard/-1779783soft"
812,"0hard/-1779782soft"
814,"0hard/-1779781soft"
817,"0hard/-1779780soft"
821,"0hard/-1779779soft"
824,"0hard/-1779778soft"
829,"0hard/-1779777soft"
834,"0hard/-1779776soft"
838,"0hard/-1779775soft"
842,"0hard/-1779774soft"
846,"0hard/-1779773soft"
849,"0hard/-1779772soft"
853,"0hard/-1779771soft"
857,"0hard/-1779770soft"
862,"0hard/-1779769soft"
864,"0hard/-1779768soft"
868,"0hard/-1779767soft"
872,"0hard/-1779766soft"
877,"0hard/-1779765soft"
880,"0hard/-1779764soft"
884,"0hard/-1779763soft"
887,"0hard/-1779762soft"
893,"0hard/-1779761soft"
895,"0hard/-1779760soft"
900,"0hard/-1779759soft"
903,"0hard/-1779758soft"
909,"0hard/-1779757soft"
911,"0hard/-1779756soft"
915,"0hard/-1779755soft"
918,"0hard/-1779754soft"
924,"0hard/-1779753soft"
927,"0hard/-1779752soft"
931,"0hard/-1779751soft"
935,"0hard/-1779750soft"
939,"0hard/-1779749soft"
943,"0hard/-1779748soft"
947,"0hard/-1779747soft"
950,"0hard/-1779746soft"
959,"0hard/-1779745soft"
964,"0hard/-1779744soft"
969,"0hard/-1779743soft"
974,"0hard/-1779742soft"
979,"0hard/-1779741soft"
985,"0hard/-1779740soft"
990,"0hard/-1779739soft"
996,"0hard/-1779738soft"
1001,"0hard/-1779737soft"
1006,"0hard/-1779736soft"
1011,"0hard/-1779735soft"
1017,"0hard/-1779734soft"
1022,"0hard/-1779733soft"
1027,"0hard/-1779732soft"
1031,"0hard/-1779731soft"
1035,"0hard/-1779730soft"
1040,"0hard/-1779729soft"
1043,"0hard/-1779728soft"
1047,"0hard/-1779727soft"
1051,"0hard/-1779726soft"
1055,"0hard/-1779725soft"
1060,"0hard/-1779724soft"
1064,"0hard/-1779723soft"
1068,"0hard/-1779722soft"
1072,"0hard/-1779721soft"
1076,"0hard/-1779720soft"
1080,"0hard/-1779719soft"
1084,"0hard/-1779718soft"
1089,"0hard/-1779717soft"
1093,"0hard/-1779716soft"
1097,"0hard/-1779715soft"
1101,"0hard/-1779714soft"
1106,"0hard/-1779713soft"
1110,"0hard/-1779712soft"
1114,"0hard/-1779711soft"
1119,"0hard/-1779710soft"
1123,"0hard/-1779709soft"
1127,"0hard/-1779708soft"
1131,"0hard/-1779707soft"
1136,"0hard/-1779706soft"
1140,"0hard/-1779705soft"
1148,"0hard/-1779704soft"
1153,"0hard/-1779703soft"
1157,"0hard/-1779702soft"
1161,"0hard/-1779701soft"
1166,"0hard/-1779700soft"
1170,"0hard/-1779699soft"
1175,"0hard/-1779698soft"
1179,"0hard/-1779697soft"
1184,"0hard/-1779696soft"
1190,"0hard/-1779695soft"
1193,"0hard/-1779694soft"
1198,"0hard/-1779693soft"
