"timeMillisSpent","score"
196,"0hard/-1780000soft"
206,"0hard/-1774052soft"
207,"0hard/-1766176soft"
208,"0hard/-1764916soft"
209,"0hard/-1759263soft"
210,"0hard/-1758475soft"
211,"0hard/-1749923soft"
212,"0hard/-1747542soft"
213,"0hard/-1746320soft"
214,"0hard/-1743252soft"
216,"0hard/-1742499soft"
217,"0hard/-1735721soft"
218,"0hard/-1732363soft"
219,"0hard/-1723087soft"
220,"0hard/-1717146soft"
221,"0hard/-1710312soft"
223,"0hard/-1702021soft"
224,"0hard/-1694893soft"
225,"0hard/-1687432soft"
226,"0hard/-1686730soft"
227,"0hard/-1682481soft"
228,"0hard/-1675699soft"
229,"0hard/-1671307soft"
230,"0hard/-1662118soft"
231,"0hard/-1658760soft"
232,"0hard/-1658635soft"
235,"0hard/-1653268soft"
236,"0hard/-1647230soft"
237,"0hard/-1642362soft"
238,"0hard/-1640934soft"
239,"0hard/-1640323soft"
240,"0hard/-1635968soft"
241,"0hard/-1629307soft"
242,"0hard/-1626065soft"
243,"0hard/-1620690soft"
244,"0hard/-1617205soft"
245,"0hard/-1614918soft"
246,"0hard/-1611788soft"
248,"0hard/-1604608soft"
249,"0hard/-1604607soft"
250,"0hard/-1601067soft"
251,"0hard/-1597521soft"
252,"0hard/-1596031soft"
253,"0hard/-1595876soft"
254,"0hard/-1592253soft"
255,"0hard/-1589336soft"
256,"0hard/-1583181soft"
258,"0hard/-1582210soft"
259,"0hard/-1581864soft"
260,"0hard/-1575905soft"
261,"0hard/-1575055soft"
262,"0hard/-1566674soft"
264,"0hard/-1565493soft"
265,"0hard/-1564276soft"
266,"0hard/-1555193soft"
269,"0hard/-1551349soft"
270,"0hard/-1551211soft"
271,"0hard/-1542832soft"
272,"0hard/-1540160soft"
273,"0hard/-1538727soft"
275,"0hard/-1536779soft"
276,"0hard/-1534057soft"
277,"0hard/-1528766soft"
278,"0hard/-1519287soft"
279,"0hard/-1517191soft"
280,"0hard/-1509164soft"
281,"0hard/-1506628soft"
282,"0hard/-1503646soft"
283,"0hard/-1498443soft"
