"timeMillisSpent","score"
29287,"0hard/-389442soft"
29287,"0hard/-389441soft"
29287,"0hard/-389439soft"
29287,"0hard/-389437soft"
29287,"0hard/-389435soft"
29303,"0hard/-389433soft"
29303,"0hard/-384181soft"
29303,"0hard/-380144soft"
29319,"0hard/-379847soft"
29319,"0hard/-379422soft"
29334,"0hard/-377773soft"
29350,"0hard/-377305soft"
29381,"0hard/-376623soft"
29381,"0hard/-375980soft"
29397,"0hard/-375978soft"
58239,"0hard/-374921soft"
58239,"0hard/-374920soft"
58396,"0hard/-369430soft"
58396,"0hard/-367089soft"
58396,"0hard/-364805soft"
58396,"0hard/-359014soft"
58396,"0hard/-359013soft"
