"timeMillisSpent","score"
29418,"0hard/-389442soft"
29425,"0hard/-389441soft"
29433,"0hard/-389439soft"
29434,"0hard/-389437soft"
29436,"0hard/-389435soft"
29438,"0hard/-389433soft"
29439,"0hard/-384181soft"
29440,"0hard/-384180soft"
29441,"0hard/-376117soft"
29447,"0hard/-375565soft"
29448,"0hard/-373817soft"
29449,"0hard/-365402soft"
29450,"0hard/-364844soft"
29452,"0hard/-364842soft"
29453,"0hard/-364841soft"
29455,"0hard/-364839soft"
29456,"0hard/-364837soft"
29458,"0hard/-364835soft"
29459,"0hard/-364833soft"
29462,"0hard/-363691soft"
29462,"0hard/-357313soft"
29464,"0hard/-357311soft"
29465,"0hard/-350902soft"
29466,"0hard/-350900soft"
29467,"0hard/-347604soft"
29468,"0hard/-341952soft"
29470,"0hard/-336474soft"
29472,"0hard/-336472soft"
29476,"0hard/-335674soft"
29477,"0hard/-330723soft"
29478,"0hard/-328387soft"
29480,"0hard/-325552soft"
29481,"0hard/-325550soft"
29482,"0hard/-315601soft"
29486,"0hard/-315600soft"
29489,"0hard/-309774soft"
29490,"0hard/-305705soft"
29496,"0hard/-305704soft"
29497,"0hard/-305702soft"
29500,"0hard/-305700soft"
29501,"0hard/-305699soft"
29504,"0hard/-305300soft"
29505,"0hard/-305299soft"
29506,"0hard/-295648soft"
29511,"0hard/-295512soft"
29513,"0hard/-295511soft"
29515,"0hard/-293537soft"
29516,"0hard/-293535soft"
29517,"0hard/-289442soft"
29518,"0hard/-288799soft"
29520,"0hard/-288798soft"
29524,"0hard/-280864soft"
29525,"0hard/-280863soft"
29527,"0hard/-273037soft"
29531,"0hard/-273035soft"
29534,"0hard/-272678soft"
29535,"0hard/-267796soft"
29539,"0hard/-262740soft"
29541,"0hard/-257568soft"
29543,"0hard/-257567soft"
29545,"0hard/-257566soft"
29549,"0hard/-257565soft"
29554,"0hard/-253171soft"
29555,"0hard/-253169soft"
29556,"0hard/-249258soft"
29557,"0hard/-249257soft"
29565,"0hard/-249256soft"
29567,"0hard/-249254soft"
29569,"0hard/-246882soft"
29570,"0hard/-243412soft"
29571,"0hard/-241955soft"
29576,"0hard/-234342soft"
29578,"0hard/-234341soft"
29581,"0hard/-234340soft"
29583,"0hard/-226512soft"
29586,"0hard/-226511soft"
29587,"0hard/-225403soft"
29591,"0hard/-221578soft"
29592,"0hard/-213194soft"
29594,"0hard/-208668soft"
29599,"0hard/-208667soft"
29601,"0hard/-208666soft"
29602,"0hard/-207660soft"
29605,"0hard/-207659soft"
29609,"0hard/-207223soft"
29610,"0hard/-207222soft"
29611,"0hard/-207221soft"
29613,"0hard/-204789soft"
29616,"0hard/-204788soft"
29618,"0hard/-202388soft"
29620,"0hard/-202387soft"
29621,"0hard/-202386soft"
29622,"0hard/-200102soft"
29624,"0hard/-199663soft"
29625,"0hard/-199661soft"
29626,"0hard/-199660soft"
29630,"0hard/-197181soft"
29632,"0hard/-195127soft"
29634,"0hard/-191050soft"
29636,"0hard/-190327soft"
29638,"0hard/-189541soft"
29639,"0hard/-188976soft"
29642,"0hard/-185737soft"
29643,"0hard/-185093soft"
29648,"0hard/-184706soft"
29651,"0hard/-184705soft"
29654,"0hard/-184704soft"
29656,"0hard/-184703soft"
29665,"0hard/-181767soft"
29666,"0hard/-178732soft"
29667,"0hard/-172897soft"
29668,"0hard/-170346soft"
29672,"0hard/-169793soft"
29676,"0hard/-169401soft"
29683,"0hard/-169400soft"
29684,"0hard/-169399soft"
29688,"0hard/-166504soft"
29690,"0hard/-166503soft"
29691,"0hard/-166502soft"
29695,"0hard/-163673soft"
29696,"0hard/-162230soft"
29700,"0hard/-161699soft"
29701,"0hard/-159724soft"
29704,"0hard/-159723soft"
29705,"0hard/-159722soft"
29710,"0hard/-159721soft"
29716,"0hard/-154554soft"
29718,"0hard/-153351soft"
29721,"0hard/-153092soft"
29723,"0hard/-150919soft"
29731,"0hard/-149157soft"
29735,"0hard/-143029soft"
29736,"0hard/-142740soft"
29737,"0hard/-137110soft"
29742,"0hard/-137109soft"
29747,"0hard/-137108soft"
29750,"0hard/-136623soft"
29754,"0hard/-136622soft"
29755,"0hard/-136621soft"
29764,"0hard/-135497soft"
29769,"0hard/-135496soft"
29772,"0hard/-133865soft"
29775,"0hard/-133428soft"
29777,"0hard/-133427soft"
29777,"0hard/-132369soft"
29782,"0hard/-132368soft"
29786,"0hard/-129841soft"
29790,"0hard/-129840soft"
29794,"0hard/-129839soft"
29808,"0hard/-128153soft"
29815,"0hard/-127032soft"
29817,"0hard/-121247soft"
29837,"0hard/-119530soft"
29841,"0hard/-119529soft"
29843,"0hard/-119528soft"
29848,"0hard/-119527soft"
29852,"0hard/-119526soft"
29856,"0hard/-110845soft"
29859,"0hard/-109956soft"
29861,"0hard/-109853soft"
29862,"0hard/-107961soft"
29867,"0hard/-107525soft"
29871,"0hard/-105294soft"
29874,"0hard/-105293soft"
29876,"0hard/-104803soft"
29887,"0hard/-103744soft"
29889,"0hard/-103305soft"
29896,"0hard/-101166soft"
29905,"0hard/-101122soft"
29906,"0hard/-101016soft"
29911,"0hard/-99829soft"
29913,"0hard/-98019soft"
29915,"0hard/-98018soft"
29917,"0hard/-94719soft"
29921,"0hard/-94718soft"
29922,"0hard/-92118soft"
29930,"0hard/-89392soft"
29933,"0hard/-87393soft"
29941,"0hard/-87392soft"
29942,"0hard/-84942soft"
29947,"0hard/-84385soft"
29948,"0hard/-84384soft"
29952,"0hard/-84332soft"
29953,"0hard/-82813soft"
29957,"0hard/-82097soft"
29960,"0hard/-81174soft"
29965,"0hard/-81173soft"
29967,"0hard/-81172soft"
29978,"0hard/-81171soft"
29984,"0hard/-81117soft"
29986,"0hard/-81116soft"
29987,"0hard/-80826soft"
29991,"0hard/-80149soft"
29992,"0hard/-79979soft"
29995,"0hard/-79580soft"
29997,"0hard/-78128soft"
30001,"0hard/-78127soft"
30009,"0hard/-77742soft"
30014,"0hard/-76650soft"
30018,"0hard/-72013soft"
30029,"0hard/-70777soft"
30032,"0hard/-69797soft"
30034,"0hard/-69076soft"
30038,"0hard/-67555soft"
30042,"0hard/-66567soft"
30049,"0hard/-66566soft"
30062,"0hard/-65572soft"
30070,"0hard/-65146soft"
30080,"0hard/-65055soft"
30087,"0hard/-63274soft"
30118,"0hard/-63273soft"
30128,"0hard/-63210soft"
30134,"0hard/-63209soft"
30139,"0hard/-63145soft"
30159,"0hard/-61092soft"
30164,"0hard/-60569soft"
30171,"0hard/-57570soft"
30189,"0hard/-57569soft"
30210,"0hard/-57316soft"
30217,"0hard/-57136soft"
30223,"0hard/-56975soft"
30226,"0hard/-56836soft"
30260,"0hard/-56835soft"
30266,"0hard/-56834soft"
30273,"0hard/-55908soft"
30288,"0hard/-55907soft"
30289,"0hard/-55906soft"
30295,"0hard/-55251soft"
30314,"0hard/-55250soft"
30324,"0hard/-55249soft"
30326,"0hard/-54650soft"
30329,"0hard/-54146soft"
30336,"0hard/-53212soft"
30340,"0hard/-53030soft"
30344,"0hard/-53029soft"
30349,"0hard/-52686soft"
30354,"0hard/-51812soft"
30363,"0hard/-51745soft"
30379,"0hard/-51152soft"
30381,"0hard/-51085soft"
30399,"0hard/-51055soft"
30407,"0hard/-50994soft"
30425,"0hard/-50928soft"
30430,"0hard/-50927soft"
30457,"0hard/-50747soft"
30462,"0hard/-50719soft"
30493,"0hard/-50496soft"
30493,"0hard/-49755soft"
30509,"0hard/-49539soft"
30524,"0hard/-49400soft"
30540,"0hard/-49275soft"
30555,"0hard/-48721soft"
30573,"0hard/-47262soft"
30577,"0hard/-46388soft"
30585,"0hard/-46036soft"
30591,"0hard/-46035soft"
30608,"0hard/-45590soft"
30641,"0hard/-45589soft"
30665,"0hard/-45372soft"
30675,"0hard/-45251soft"
30688,"0hard/-45250soft"
30690,"0hard/-44527soft"
30697,"0hard/-44409soft"
30710,"0hard/-44303soft"
30718,"0hard/-44302soft"
30728,"0hard/-43766soft"
30731,"0hard/-43214soft"
30748,"0hard/-43209soft"
30759,"0hard/-42802soft"
30783,"0hard/-42531soft"
30786,"0hard/-42184soft"
30795,"0hard/-41908soft"
30801,"0hard/-41574soft"
30809,"0hard/-41567soft"
30816,"0hard/-41549soft"
30818,"0hard/-41548soft"
30846,"0hard/-41517soft"
30849,"0hard/-41286soft"
30853,"0hard/-40898soft"
30870,"0hard/-40758soft"
30888,"0hard/-40757soft"
30898,"0hard/-40641soft"
30920,"0hard/-40440soft"
30948,"0hard/-40439soft"
31007,"0hard/-40438soft"
31016,"0hard/-40389soft"
31019,"0hard/-40349soft"
31041,"0hard/-40258soft"
31042,"0hard/-40187soft"
31047,"0hard/-39964soft"
31053,"0hard/-39878soft"
31075,"0hard/-39867soft"
31102,"0hard/-39773soft"
31115,"0hard/-39712soft"
31115,"0hard/-39625soft"
31127,"0hard/-39416soft"
31138,"0hard/-39231soft"
31184,"0hard/-39074soft"
31215,"0hard/-38725soft"
31248,"0hard/-38682soft"
31281,"0hard/-38470soft"
31321,"0hard/-38401soft"
31358,"0hard/-38397soft"
31370,"0hard/-38300soft"
31378,"0hard/-38198soft"
31413,"0hard/-38178soft"
31425,"0hard/-37855soft"
31444,"0hard/-36208soft"
31451,"0hard/-35940soft"
31453,"0hard/-35737soft"
31458,"0hard/-35686soft"
31479,"0hard/-33756soft"
31547,"0hard/-31668soft"
31549,"0hard/-30893soft"
31557,"0hard/-30719soft"
31561,"0hard/-30505soft"
31584,"0hard/-30474soft"
31599,"0hard/-30143soft"
31613,"0hard/-30058soft"
31654,"0hard/-29966soft"
