"timeMillisSpent","score"
27198,"0hard/-183760soft"
73537,"0hard/-183759soft"
73608,"0hard/-183758soft"
73679,"0hard/-183757soft"
73750,"0hard/-183756soft"
73817,"0hard/-183755soft"
73887,"0hard/-183754soft"
73956,"0hard/-183753soft"
74028,"0hard/-183752soft"
74097,"0hard/-183751soft"
74169,"0hard/-183750soft"
74236,"0hard/-183749soft"
74303,"0hard/-183748soft"
74375,"0hard/-183747soft"
74446,"0hard/-183746soft"
74517,"0hard/-183745soft"
74588,"0hard/-183744soft"
74657,"0hard/-183743soft"
74725,"0hard/-183742soft"
74800,"0hard/-183741soft"
74869,"0hard/-183740soft"
74938,"0hard/-183739soft"
75013,"0hard/-183738soft"
75083,"0hard/-183737soft"
75154,"0hard/-183736soft"
75229,"0hard/-183735soft"
75301,"0hard/-183734soft"
75369,"0hard/-183733soft"
75438,"0hard/-183732soft"
75508,"0hard/-183731soft"
75580,"0hard/-183730soft"
75647,"0hard/-183729soft"
75717,"0hard/-183728soft"
75785,"0hard/-183727soft"
75855,"0hard/-183726soft"
75926,"0hard/-183725soft"
75995,"0hard/-183724soft"
76065,"0hard/-183723soft"
76134,"0hard/-183722soft"
76203,"0hard/-183721soft"
76275,"0hard/-183720soft"
76344,"0hard/-183719soft"
76419,"0hard/-183718soft"
76487,"0hard/-183717soft"
76556,"0hard/-183716soft"
76630,"0hard/-183715soft"
76702,"0hard/-183714soft"
76773,"0hard/-183713soft"
76842,"0hard/-183712soft"
76915,"0hard/-183711soft"
76984,"0hard/-183710soft"
77061,"0hard/-183709soft"
77129,"0hard/-183708soft"
77198,"0hard/-183707soft"
77277,"0hard/-183706soft"
77373,"0hard/-183705soft"
77453,"0hard/-183704soft"
77526,"0hard/-183703soft"
77601,"0hard/-183702soft"
77675,"0hard/-183701soft"
77746,"0hard/-183700soft"
77815,"0hard/-183699soft"
77883,"0hard/-183698soft"
77956,"0hard/-183697soft"
78028,"0hard/-183696soft"
78099,"0hard/-183695soft"
78169,"0hard/-183694soft"
78246,"0hard/-183693soft"
78316,"0hard/-183692soft"
78388,"0hard/-183691soft"
78458,"0hard/-183690soft"
78525,"0hard/-183689soft"
78600,"0hard/-183688soft"
78671,"0hard/-183687soft"
78744,"0hard/-183686soft"
78820,"0hard/-183685soft"
78893,"0hard/-183684soft"
78965,"0hard/-183683soft"
79033,"0hard/-183682soft"
79106,"0hard/-183681soft"
79185,"0hard/-183680soft"
79254,"0hard/-183679soft"
79326,"0hard/-183678soft"
79395,"0hard/-183677soft"
79466,"0hard/-183676soft"
79536,"0hard/-183675soft"
79610,"0hard/-183674soft"
79681,"0hard/-183673soft"
79752,"0hard/-183672soft"
79823,"0hard/-183671soft"
79894,"0hard/-183670soft"
79966,"0hard/-183669soft"
80035,"0hard/-183668soft"
80106,"0hard/-183667soft"
80177,"0hard/-183666soft"
80247,"0hard/-183665soft"
80318,"0hard/-183664soft"
80386,"0hard/-183663soft"
80457,"0hard/-183662soft"
80528,"0hard/-183661soft"
80603,"0hard/-183660soft"
80677,"0hard/-183659soft"
80751,"0hard/-183658soft"
80825,"0hard/-183657soft"
80901,"0hard/-183656soft"
80975,"0hard/-183655soft"
81050,"0hard/-183654soft"
81146,"0hard/-183653soft"
81226,"0hard/-183652soft"
81298,"0hard/-183651soft"
81366,"0hard/-183650soft"
81436,"0hard/-183649soft"
81509,"0hard/-183648soft"
81586,"0hard/-183647soft"
81658,"0hard/-183646soft"
81734,"0hard/-183645soft"
81806,"0hard/-183644soft"
81881,"0hard/-183643soft"
81952,"0hard/-183642soft"
82023,"0hard/-183641soft"
82096,"0hard/-183640soft"
82165,"0hard/-183639soft"
82237,"0hard/-183638soft"
82305,"0hard/-183637soft"
82377,"0hard/-183636soft"
82446,"0hard/-183635soft"
82518,"0hard/-183634soft"
82589,"0hard/-183633soft"
82660,"0hard/-183632soft"
82732,"0hard/-183631soft"
82800,"0hard/-183630soft"
82873,"0hard/-183629soft"
82943,"0hard/-183628soft"
83017,"0hard/-183627soft"
83079,"0hard/-183626soft"
83156,"0hard/-183625soft"
83229,"0hard/-183624soft"
83300,"0hard/-183623soft"
83362,"0hard/-183622soft"
83442,"0hard/-183621soft"
83514,"0hard/-183620soft"
83589,"0hard/-183619soft"
83659,"0hard/-183618soft"
83731,"0hard/-183617soft"
83803,"0hard/-183616soft"
83875,"0hard/-183615soft"
83946,"0hard/-183614soft"
84017,"0hard/-183613soft"
84089,"0hard/-183612soft"
84162,"0hard/-183611soft"
84233,"0hard/-183610soft"
84304,"0hard/-183609soft"
84377,"0hard/-183608soft"
84451,"0hard/-183607soft"
84523,"0hard/-183606soft"
84595,"0hard/-183605soft"
84666,"0hard/-183604soft"
84738,"0hard/-183603soft"
84811,"0hard/-183602soft"
84881,"0hard/-183601soft"
84953,"0hard/-183600soft"
85025,"0hard/-183599soft"
85126,"0hard/-183598soft"
85204,"0hard/-183597soft"
85279,"0hard/-183596soft"
85355,"0hard/-183595soft"
85429,"0hard/-183594soft"
85500,"0hard/-183593soft"
85577,"0hard/-183592soft"
85650,"0hard/-183591soft"
85720,"0hard/-183590soft"
85791,"0hard/-183589soft"
85863,"0hard/-183588soft"
85932,"0hard/-183587soft"
86001,"0hard/-183586soft"
86070,"0hard/-183585soft"
86141,"0hard/-183584soft"
86215,"0hard/-183583soft"
86289,"0hard/-183582soft"
86359,"0hard/-183581soft"
86432,"0hard/-183580soft"
86505,"0hard/-183579soft"
86575,"0hard/-183578soft"
86648,"0hard/-183577soft"
86724,"0hard/-183576soft"
86798,"0hard/-183575soft"
86872,"0hard/-183574soft"
86945,"0hard/-183573soft"
87017,"0hard/-183572soft"
87091,"0hard/-183571soft"
87163,"0hard/-183570soft"
87238,"0hard/-183569soft"
87311,"0hard/-183568soft"
87382,"0hard/-183567soft"
87455,"0hard/-183566soft"
87524,"0hard/-183565soft"
87593,"0hard/-183564soft"
87666,"0hard/-183563soft"
87742,"0hard/-183562soft"
87815,"0hard/-183561soft"
87889,"0hard/-183560soft"
87959,"0hard/-183559soft"
88034,"0hard/-183558soft"
88111,"0hard/-183557soft"
88183,"0hard/-183556soft"
88271,"0hard/-183555soft"
88337,"0hard/-183554soft"
88406,"0hard/-183553soft"
88475,"0hard/-183552soft"
88553,"0hard/-183551soft"
88627,"0hard/-183550soft"
88697,"0hard/-183549soft"
88769,"0hard/-183548soft"
88841,"0hard/-183547soft"
88911,"0hard/-183546soft"
88981,"0hard/-183545soft"
89058,"0hard/-183544soft"
89129,"0hard/-183543soft"
89199,"0hard/-183542soft"
89275,"0hard/-183541soft"
89353,"0hard/-183540soft"
89422,"0hard/-183539soft"
89497,"0hard/-183538soft"
89572,"0hard/-183537soft"
89644,"0hard/-183536soft"
89717,"0hard/-183535soft"
89791,"0hard/-183534soft"
89865,"0hard/-183533soft"
89937,"0hard/-183532soft"
90010,"0hard/-183531soft"
90072,"0hard/-183530soft"
90195,"0hard/-183529soft"
90272,"0hard/-183528soft"
90337,"0hard/-183527soft"
90414,"0hard/-183526soft"
90485,"0hard/-183525soft"
90558,"0hard/-183524soft"
90635,"0hard/-183523soft"
90708,"0hard/-183522soft"
90780,"0hard/-183521soft"
90850,"0hard/-183520soft"
90925,"0hard/-183519soft"
90999,"0hard/-183518soft"
91071,"0hard/-183517soft"
91144,"0hard/-183516soft"
91213,"0hard/-183515soft"
91286,"0hard/-183514soft"
91365,"0hard/-183513soft"
91438,"0hard/-183512soft"
91508,"0hard/-183511soft"
91583,"0hard/-183510soft"
91654,"0hard/-183509soft"
91728,"0hard/-183508soft"
91801,"0hard/-183507soft"
91876,"0hard/-183506soft"
91947,"0hard/-183505soft"
92018,"0hard/-183504soft"
92090,"0hard/-183503soft"
92162,"0hard/-183502soft"
92236,"0hard/-183501soft"
92311,"0hard/-183500soft"
92386,"0hard/-183499soft"
92456,"0hard/-183498soft"
92531,"0hard/-183497soft"
92606,"0hard/-183496soft"
92684,"0hard/-183495soft"
92758,"0hard/-183494soft"
92832,"0hard/-183493soft"
92910,"0hard/-183492soft"
92979,"0hard/-183491soft"
93051,"0hard/-183490soft"
93124,"0hard/-183489soft"
93200,"0hard/-183488soft"
93272,"0hard/-183487soft"
93344,"0hard/-183486soft"
93418,"0hard/-183485soft"
93491,"0hard/-183484soft"
93565,"0hard/-183483soft"
93639,"0hard/-183482soft"
93749,"0hard/-183481soft"
93819,"0hard/-183480soft"
93897,"0hard/-183479soft"
93970,"0hard/-183478soft"
94046,"0hard/-183477soft"
94119,"0hard/-183476soft"
94206,"0hard/-183475soft"
94276,"0hard/-183474soft"
94348,"0hard/-183473soft"
94427,"0hard/-183472soft"
94505,"0hard/-183471soft"
94581,"0hard/-183470soft"
94655,"0hard/-183469soft"
94731,"0hard/-183468soft"
94802,"0hard/-183467soft"
94872,"0hard/-183466soft"
94959,"0hard/-183465soft"
95021,"0hard/-183464soft"
95101,"0hard/-183463soft"
95175,"0hard/-183462soft"
95245,"0hard/-183461soft"
95318,"0hard/-183460soft"
95391,"0hard/-183459soft"
95465,"0hard/-183458soft"
95537,"0hard/-183457soft"
95607,"0hard/-183456soft"
95683,"0hard/-183455soft"
95757,"0hard/-183454soft"
95831,"0hard/-183453soft"
95907,"0hard/-183452soft"
95979,"0hard/-183451soft"
96051,"0hard/-183450soft"
96124,"0hard/-183449soft"
96195,"0hard/-183448soft"
96267,"0hard/-183447soft"
96340,"0hard/-183446soft"
96415,"0hard/-183445soft"
96486,"0hard/-183444soft"
96557,"0hard/-183443soft"
96629,"0hard/-183442soft"
96702,"0hard/-183441soft"
96774,"0hard/-183440soft"
96853,"0hard/-183439soft"
96928,"0hard/-183438soft"
97000,"0hard/-183437soft"
97073,"0hard/-183436soft"
97146,"0hard/-183435soft"
97223,"0hard/-183434soft"
97296,"0hard/-183433soft"
97367,"0hard/-183432soft"
97437,"0hard/-183431soft"
97516,"0hard/-183430soft"
97586,"0hard/-183429soft"
97658,"0hard/-183428soft"
97733,"0hard/-183427soft"
97806,"0hard/-183426soft"
97905,"0hard/-183425soft"
97985,"0hard/-183424soft"
98057,"0hard/-183423soft"
98127,"0hard/-183422soft"
98201,"0hard/-183421soft"
98272,"0hard/-183420soft"
98344,"0hard/-183419soft"
98424,"0hard/-183418soft"
98496,"0hard/-183417soft"
98570,"0hard/-183416soft"
98644,"0hard/-183415soft"
98718,"0hard/-183414soft"
98791,"0hard/-183413soft"
98863,"0hard/-183412soft"
98936,"0hard/-183411soft"
99010,"0hard/-183410soft"
99083,"0hard/-183409soft"
99159,"0hard/-183408soft"
99231,"0hard/-183407soft"
99306,"0hard/-183406soft"
99378,"0hard/-183405soft"
99452,"0hard/-183404soft"
99524,"0hard/-183403soft"
99601,"0hard/-183402soft"
99674,"0hard/-183401soft"
99748,"0hard/-183400soft"
99819,"0hard/-183399soft"
99893,"0hard/-183398soft"
99969,"0hard/-183397soft"
100043,"0hard/-183396soft"
100117,"0hard/-183395soft"
100191,"0hard/-183394soft"
100264,"0hard/-183393soft"
100339,"0hard/-183392soft"
100414,"0hard/-183391soft"
100487,"0hard/-183390soft"
100559,"0hard/-183389soft"
100631,"0hard/-183388soft"
100705,"0hard/-183387soft"
100779,"0hard/-183386soft"
100854,"0hard/-183385soft"
100926,"0hard/-183384soft"
100997,"0hard/-183383soft"
101085,"0hard/-183382soft"
101153,"0hard/-183381soft"
101232,"0hard/-183380soft"
101304,"0hard/-183379soft"
101381,"0hard/-183378soft"
101455,"0hard/-183377soft"
101531,"0hard/-183376soft"
101609,"0hard/-183375soft"
101683,"0hard/-183374soft"
101759,"0hard/-183373soft"
101868,"0hard/-183372soft"
101941,"0hard/-183371soft"
102012,"0hard/-183370soft"
102085,"0hard/-183369soft"
102160,"0hard/-183368soft"
102238,"0hard/-183367soft"
102309,"0hard/-183366soft"
102385,"0hard/-183365soft"
102455,"0hard/-183364soft"
102529,"0hard/-183363soft"
102605,"0hard/-183362soft"
102677,"0hard/-183361soft"
102750,"0hard/-183360soft"
102825,"0hard/-183359soft"
102900,"0hard/-183358soft"
102974,"0hard/-183357soft"
103047,"0hard/-183356soft"
103121,"0hard/-183355soft"
103194,"0hard/-183354soft"
103270,"0hard/-183353soft"
103345,"0hard/-183352soft"
103419,"0hard/-183351soft"
103497,"0hard/-183350soft"
103574,"0hard/-183349soft"
103647,"0hard/-183348soft"
103721,"0hard/-183347soft"
103801,"0hard/-183346soft"
103877,"0hard/-183345soft"
103951,"0hard/-183344soft"
104026,"0hard/-183343soft"
104100,"0hard/-183342soft"
104175,"0hard/-183341soft"
104252,"0hard/-183340soft"
104328,"0hard/-183339soft"
104404,"0hard/-183338soft"
104482,"0hard/-183337soft"
104560,"0hard/-183336soft"
104632,"0hard/-183335soft"
104707,"0hard/-183334soft"
104781,"0hard/-183333soft"
104855,"0hard/-183332soft"
104930,"0hard/-183331soft"
105005,"0hard/-183330soft"
105082,"0hard/-183329soft"
105156,"0hard/-183328soft"
105234,"0hard/-183327soft"
105308,"0hard/-183326soft"
105379,"0hard/-183325soft"
105455,"0hard/-183324soft"
105532,"0hard/-183323soft"
105608,"0hard/-183322soft"
105682,"0hard/-183321soft"
105758,"0hard/-183320soft"
105832,"0hard/-183319soft"
105905,"0hard/-183318soft"
105981,"0hard/-183317soft"
106054,"0hard/-183316soft"
106131,"0hard/-183315soft"
106209,"0hard/-183314soft"
106286,"0hard/-183313soft"
106362,"0hard/-183312soft"
106440,"0hard/-183311soft"
106517,"0hard/-183310soft"
106589,"0hard/-183309soft"
106663,"0hard/-183308soft"
106736,"0hard/-183307soft"
106807,"0hard/-183306soft"
106882,"0hard/-183305soft"
106959,"0hard/-183304soft"
107034,"0hard/-183303soft"
107108,"0hard/-183302soft"
107181,"0hard/-183301soft"
107256,"0hard/-183300soft"
107332,"0hard/-183299soft"
107407,"0hard/-183298soft"
107481,"0hard/-183297soft"
107561,"0hard/-183296soft"
107638,"0hard/-183295soft"
107709,"0hard/-183294soft"
107784,"0hard/-183293soft"
107858,"0hard/-183292soft"
107933,"0hard/-183291soft"
108008,"0hard/-183290soft"
108084,"0hard/-183289soft"
108193,"0hard/-183288soft"
108269,"0hard/-183287soft"
108347,"0hard/-183286soft"
108421,"0hard/-183285soft"
108496,"0hard/-183284soft"
108572,"0hard/-183283soft"
108643,"0hard/-183282soft"
108720,"0hard/-183281soft"
108794,"0hard/-183280soft"
108867,"0hard/-183279soft"
108942,"0hard/-183278soft"
109017,"0hard/-183277soft"
109093,"0hard/-183276soft"
109170,"0hard/-183275soft"
109248,"0hard/-183274soft"
109320,"0hard/-183273soft"
109394,"0hard/-183272soft"
109468,"0hard/-183271soft"
109542,"0hard/-183270soft"
109621,"0hard/-183269soft"
109695,"0hard/-183268soft"
109768,"0hard/-183267soft"
109844,"0hard/-183266soft"
109924,"0hard/-183265soft"
110004,"0hard/-183264soft"
110082,"0hard/-183263soft"
110158,"0hard/-183262soft"
110232,"0hard/-183261soft"
110306,"0hard/-183260soft"
110381,"0hard/-183259soft"
110458,"0hard/-183258soft"
110532,"0hard/-183257soft"
110608,"0hard/-183256soft"
110688,"0hard/-183255soft"
110765,"0hard/-183254soft"
110837,"0hard/-183253soft"
110910,"0hard/-183252soft"
110986,"0hard/-183251soft"
111063,"0hard/-183250soft"
111137,"0hard/-183249soft"
111212,"0hard/-183248soft"
111290,"0hard/-183247soft"
111364,"0hard/-183246soft"
111443,"0hard/-183245soft"
111520,"0hard/-183244soft"
111595,"0hard/-183243soft"
111673,"0hard/-183242soft"
111747,"0hard/-183241soft"
111824,"0hard/-183240soft"
111900,"0hard/-183239soft"
111975,"0hard/-183238soft"
112050,"0hard/-183237soft"
112123,"0hard/-183236soft"
112201,"0hard/-183235soft"
112277,"0hard/-183234soft"
112354,"0hard/-183233soft"
112429,"0hard/-183232soft"
112508,"0hard/-183231soft"
112583,"0hard/-183230soft"
112658,"0hard/-183229soft"
