"timeMillisSpent","score"
183,"0hard/-1780000soft"
193,"0hard/-1779998soft"
194,"0hard/-1779997soft"
195,"0hard/-1779995soft"
196,"0hard/-1779994soft"
197,"0hard/-1779993soft"
198,"0hard/-1779992soft"
200,"0hard/-1779991soft"
201,"0hard/-1779990soft"
202,"0hard/-1779989soft"
203,"0hard/-1779988soft"
205,"0hard/-1779987soft"
206,"0hard/-1779986soft"
207,"0hard/-1779985soft"
209,"0hard/-1779983soft"
210,"0hard/-1779982soft"
211,"0hard/-1779981soft"
213,"0hard/-1779980soft"
214,"0hard/-1779979soft"
226,"0hard/-1779978soft"
228,"0hard/-1779977soft"
229,"0hard/-1779976soft"
231,"0hard/-1779975soft"
233,"0hard/-1779974soft"
235,"0hard/-1779973soft"
237,"0hard/-1779972soft"
239,"0hard/-1779971soft"
241,"0hard/-1779970soft"
243,"0hard/-1779969soft"
245,"0hard/-1779968soft"
247,"0hard/-1779967soft"
249,"0hard/-1779966soft"
250,"0hard/-1779965soft"
253,"0hard/-1779964soft"
255,"0hard/-1779963soft"
257,"0hard/-1779962soft"
260,"0hard/-1779961soft"
262,"0hard/-1779960soft"
265,"0hard/-1779959soft"
267,"0hard/-1779958soft"
270,"0hard/-1779957soft"
273,"0hard/-1779956soft"
275,"0hard/-1779955soft"
277,"0hard/-1779954soft"
280,"0hard/-1779953soft"
283,"0hard/-1779952soft"
285,"0hard/-1779951soft"
287,"0hard/-1779950soft"
290,"0hard/-1779949soft"
292,"0hard/-1779948soft"
294,"0hard/-1779947soft"
297,"0hard/-1779946soft"
299,"0hard/-1779945soft"
302,"0hard/-1779944soft"
304,"0hard/-1779943soft"
307,"0hard/-1779942soft"
310,"0hard/-1779941soft"
312,"0hard/-1779940soft"
315,"0hard/-1779939soft"
317,"0hard/-1779938soft"
320,"0hard/-1779937soft"
322,"0hard/-1779936soft"
325,"0hard/-1779935soft"
329,"0hard/-1779934soft"
332,"0hard/-1779933soft"
336,"0hard/-1779932soft"
339,"0hard/-1779931soft"
343,"0hard/-1779930soft"
346,"0hard/-1779929soft"
349,"0hard/-1779928soft"
352,"0hard/-1779927soft"
356,"0hard/-1779926soft"
359,"0hard/-1779925soft"
362,"0hard/-1779924soft"
366,"0hard/-1779923soft"
369,"0hard/-1779922soft"
372,"0hard/-1779921soft"
376,"0hard/-1779920soft"
379,"0hard/-1779919soft"
383,"0hard/-1779918soft"
387,"0hard/-1779917soft"
390,"0hard/-1779916soft"
394,"0hard/-1779915soft"
398,"0hard/-1779914soft"
401,"0hard/-1779913soft"
404,"0hard/-1779912soft"
407,"0hard/-1779911soft"
410,"0hard/-1779910soft"
410,"0hard/-1779909soft"
410,"0hard/-1779908soft"
410,"0hard/-1779907soft"
410,"0hard/-1779906soft"
426,"0hard/-1779905soft"
426,"0hard/-1779904soft"
426,"0hard/-1779903soft"
426,"0hard/-1779902soft"
426,"0hard/-1779901soft"
442,"0hard/-1779900soft"
442,"0hard/-1779899soft"
442,"0hard/-1779898soft"
442,"0hard/-1779897soft"
442,"0hard/-1779896soft"
457,"0hard/-1779895soft"
457,"0hard/-1779894soft"
457,"0hard/-1779893soft"
457,"0hard/-1779892soft"
457,"0hard/-1779891soft"
457,"0hard/-1779890soft"
473,"0hard/-1779889soft"
473,"0hard/-1779888soft"
473,"0hard/-1779887soft"
473,"0hard/-1779886soft"
473,"0hard/-1779885soft"
473,"0hard/-1779884soft"
489,"0hard/-1779883soft"
489,"0hard/-1779882soft"
489,"0hard/-1779881soft"
489,"0hard/-1779880soft"
489,"0hard/-1779879soft"
504,"0hard/-1779878soft"
504,"0hard/-1779877soft"
504,"0hard/-1779876soft"
504,"0hard/-1779875soft"
504,"0hard/-1779874soft"
520,"0hard/-1779873soft"
520,"0hard/-1779872soft"
520,"0hard/-1779871soft"
520,"0hard/-1779870soft"
520,"0hard/-1779869soft"
535,"0hard/-1779868soft"
535,"0hard/-1779867soft"
535,"0hard/-1779866soft"
535,"0hard/-1779865soft"
535,"0hard/-1779864soft"
551,"0hard/-1779863soft"
551,"0hard/-1779862soft"
551,"0hard/-1779861soft"
551,"0hard/-1779860soft"
551,"0hard/-1779859soft"
567,"0hard/-1779858soft"
567,"0hard/-1779857soft"
567,"0hard/-1779856soft"
582,"0hard/-1779855soft"
582,"0hard/-1779854soft"
582,"0hard/-1779853soft"
582,"0hard/-1779852soft"
582,"0hard/-1779851soft"
582,"0hard/-1779850soft"
598,"0hard/-1779849soft"
598,"0hard/-1779848soft"
598,"0hard/-1779847soft"
598,"0hard/-1779846soft"
598,"0hard/-1779845soft"
598,"0hard/-1779844soft"
614,"0hard/-1779843soft"
614,"0hard/-1779842soft"
614,"0hard/-1779841soft"
614,"0hard/-1779840soft"
614,"0hard/-1779839soft"
614,"0hard/-1779838soft"
629,"0hard/-1779837soft"
629,"0hard/-1779836soft"
629,"0hard/-1779835soft"
629,"0hard/-1779834soft"
629,"0hard/-1779833soft"
645,"0hard/-1779832soft"
645,"0hard/-1779831soft"
645,"0hard/-1779830soft"
645,"0hard/-1779829soft"
645,"0hard/-1779828soft"
660,"0hard/-1779827soft"
660,"0hard/-1779826soft"
660,"0hard/-1779825soft"
660,"0hard/-1779824soft"
660,"0hard/-1779823soft"
676,"0hard/-1779822soft"
676,"0hard/-1779821soft"
676,"0hard/-1779820soft"
676,"0hard/-1779819soft"
676,"0hard/-1779818soft"
692,"0hard/-1779817soft"
692,"0hard/-1779816soft"
692,"0hard/-1779815soft"
692,"0hard/-1779814soft"
692,"0hard/-1779813soft"
707,"0hard/-1779812soft"
707,"0hard/-1779811soft"
707,"0hard/-1779810soft"
707,"0hard/-1779809soft"
707,"0hard/-1779808soft"
723,"0hard/-1779807soft"
723,"0hard/-1779806soft"
723,"0hard/-1779805soft"
723,"0hard/-1779804soft"
723,"0hard/-1779803soft"
739,"0hard/-1779802soft"
739,"0hard/-1779801soft"
739,"0hard/-1779800soft"
739,"0hard/-1779799soft"
739,"0hard/-1779798soft"
754,"0hard/-1779797soft"
754,"0hard/-1779796soft"
754,"0hard/-1779795soft"
754,"0hard/-1779794soft"
754,"0hard/-1779793soft"
770,"0hard/-1779792soft"
770,"0hard/-1779791soft"
770,"0hard/-1779790soft"
785,"0hard/-1779789soft"
785,"0hard/-1779788soft"
785,"0hard/-1779787soft"
785,"0hard/-1779786soft"
801,"0hard/-1779785soft"
801,"0hard/-1779784soft"
801,"0hard/-1779783soft"
801,"0hard/-1779782soft"
801,"0hard/-1779781soft"
817,"0hard/-1779780soft"
817,"0hard/-1779779soft"
817,"0hard/-1779778soft"
817,"0hard/-1779777soft"
832,"0hard/-1779776soft"
832,"0hard/-1779775soft"
832,"0hard/-1779774soft"
832,"0hard/-1779773soft"
848,"0hard/-1779772soft"
848,"0hard/-1779771soft"
848,"0hard/-1779770soft"
848,"0hard/-1779769soft"
848,"0hard/-1779768soft"
864,"0hard/-1779767soft"
864,"0hard/-1779766soft"
864,"0hard/-1779765soft"
864,"0hard/-1779764soft"
879,"0hard/-1779763soft"
879,"0hard/-1779762soft"
879,"0hard/-1779761soft"
879,"0hard/-1779760soft"
895,"0hard/-1779759soft"
895,"0hard/-1779758soft"
895,"0hard/-1779757soft"
895,"0hard/-1779756soft"
910,"0hard/-1779755soft"
910,"0hard/-1779754soft"
910,"0hard/-1779753soft"
910,"0hard/-1779752soft"
926,"0hard/-1779751soft"
926,"0hard/-1779750soft"
926,"0hard/-1779749soft"
926,"0hard/-1779748soft"
942,"0hard/-1779747soft"
942,"0hard/-1779746soft"
942,"0hard/-1779745soft"
942,"0hard/-1779744soft"
957,"0hard/-1779743soft"
957,"0hard/-1779742soft"
957,"0hard/-1779741soft"
