"timeMillisSpent","score"
4505,"0hard/-384584soft"
4565,"0hard/-374665soft"
4591,"0hard/-367373soft"
4620,"0hard/-358293soft"
4650,"0hard/-350523soft"
4679,"0hard/-349493soft"
4705,"0hard/-349492soft"
4733,"0hard/-348353soft"
4761,"0hard/-348343soft"
4788,"0hard/-347414soft"
4818,"0hard/-347413soft"
4848,"0hard/-338613soft"
4877,"0hard/-328823soft"
4906,"0hard/-319073soft"
4934,"0hard/-309353soft"
4961,"0hard/-301683soft"
4987,"0hard/-299543soft"
5017,"0hard/-297033soft"
5048,"0hard/-297012soft"
5079,"0hard/-297011soft"
5105,"0hard/-287711soft"
5135,"0hard/-278792soft"
5165,"0hard/-268822soft"
5194,"0hard/-260042soft"
5221,"0hard/-250233soft"
5250,"0hard/-243372soft"
5281,"0hard/-238781soft"
5310,"0hard/-234720soft"
5342,"0hard/-232620soft"
5373,"0hard/-231500soft"
5402,"0hard/-230311soft"
5432,"0hard/-229532soft"
5463,"0hard/-228612soft"
5521,"0hard/-218712soft"
5551,"0hard/-209283soft"
5581,"0hard/-199433soft"
5613,"0hard/-189433soft"
5641,"0hard/-180773soft"
5673,"0hard/-171513soft"
5703,"0hard/-162403soft"
5735,"0hard/-152883soft"
5767,"0hard/-146042soft"
5799,"0hard/-136352soft"
5831,"0hard/-128312soft"
5866,"0hard/-123891soft"
5898,"0hard/-120032soft"
5929,"0hard/-114853soft"
5959,"0hard/-112902soft"
5992,"0hard/-110892soft"
6024,"0hard/-108583soft"
6057,"0hard/-108163soft"
6090,"0hard/-107293soft"
6177,"0hard/-105573soft"
6213,"0hard/-105023soft"
6248,"0hard/-104853soft"
6281,"0hard/-104483soft"
6312,"0hard/-104313soft"
6341,"0hard/-103613soft"
6372,"0hard/-102283soft"
6436,"0hard/-102063soft"
6470,"0hard/-101733soft"
6502,"0hard/-101353soft"
6535,"0hard/-100833soft"
6566,"0hard/-100243soft"
6598,"0hard/-100013soft"
6628,"0hard/-99863soft"
6690,"0hard/-90133soft"
6722,"0hard/-86793soft"
6754,"0hard/-85603soft"
6786,"0hard/-81283soft"
6818,"0hard/-80404soft"
6849,"0hard/-80174soft"
6879,"0hard/-79304soft"
6970,"0hard/-79094soft"
7004,"0hard/-78544soft"
7036,"0hard/-77624soft"
7069,"0hard/-77354soft"
7101,"0hard/-77135soft"
7133,"0hard/-76915soft"
7162,"0hard/-76785soft"
7195,"0hard/-76655soft"
7225,"0hard/-76565soft"
7257,"0hard/-76305soft"
7291,"0hard/-76065soft"
7322,"0hard/-75915soft"
7353,"0hard/-75885soft"
7385,"0hard/-75645soft"
7417,"0hard/-75605soft"
7481,"0hard/-75295soft"
7515,"0hard/-74876soft"
7546,"0hard/-74866soft"
7611,"0hard/-74706soft"
7704,"0hard/-74686soft"
7738,"0hard/-74676soft"
7773,"0hard/-74606soft"
7841,"0hard/-74456soft"
7873,"0hard/-74136soft"
7906,"0hard/-74036soft"
8006,"0hard/-64647soft"
8039,"0hard/-55557soft"
8073,"0hard/-53147soft"
8106,"0hard/-47456soft"
8138,"0hard/-43537soft"
8172,"0hard/-40168soft"
8207,"0hard/-39898soft"
8241,"0hard/-39848soft"
8274,"0hard/-39658soft"
8306,"0hard/-38698soft"
8339,"0hard/-38608soft"
8374,"0hard/-38288soft"
8406,"0hard/-37838soft"
8445,"0hard/-37837soft"
8494,"0hard/-37027soft"
8533,"0hard/-34848soft"
8655,"0hard/-34498soft"
8710,"0hard/-34488soft"
8774,"0hard/-34428soft"
8826,"0hard/-34068soft"
9002,"0hard/-33238soft"
9047,"0hard/-32968soft"
9209,"0hard/-32888soft"
9250,"0hard/-32638soft"
9302,"0hard/-32518soft"
9360,"0hard/-32458soft"
9480,"0hard/-32438soft"
9617,"0hard/-32348soft"
9687,"0hard/-32308soft"
9721,"0hard/-32278soft"
9794,"0hard/-28278soft"
9829,"0hard/-28258soft"
9933,"0hard/-28218soft"
9968,"0hard/-27998soft"
10075,"0hard/-27898soft"
10145,"0hard/-27888soft"
10219,"0hard/-27758soft"
10330,"0hard/-27648soft"
10365,"0hard/-27608soft"
10471,"0hard/-27598soft"
10548,"0hard/-27458soft"
10660,"0hard/-27328soft"
10695,"0hard/-27298soft"
10782,"0hard/-27288soft"
10866,"0hard/-27258soft"
10941,"0hard/-27228soft"
10977,"0hard/-27188soft"
11161,"0hard/-27058soft"
11198,"0hard/-27048soft"
11273,"0hard/-26938soft"
11345,"0hard/-26888soft"
11453,"0hard/-26848soft"
11561,"0hard/-26798soft"
11598,"0hard/-26788soft"
11633,"0hard/-26718soft"
11708,"0hard/-26708soft"
11747,"0hard/-26608soft"
11784,"0hard/-26518soft"
11821,"0hard/-26468soft"
12110,"0hard/-26408soft"
12147,"0hard/-26378soft"
13445,"0hard/-25688soft"
13483,"0hard/-25388soft"
13519,"0hard/-25298soft"
13708,"0hard/-25278soft"
13747,"0hard/-25258soft"
13939,"0hard/-25218soft"
14274,"0hard/-25198soft"
14542,"0hard/-25178soft"
14598,"0hard/-25118soft"
14685,"0hard/-25108soft"
