"timeMillisSpent","score"
3445,"0hard/-384584soft"
14645,"0hard/-384575soft"
19363,"0hard/-384565soft"
23680,"0hard/-384555soft"
28025,"0hard/-384545soft"
32930,"0hard/-384535soft"
37238,"0hard/-384525soft"
41595,"0hard/-384515soft"
46267,"0hard/-384505soft"
50896,"0hard/-384495soft"
55254,"0hard/-384485soft"
59605,"0hard/-384475soft"
64247,"0hard/-384465soft"
68834,"0hard/-384455soft"
73160,"0hard/-384445soft"
77480,"0hard/-384435soft"
82136,"0hard/-384425soft"
86568,"0hard/-384415soft"
90882,"0hard/-384405soft"
95518,"0hard/-384395soft"
100195,"0hard/-384385soft"
104574,"0hard/-384375soft"
108898,"0hard/-384365soft"
113569,"0hard/-384355soft"
117951,"0hard/-384345soft"
122307,"0hard/-384335soft"
126629,"0hard/-384325soft"
131217,"0hard/-384315soft"
135520,"0hard/-384305soft"
139856,"0hard/-384295soft"
144442,"0hard/-384285soft"
149022,"0hard/-384275soft"
153608,"0hard/-384265soft"
158021,"0hard/-384255soft"
162572,"0hard/-384245soft"
166955,"0hard/-384235soft"
171296,"0hard/-384225soft"
175931,"0hard/-384215soft"
180617,"0hard/-384205soft"
184990,"0hard/-384195soft"
189356,"0hard/-384185soft"
193927,"0hard/-384175soft"
198603,"0hard/-384165soft"
203003,"0hard/-384155soft"
207390,"0hard/-384145soft"
212048,"0hard/-384135soft"
216756,"0hard/-384125soft"
221127,"0hard/-384115soft"
225493,"0hard/-384105soft"
230079,"0hard/-384095soft"
234770,"0hard/-384085soft"
239197,"0hard/-384075soft"
243844,"0hard/-384065soft"
248193,"0hard/-384055soft"
252536,"0hard/-384045soft"
256946,"0hard/-384035soft"
261614,"0hard/-384025soft"
266244,"0hard/-384015soft"
270919,"0hard/-384005soft"
275529,"0hard/-383995soft"
280181,"0hard/-383985soft"
284820,"0hard/-383975soft"
289533,"0hard/-383965soft"
293897,"0hard/-383955soft"
298601,"0hard/-383945soft"
