"timeMillisSpent","score"
377,"0hard/-1780000soft"
432,"0hard/-1770010soft"
454,"0hard/-1760010soft"
476,"0hard/-1750019soft"
499,"0hard/-1740020soft"
546,"0hard/-1730018soft"
585,"0hard/-1720018soft"
620,"0hard/-1710018soft"
652,"0hard/-1700018soft"
683,"0hard/-1690018soft"
721,"0hard/-1680018soft"
753,"0hard/-1670028soft"
807,"0hard/-1660028soft"
864,"0hard/-1650047soft"
917,"0hard/-1640046soft"
961,"0hard/-1630054soft"
1007,"0hard/-1620054soft"
1052,"0hard/-1610053soft"
1086,"0hard/-1600053soft"
1130,"0hard/-1590051soft"
1172,"0hard/-1580051soft"
1199,"0hard/-1570060soft"
1234,"0hard/-1560070soft"
1267,"0hard/-1550080soft"
1295,"0hard/-1540081soft"
1328,"0hard/-1530080soft"
1358,"0hard/-1520081soft"
1389,"0hard/-1510101soft"
1421,"0hard/-1500100soft"
1452,"0hard/-1490120soft"
1486,"0hard/-1480130soft"
1513,"0hard/-1470140soft"
1540,"0hard/-1460139soft"
1569,"0hard/-1450139soft"
1596,"0hard/-1440139soft"
1623,"0hard/-1430159soft"
1651,"0hard/-1420159soft"
1680,"0hard/-1410159soft"
1708,"0hard/-1400169soft"
1736,"0hard/-1390169soft"
1763,"0hard/-1380179soft"
1791,"0hard/-1370179soft"
1819,"0hard/-1360180soft"
1850,"0hard/-1350200soft"
1876,"0hard/-1340201soft"
1905,"0hard/-1330201soft"
1933,"0hard/-1320251soft"
1962,"0hard/-1310261soft"
1994,"0hard/-1300261soft"
2022,"0hard/-1290271soft"
2050,"0hard/-1280271soft"
2077,"0hard/-1270271soft"
2103,"0hard/-1260269soft"
2133,"0hard/-1250289soft"
2162,"0hard/-1240289soft"
2190,"0hard/-1230299soft"
2221,"0hard/-1220300soft"
2251,"0hard/-1210310soft"
2278,"0hard/-1200320soft"
2307,"0hard/-1190320soft"
2335,"0hard/-1180359soft"
2366,"0hard/-1170369soft"
2393,"0hard/-1160389soft"
2422,"0hard/-1150419soft"
2452,"0hard/-1140419soft"
2482,"0hard/-1130419soft"
2511,"0hard/-1120429soft"
2551,"0hard/-1110429soft"
2588,"0hard/-1100479soft"
2619,"0hard/-1090509soft"
2648,"0hard/-1080529soft"
2677,"0hard/-1070529soft"
2706,"0hard/-1060529soft"
2734,"0hard/-1050549soft"
2761,"0hard/-1040547soft"
2791,"0hard/-1030607soft"
2822,"0hard/-1020617soft"
2852,"0hard/-1010627soft"
2884,"0hard/-1000647soft"
2911,"0hard/-990648soft"
2942,"0hard/-980668soft"
2973,"0hard/-970688soft"
3005,"0hard/-960699soft"
3033,"0hard/-950719soft"
3060,"0hard/-940719soft"
3092,"0hard/-930760soft"
3124,"0hard/-920800soft"
3155,"0hard/-910810soft"
3184,"0hard/-900831soft"
3216,"0hard/-890861soft"
3244,"0hard/-880863soft"
3273,"0hard/-870901soft"
3303,"0hard/-860901soft"
3334,"0hard/-850911soft"
3360,"0hard/-840941soft"
3391,"0hard/-831141soft"
3423,"0hard/-821151soft"
3454,"0hard/-811161soft"
3484,"0hard/-801191soft"
3513,"0hard/-791221soft"
3542,"0hard/-781251soft"
3572,"0hard/-771251soft"
3604,"0hard/-761281soft"
3635,"0hard/-751280soft"
3665,"0hard/-741290soft"
3693,"0hard/-731290soft"
3725,"0hard/-721290soft"
3756,"0hard/-711320soft"
3786,"0hard/-701370soft"
3818,"0hard/-691380soft"
3851,"0hard/-681411soft"
3882,"0hard/-671431soft"
3912,"0hard/-661781soft"
3942,"0hard/-651781soft"
4023,"0hard/-641781soft"
4060,"0hard/-631780soft"
4093,"0hard/-621831soft"
4127,"0hard/-611891soft"
4159,"0hard/-601891soft"
4191,"0hard/-591921soft"
4222,"0hard/-581951soft"
4255,"0hard/-572011soft"
4286,"0hard/-562041soft"
4317,"0hard/-552132soft"
4352,"0hard/-542192soft"
4384,"0hard/-532202soft"
4416,"0hard/-522272soft"
4445,"0hard/-512312soft"
4478,"0hard/-502342soft"
4511,"0hard/-492342soft"
4543,"0hard/-482352soft"
4576,"0hard/-472392soft"
4609,"0hard/-462392soft"
4641,"0hard/-452421soft"
4675,"0hard/-442461soft"
4709,"0hard/-432571soft"
4742,"0hard/-422661soft"
4775,"0hard/-412901soft"
4808,"0hard/-402911soft"
4839,"0hard/-392942soft"
4872,"0hard/-383082soft"
4904,"0hard/-373172soft"
4937,"0hard/-363292soft"
4970,"0hard/-353372soft"
5004,"0hard/-343432soft"
5035,"0hard/-333833soft"
5068,"0hard/-323834soft"
5101,"0hard/-313886soft"
5133,"0hard/-303937soft"
5166,"0hard/-293947soft"
5203,"0hard/-284308soft"
5236,"0hard/-274338soft"
5268,"0hard/-264359soft"
5303,"0hard/-254840soft"
5337,"0hard/-245120soft"
5370,"0hard/-235290soft"
5406,"0hard/-225380soft"
5438,"0hard/-215440soft"
5471,"0hard/-205730soft"
5503,"0hard/-195900soft"
5536,"0hard/-185970soft"
5569,"0hard/-176500soft"
5604,"0hard/-166840soft"
5639,"0hard/-157040soft"
5672,"0hard/-147510soft"
5705,"0hard/-137570soft"
5737,"0hard/-127610soft"
5772,"0hard/-118480soft"
5806,"0hard/-108900soft"
5842,"0hard/-99290soft"
5877,"0hard/-91989soft"
5915,"0hard/-85258soft"
5947,"0hard/-78217soft"
5980,"0hard/-68717soft"
6018,"0hard/-60027soft"
6054,"0hard/-57496soft"
6089,"0hard/-47856soft"
6122,"0hard/-45056soft"
6157,"0hard/-42206soft"
6202,"0hard/-41766soft"
6254,"0hard/-40647soft"
6292,"0hard/-39378soft"
6331,"0hard/-38128soft"
6371,"0hard/-36808soft"
6411,"0hard/-36718soft"
6460,"0hard/-36598soft"
6533,"0hard/-36158soft"
6594,"0hard/-35768soft"
6661,"0hard/-35508soft"
6716,"0hard/-35188soft"
6761,"0hard/-34398soft"
6811,"0hard/-33068soft"
6848,"0hard/-32898soft"
6895,"0hard/-32618soft"
6932,"0hard/-31948soft"
6975,"0hard/-31538soft"
7021,"0hard/-31448soft"
7066,"0hard/-31238soft"
7101,"0hard/-31118soft"
7133,"0hard/-30708soft"
7208,"0hard/-30458soft"
7244,"0hard/-30328soft"
7278,"0hard/-30138soft"
7315,"0hard/-29868soft"
7348,"0hard/-29748soft"
7383,"0hard/-29478soft"
7416,"0hard/-29298soft"
7448,"0hard/-29248soft"
