"timeMillisSpent","score"
324,"0hard/-1780000soft"
357,"0hard/-1777739soft"
363,"0hard/-1774168soft"
392,"0hard/-1769947soft"
393,"0hard/-1763646soft"
394,"0hard/-1759185soft"
395,"0hard/-1755864soft"
396,"0hard/-1748104soft"
397,"0hard/-1747654soft"
398,"0hard/-1743633soft"
400,"0hard/-1738542soft"
405,"0hard/-1737962soft"
408,"0hard/-1729712soft"
415,"0hard/-1727801soft"
417,"0hard/-1722820soft"
422,"0hard/-1716299soft"
424,"0hard/-1706439soft"
425,"0hard/-1701248soft"
426,"0hard/-1698327soft"
427,"0hard/-1691916soft"
428,"0hard/-1685665soft"
429,"0hard/-1678574soft"
430,"0hard/-1672333soft"
431,"0hard/-1667582soft"
440,"0hard/-1663531soft"
442,"0hard/-1662301soft"
443,"0hard/-1660771soft"
445,"0hard/-1659101soft"
446,"0hard/-1652570soft"
447,"0hard/-1643340soft"
448,"0hard/-1636349soft"
449,"0hard/-1629498soft"
449,"0hard/-1620808soft"
450,"0hard/-1610828soft"
451,"0hard/-1607557soft"
452,"0hard/-1605196soft"
453,"0hard/-1596106soft"
455,"0hard/-1586486soft"
456,"0hard/-1583065soft"
457,"0hard/-1576564soft"
458,"0hard/-1572853soft"
459,"0hard/-1571453soft"
459,"0hard/-1563613soft"
461,"0hard/-1561442soft"
461,"0hard/-1559491soft"
463,"0hard/-1554030soft"
464,"0hard/-1546849soft"
465,"0hard/-1539768soft"
466,"0hard/-1533837soft"
468,"0hard/-1525647soft"
468,"0hard/-1517247soft"
469,"0hard/-1516577soft"
471,"0hard/-1515907soft"
475,"0hard/-1510025soft"
476,"0hard/-1505494soft"
478,"0hard/-1497983soft"
479,"0hard/-1496072soft"
480,"0hard/-1487062soft"
481,"0hard/-1485872soft"
482,"0hard/-1485072soft"
484,"0hard/-1482192soft"
485,"0hard/-1473272soft"
486,"0hard/-1463892soft"
488,"0hard/-1456931soft"
489,"0hard/-1450760soft"
490,"0hard/-1443569soft"
492,"0hard/-1443138soft"
492,"0hard/-1438787soft"
494,"0hard/-1438666soft"
497,"0hard/-1436986soft"
498,"0hard/-1431805soft"
499,"0hard/-1431484soft"
501,"0hard/-1428823soft"
502,"0hard/-1425982soft"
504,"0hard/-1419601soft"
507,"0hard/-1417150soft"
510,"0hard/-1413440soft"
511,"0hard/-1408479soft"
512,"0hard/-1404148soft"
513,"0hard/-1403758soft"
514,"0hard/-1398687soft"
515,"0hard/-1392177soft"
519,"0hard/-1386104soft"
522,"0hard/-1379403soft"
523,"0hard/-1374022soft"
524,"0hard/-1372982soft"
526,"0hard/-1371732soft"
527,"0hard/-1362342soft"
528,"0hard/-1357631soft"
529,"0hard/-1355081soft"
530,"0hard/-1353311soft"
531,"0hard/-1352841soft"
532,"0hard/-1352592soft"
534,"0hard/-1344452soft"
535,"0hard/-1338911soft"
536,"0hard/-1338301soft"
538,"0hard/-1330001soft"
540,"0hard/-1321091soft"
542,"0hard/-1317610soft"
543,"0hard/-1311309soft"
544,"0hard/-1304608soft"
545,"0hard/-1294808soft"
546,"0hard/-1292268soft"
548,"0hard/-1288177soft"
549,"0hard/-1284546soft"
551,"0hard/-1283207soft"
552,"0hard/-1280467soft"
558,"0hard/-1272568soft"
559,"0hard/-1269437soft"
560,"0hard/-1266468soft"
561,"0hard/-1262597soft"
562,"0hard/-1262196soft"
563,"0hard/-1259065soft"
564,"0hard/-1255515soft"
573,"0hard/-1255482soft"
574,"0hard/-1254902soft"
575,"0hard/-1254741soft"
576,"0hard/-1249530soft"
577,"0hard/-1248650soft"
578,"0hard/-1242729soft"
579,"0hard/-1233449soft"
581,"0hard/-1227209soft"
582,"0hard/-1224909soft"
583,"0hard/-1218978soft"
584,"0hard/-1214947soft"
586,"0hard/-1213757soft"
588,"0hard/-1208307soft"
589,"0hard/-1204886soft"
592,"0hard/-1200465soft"
592,"0hard/-1198124soft"
593,"0hard/-1192413soft"
594,"0hard/-1184143soft"
596,"0hard/-1175873soft"
596,"0hard/-1167284soft"
597,"0hard/-1159584soft"
598,"0hard/-1158414soft"
601,"0hard/-1153065soft"
602,"0hard/-1153064soft"
603,"0hard/-1145585soft"
605,"0hard/-1145374soft"
609,"0hard/-1144042soft"
610,"0hard/-1142962soft"
611,"0hard/-1134002soft"
614,"0hard/-1128821soft"
616,"0hard/-1123550soft"
617,"0hard/-1122730soft"
618,"0hard/-1122600soft"
622,"0hard/-1121238soft"
625,"0hard/-1115688soft"
632,"0hard/-1113897soft"
665,"0hard/-1110066soft"
672,"0hard/-1103335soft"
700,"0hard/-1096776soft"
703,"0hard/-1096207soft"
705,"0hard/-1087227soft"
714,"0hard/-1085077soft"
729,"0hard/-1082946soft"
731,"0hard/-1082696soft"
733,"0hard/-1079006soft"
742,"0hard/-1073905soft"
743,"0hard/-1069474soft"
744,"0hard/-1067704soft"
745,"0hard/-1067703soft"
746,"0hard/-1064772soft"
747,"0hard/-1064771soft"
748,"0hard/-1061461soft"
750,"0hard/-1056250soft"
751,"0hard/-1054280soft"
752,"0hard/-1049920soft"
761,"0hard/-1043179soft"
787,"0hard/-1041387soft"
792,"0hard/-1040934soft"
794,"0hard/-1037194soft"
795,"0hard/-1036174soft"
798,"0hard/-1035184soft"
799,"0hard/-1027244soft"
801,"0hard/-1023404soft"
802,"0hard/-1023403soft"
804,"0hard/-1020562soft"
806,"0hard/-1011812soft"
810,"0hard/-1011323soft"
815,"0hard/-1010544soft"
816,"0hard/-1008084soft"
817,"0hard/-1005703soft"
826,"0hard/-1002255soft"
827,"0hard/-995505soft"
830,"0hard/-993756soft"
832,"0hard/-992176soft"
833,"0hard/-991416soft"
839,"0hard/-990575soft"
848,"0hard/-986436soft"
849,"0hard/-985666soft"
851,"0hard/-983905soft"
860,"0hard/-981973soft"
861,"0hard/-977692soft"
862,"0hard/-976832soft"
863,"0hard/-975912soft"
865,"0hard/-974422soft"
867,"0hard/-965212soft"
868,"0hard/-964832soft"
870,"0hard/-959111soft"
872,"0hard/-955991soft"
875,"0hard/-952931soft"
878,"0hard/-952531soft"
880,"0hard/-952530soft"
881,"0hard/-952529soft"
882,"0hard/-952528soft"
883,"0hard/-944838soft"
